Beseda,Števec
biti,3886
ta,2862
da,2203
jesti,2151
in,1906
za,1804
v,1803
se,1528
tudi,1265
na,1130
ki,928
pa,884
kultura,606
torej,568
ne,563
on,538
s,500
tak,489
sredstvo,482
kar,476
jaz,449
kulturen,446
lahek,423
ministrstvo,420
z,418
o,378
še,375
iti,355
področje,355
ves,345
javen,340
zakon,332
ker,321
kot,320
sem,320
imeti,318
tisti,314
potem,309
seveda,298
drug,293
sam,279
ever,278
let,274
dediščina,265
če,264
ko,254
program,252
del,245
tukaj,239
do,230
zaradi,221
milijon,221
projekt,218
že,217
po,216
zelo,207
ali,195
iz,195
velik,193
pri,192
kaj,190
pomen,189
slovenija,186
kateri,186
slovenski,184
evropski,173
vedeti,168
tisoč,161
misliti,156
oda,156
zavod,154
naš,151
povedati,150
proračun,148
potreben,144
vendar,144
ozir,138
ampak,135
ti,133
pravi,132
naj,131
kjer,129
način,126
priti,125
pomemben,125
predlog,125
zadeva,124
med,123
kakšen,122
treba,121
si,121
čas,117
nacionalen,116
medij,116
prav,114
več,110
ter,110
kak,110
nov,109
reči,109
glede,108
zdaj,108
pač,107
vlada,107
lep,107
res,106
človek,106
tikati,105
stran,104
problem,103
leto,102
mora,98
vsebina,97
država,96
narediti,96
takšen,95
dobiti,94
razvoj,92
2014,92
morati,91
finančen,90
republika,89
tam,89
svoj,88
podatek,88
stvar,87
spomenik,86
nekateri,86
želeti,85
vprašanje,85
cilj,84
interes,84
grad,84
nek,83
sicer,83
primer,83
dober,83
hvala,83
dati,82
nekaj,81
namen,81
določen,81
namreč,80
služba,80
2015,80
okvir,79
državen,79
sprememba,79
sedaj,79
poskušati,78
en,77
resničen,76
govoriti,75
pogledati,74
sprejet,74
razlog,72
strokoven,71
možnost,70
moči,70
višina,70
arhiv,70
investicija,68
dejavnost,68
poslanec,68
postopek,67
denar,67
skupaj,65
sklad,64
varstvo,64
dodaten,64
samozaposlen,64
skupina,64
dan,63
reč,63
ukrep,62
ugotoviti,61
videti,60
konec,59
raven,59
financiranje,58
pravzaprav,58
dejanski,58
strinjati,57
strategija,57
medijski,57
zavedati,56
pravica,56
pogodba,56
zato,56
bolj,55
ostal,55
uspel,55
nadaljevanje,54
gradivo,54
tolik,54
občina,53
objekt,53
obdobje,53
zakonodaja,53
upati,52
morala,52
ob,52
avdiovizualen,52
dogajati,52
različen,52
člen,51
družba,51
rečen,50
prej,50
prednosten,50
naslednji,50
danes,50
spoštovan,50
načrt,50
težava,49
posamezen,49
socialen,49
gospoda,48
izjemen,48
posebej,47
noveti,47
naložba,47
organizacija,47
saj,46
delež,46
knjižnica,46
vsaj,45
arhivski,45
zagotoviti,45
pred,45
svet,45
razprava,45
naprej,45
zveza,44
prostor,44
varovanje,44
jezik,44
smer,44
poseben,44
mnenje,44
določba,43
predviden,43
kolikor,43
kje,43
razpis,43
morda,43
nujen,43
politika,42
ustrezen,42
rtv,42
bit,42
poslanka,42
dva,42
možen,42
delo,41
delati,41
naveden,41
delovati,41
tu,41
mesto,41
vsekakor,41
skupnost,40
končen,40
težek,40
stanje,40
delovanje,40
verjeten,40
celota,40
poleg,40
trenuten,40
infrastruktura,39
namenjen,39
deloven,39
skratka,39
k,38
zgoditi,38
vsak,38
preko,38
unija,38
turizem,38
lepahvala,38
dialog,38
2013,38
izvajati,38
priprava,38
gospa,37
izvajanje,37
najprej,37
minister,37
2016,37
analiza,37
vaš,37
pridobiti,36
dokument,36
zakonski,36
bistven,36
povsem,36
skupen,36
beseda,36
film,36
nalog,36
nosilec,35
okoli,35
rebalans,35
hkrati,35
predvsem,35
obnova,35
postavka,35
verjeti,34
izobraževanje,34
podlaga,34
število,34
kakovosten,34
praven,34
zadnji,34
glasba,34
pripraviti,34
nevladen,33
prvi,33
filmski,33
upoštevati,33
cel,33
čeprav,33
ureditev,32
potreba,32
javnost,32
precej,32
ja,32
mlad,32
2017,32
organ,32
vesel,32
umetnost,32
spremeniti,31
postati,31
prizadevati,31
dostop,31
kolik,31
izvedba,31
jasen,31
njihov,31
sodelovanje,30
programski,30
manj,30
rešitev,30
moj,30
gospodarski,30
prejšnji,30
lokalen,30
nič,29
knjiga,29
financirati,29
finance,29
natančen,29
kreativen,29
oseben,29
jezikoven,29
celoten,29
integralen,29
začeti,29
–,29
center,29
nadzor,29
rešiti,29
omeniti,28
ponoven,28
prisoten,28
mednaroden,28
mali,28
pomoč,28
zbor,28
predstavljati,28
predlagati,28
visok,28
le,28
sploh,27
digitalizacija,27
kratek,27
informacija,27
posledica,27
vidik,27
naroden,27
izvesti,27
trenutek,27
pripravljati,26
zadovoljen,26
10,26
3,26
zagotavljati,26
pod,26
vrednost,26
parlament,26
mesec,26
enak,26
ocena,26
osnova,26
breza,26
govor,26
obveznost,26
ohranjanje,26
reklo,26
obravnava,26
podoben,26
najbolj,26
noben,26
ustvarjalec,26
čim,26
seja,25
naloga,25
številen,25
predloga,25
začetek,25
strošek,25
prebrati,25
muzej,25
televizijski,25
6,25
proračunski,25
trg,25
zahvaljevati,25
pričakovati,25
društvo,25
prispevek,24
mena,24
no,24
povezovanje,24
resolucija,24
vseeno,24
zaposlen,24
nekak,24
spleten,24
ministrica,24
20,24
reševati,24
pripomba,24
smisel,24
zdeti,24
spodbuda,23
oblikovati,23
gledati,23
komisija,23
občinski,23
…,23
urediti,23
preden,23
zakaj,23
resor,23
opozoriti,23
močen,23
vir,23
perspektiva,23
sektor,23
večina,22
vrsta,22
znašati,22
realizacija,22
pomanjkljivost,22
dr,22
plača,22
oni,22
promocija,22
povečati,22
gospodarstvo,22
neodvisen,22
informacijski,22
okolje,22
elektronski,22
potrebovati,22
živ,22
točka,22
zahteva,22
razen,21
vključiti,21
obstajati,21
odbor,21
letos,21
stališče,21
obnoviti,21
status,21
spraviti,21
pogoj,21
učinkovit,21
uporaba,21
tedaj,21
sodelovati,21
vključen,21
celovit,21
pogovarjati,21
star,21
investicijski,20
storitev,20
odgovoriti,20
bistvo,20
znanost,20
gospod,20
2,20
slab,20
meniti,20
register,20
agencija,20
ovira,20
znan,20
zaseben,20
slišati,20
odgovor,20
last,20
določati,20
točen,19
družina,19
pojaviti,19
skrbeti,19
upravljanje,19
odločiti,19
nit,19
nekdo,19
ogrožen,19
odlok,19
inšpektorat,19
skrb,19
proučiti,19
ogromen,19
industrija,19
znesek,19
drugačen,19
nad,19
pokazati,19
sprejeti,19
pristojnost,19
omogočiti,19
podpora,18
plačilo,18
podpirati,18
gledališče,18
praksa,18
sofinancirati,18
poznati,18
model,18
odvisen,18
oblika,18
odločba,18
umetnik,18
problematika,18
akcijski,18
mogoč,18
vpliv,18
predpisan,18
nizek,18
matić,18
producent,18
manjkati,18
kljub,18
praktičen,18
udeležba,18
spet,17
poudariti,17
prejeti,17
položaj,17
drugače,17
splošen,17
čez,17
dom,17
pomeniti,17
sod,17
prositi,17
slediti,17
tuj,17
političen,17
dolg,17
osnutek,17
zagotavljanje,17
potruditi,17
kohezijski,17
dama,17
seznam,17
2009,17
ukvarjati,17
tujina,17
urejati,17
mera,17
povezava,17
obstoječ,16
predlagatelj,16
odstavek,16
knjižničen,16
ustvariti,16
uprava,16
zakonodajen,16
umetnosten,16
produkcija,16
njen,16
znanje,16
besedilo,16
poseg,16
hud,16
deležnik,16
odnos,16
prostorski,16
usmeritev,16
26,16
nanašati,16
pomanjkanje,16
sedanji,16
spodbujati,16
vložiti,16
bralen,16
kazati,16
širok,16
stroka,16
kulturnik,16
2010,16
uporabnik,16
ljubljana,16
smeti,16
kakovost,16
slovenec,16
sofinanciranje,16
lasten,16
čist,15
človekov,15
medtem,15
dovolj,15
predsednik,15
oba,15
takoj,15
skoraj,15
škoda,15
sklop,15
12,15
dajati,15
medresorski,15
moč,15
dostopnost,15
praviti,15
rok,15
odgovoren,15
objavljen,15
zahtevati,15
šele,15
obseg,15
vloga,15
izmed,15
poraba,15
zagotovljen,15
prioriteta,15
truditi,15
vedno,15
poročilo,15
piš,15
red,14
prispevati,14
dejstvo,14
podpreti,14
raznolikost,14
realen,14
sanacija,14
uresničiti,14
razglasitev,14
sng,14
definicija,14
splet,14
reševanje,14
akos,14
imenovati,14
znotraj,14
notri,14
svetoven,14
veljaven,14
predpis,14
urejen,14
tovrsten,14
roka,14
pripravljen,14
lotiti,14
navedba,14
številka,14
znati,14
premalo,14
pismenost,14
isti,14
uspešen,14
rast,14
aktivnost,14
vojen,14
sfera,13
koalicija,13
želja,13
imenovan,13
samostojen,13
prenos,13
sestanek,13
nazaj,13
majhen,13
voda,13
dostikrat,13
varovati,13
ugotavljati,13
verski,13
razmišljati,13
predstaviti,13
maribor,13
resorjev,13
27,13
glasben,13
usklajevanje,13
potekati,13
najti,13
doseči,13
vila,13
poskrbeti,13
hiter,13
20142020,13
določiti,13
zraven,13
arheološki,13
spreminjati,13
zbirka,13
enkrat,13
novinar,13
pomagati,13
spodbujanje,13
veljati,13
predvidevati,13
znak,13
razumeti,13
stalen,13
dokumentacija,13
oseba,13
približen,13
razpolaga,13
predstavitev,13
današnji,13
njegov,13
trije,13
predsedujoč,13
obvezen,13
grobišče,13
vzgoja,12
preveriti,12
usklajen,12
pristojen,12
odločitev,12
marsikaj,12
bolje,12
prihajati,12
prevzeti,12
kasneje,12
sporen,12
dostopen,12
nivo,12
15,12
ekonomski,12
zaposlovanje,12
primeren,12
koalicijski,12
oblikovanje,12
delen,12
uraden,12
šport,12
eden,12
razviden,12
pregled,12
reden,12
omenjati,12
9,12
turističen,12
dogodek,12
brut,12
ustaven,12
voditi,12
vpis,12
župan,12
običajen,12
radiotelevizija,12
razstava,12
črpanje,12
aktiven,12
znižati,12
sodoben,12
tehnologija,12
kdo,12
davčen,12
uporabljati,12
predstavnik,12
raziskava,11
vmes,11
sklep,11
pozornost,11
kadar,11
opravljati,11
odprava,11
nekolik,11
strokovnjak,11
prenov,11
storiti,11
izhajati,11
ohraniti,11
realizirati,11
pristop,11
prijava,11
faza,11
drugod,11
1,11
dopolnitev,11
vzdrževalen,11
16,11
nikoli,11
popolnoma,11
primerjava,11
ostajati,11
posluh,11
primopredaja,11
razmera,11
dogovoriti,11
soglasje,11
življenje,11
narejen,11
zavezanec,11
22,11
sto,11
poročiti,11
galerija,11
vložen,11
vzdrževanje,11
prenesti,11
urejanje,11
smiseln,11
umetniški,11
politik,11
hiša,11
pozitiven,11
najmanj,11
zaščita,11
navajati,11
2011,11
dodati,11
ustvarjalen,11
situacija,11
sistem,11
nameravati,11
ksevt,11
načrtovan,10
včasih,10
morebiten,10
ustanova,10
trajen,10
privoščiti,10
univerziteten,10
volja,10
srečanje,10
zavarovati,10
800,10
posel,10
kartuzija,10
uskladiti,10
postaviti,10
sporazum,10
korupcija,10
nakup,10
ljubiteljski,10
institucija,10
narod,10
izvajalec,10
korist,10
stik,10
pogovoriti,10
nepovraten,10
izpostavljen,10
11,10
živeti,10
povedan,10
4,10
dovoliti,10
poslanski,10
otrok,10
opozarjati,10
dejanje,10
leten,10
uresničevanje,10
oživljanje,10
poudarek,10
prihodnji,10
skozi,10
glaven,10
odgovornost,10
pozdrav,10
civilen,10
direktor,10
snežnik,10
obljubiti,10
2012,10
mandati,10
lastnik,10
potencial,10
tehničen,10
izkoristiti,10
koordinator,10
poslušati,10
ideja,10
izvedben,10
izboljšanje,10
