Priimek,Števec
prikl,5
tomić,2
trček,102
ban,3
cink,0
ferluga,34
kavčič,14
kotnik,10
prelog,0
ranc,10
šergan,35
zorčič,22
dekleva,6
brglez,18
košnik,0
horvat,149
koleša,19
kramar,25
matić,3
murgel,3
rajić,17
shaker,9
dolinšek,0
škodnik,8
škopac,7
zajc,21
zorman,5
gantar,0
hainz,7
hršak,7
kotnik,10
levičar,32
battelli,0
breznik,8
brinovšek,8
grims,18
irgl,0
lep,911
logar,50
mahnič,4
podkrajšek,11
pojbič,2
šircelj,30
muršič,2
nemec,63
horvat,149
vrtovec,2
kovačič,7
hanžek,0
kordiš,23
škoberne,8
vilfan,3
veber,4
krajnc,4
janša,1
göncz,0
tanko,1
novak,1
han,5
sluga,7
tonin,6
jurša,6
gorenak,3
vervega,3
potočnik,49
kopmajer,0
žibert,11
godec,7
krivec,6
lisec,7
pogačnik,30
žnidar,21
dimic,2
tašner,3
bizjak,0
lipicer,5
möderndorfer,23
verbič,10
mesec,116
čuš,43
laj,1
ljubič,0
počkaj,0
bratušek,20
lah,32
dobovšek,2
bačič,0
klanjšček,18
radič,0
tabaković,2
