Priimek,Števec
prikl,0
tomić,2
trček,0
ban,0
cink,1
ferluga,0
kavčič,2
kotnik,5
prelog,1
ranc,0
šergan,1
zorčič,5
dekleva,0
brglez,0
košnik,0
horvat,0
koleša,4
kramar,0
matić,0
murgel,3
rajić,1
shaker,1
dolinšek,0
škodnik,0
škopac,1
zajc,1
zorman,0
gantar,1
hainz,0
hršak,0
kotnik,5
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,8
irgl,3
lep,239
logar,0
mahnič,0
podkrajšek,0
pojbič,0
šircelj,2
muršič,4
nemec,0
horvat,0
vrtovec,5
kovačič,0
hanžek,4
kordiš,0
škoberne,0
vilfan,1
veber,0
krajnc,1
janša,1
göncz,0
tanko,3
novak,0
han,0
sluga,2
tonin,0
jurša,0
gorenak,16
vervega,1
potočnik,0
kopmajer,0
žibert,9
godec,0
krivec,3
lisec,0
pogačnik,0
žnidar,0
dimic,3
tašner,0
bizjak,0
lipicer,0
möderndorfer,9
verbič,2
mesec,9
čuš,1
laj,1
ljubič,0
počkaj,0
bratušek,0
lah,0
dobovšek,0
bačič,3
klanjšček,0
radič,2
tabaković,0
