Beseda,Števec
biti,1416
in,1377
ta,1250
da,1242
v,1052
jesti,1036
na,754
za,535
tudi,521
se,513
pa,485
ki,474
o,408
torej,393
ne,327
tak,304
z,268
državen,268
lep,239
s,236
on,231
predlog,227
jaz,203
kot,190
še,176
ves,172
razprava,170
zakon,167
k,160
kar,157
člen,150
imeti,150
misliti,148
točka,138
beseda,137
sicer,134
že,128
želeti,126
slovenija,115
drug,114
sam,113
kateri,113
po,113
zbor,111
lahek,110
pravosodje,110
odbor,108
do,107
pravica,107
predlagati,105
praven,105
če,103
danes,103
prav,99
ali,97
sodišče,97
tukaj,95
glasovanje,94
iz,91
iti,91
hvala,91
ampak,91
področje,88
potem,88
podatek,87
seja,86
kdo,85
gospoda,82
skupina,82
del,81
zato,80
nek,79
postopek,79
takšen,78
pri,77
ter,76
sprememba,76
glede,75
bistvo,75
dan,74
let,73
poslanski,71
ker,71
soden,69
zaradi,68
človekov,67
ozir,67
nadaljevati,66
sem,66
gospa,64
raven,64
zadeva,63
kakšen,63
treba,62
govoriti,62
narediti,62
svoj,61
sklep,61
prositi,61
potreben,61
svet,61
glasovati,61
država,60
način,59
dejanski,58
red,58
seveda,57
morati,57
mnenje,57
današnji,56
vprašanje,55
tožilstvo,54
priporočiti,54
določen,54
proti,53
velik,53
zveza,53
ustrezen,52
republika,52
podlaga,52
dneven,52
poročilo,52
zelo,51
tisti,51
izvolitehvala,51
obravnava,51
morda,51
posamezen,51
predlagatelj,50
ti,50
enkrat,50
pred,49
mesto,49
amandmaj,49
ko,49
ministrstvo,49
evropski,47
en,47
gospodarski,47
sprejet,47
povedati,47
izvoliti,46
poslovnik,46
videti,45
članov,45
spoštovan,45
nekak,44
prehajati,44
ugotavljati,43
vedeti,43
amand,43
1,42
5,42
2015,42
stran,41
vrhoven,41
prvi,41
moj,41
meniti,41
nekaj,41
glas,41
spoštovanje,41
javen,40
tožilec,40
smer,39
stališče,39
pojasnilo,39
vlada,39
kazenski,39
okvir,38
posloven,38
10,38
lepahvala,38
kolega,38
odstavek,37
čas,37
dajati,37
predvsem,37
nanašati,37
oda,37
služba,37
generalen,37
razpravljati,37
pravi,36
ukrep,36
naslednji,36
namen,36
zaključevati,35
sklad,35
dober,35
res,35
zakonodaja,35
ime,34
nadaljevanje,34
delovanje,34
obravnavati,34
smisel,34
sistem,34
med,33
bolj,33
primer,33
gospod,33
žeti,33
vsebinski,33
poudariti,32
vezan,32
pomemben,32
kaj,32
strinjati,31
moči,31
podpirati,31
zaupanje,31
2014,31
zdaj,31
2,30
dodaten,30
različen,30
predstavnik,30
obrazložitev,29
varnost,29
transparentnost,29
komisija,29
sedaj,29
kjer,29
ocena,29
smca,29
vendar,29
9,29
naš,29
kak,29
sprejeti,29
kodeks,28
podpreti,28
zgolj,28
zakonodajnopraven,28
naveden,28
deloven,28
vidik,28
predlagan,28
mora,28
dejanje,28
odločitev,28
vaš,28
pomen,27
izboljšati,27
član,27
državnotožilski,27
vsak,27
imenovanje,27
ostal,27
6,27
naj,27
reč,27
–,27
nov,26
hvalahvala,26
mogoč,26
bit,26
ustaven,26
organ,26
ureditev,25
predsednik,25
resolucija,25
skupaj,25
varstvo,25
stvar,25
register,25
slediti,25
ob,25
pomoč,25
poslanec,25
dva,25
kazati,25
promet,25
učinkovitost,25
zagotoviti,24
korupcija,24
stanje,24
dati,24
razlog,24
jasen,24
pogledati,24
oseben,24
kršitev,24
veljati,24
število,24
omogočiti,24
zahteva,24
ugotoviti,23
zagotavljanje,23
izpostaviti,23
izrecen,23
3,23
pod,23
vsebina,23
prispevati,22
kajti,22
kolegica,22
nadomeščati,22
več,22
povezava,22
leto,22
4,22
amandmajati,22
subjekt,22
okolje,22
zakonik,22
slovenski,22
telo,21
posebej,21
poimenovanje,21
oglašanje,21
predstaviti,21
saj,21
poročiti,21
družba,21
pač,21
urejanje,21
določati,21
rezultat,21
prihodnji,21
dr,21
tolik,21
temeljen,20
predloga,20
verjeti,20
tale,20
korak,20
učinkovit,20
tu,20
naslov,20
vsekakor,20
odgovornost,20
določba,19
možnost,19
preprečevanje,19
nadaljnji,19
matičen,19
opozoriti,19
podati,19
noveti,19
ugotovitev,19
sodstvo,19
cilj,19
razpravljavec,19
vedno,19
nadzor,19
pomeniti,18
obstoječ,18
delo,18
držati,18
priti,18
upraven,18
ponoven,18
zanimati,18
minister,18
sodnik,18
članica,18
upoštevati,18
opozarjati,18
verjeten,18
rok,18
odvetniški,18
predhoden,18
vloga,18
omogočati,18
segment,18
nujen,18
dvorana,18
spomniti,17
poseg,17
dopolnitev,17
nihče,17
bistven,17
si,17
konkreten,17
mednaroden,17
takrat,17
spleten,17
žal,17
objavljen,17
tovrsten,17
resničen,17
njegov,17
trije,17
potrebovati,16
sodba,16
gorenek,16
predložiti,16
kazniv,16
razmišljati,16
dobiti,16
posredovati,16
nasprotovati,16
analiza,16
terorističen,16
nezakonit,16
visok,16
priprava,16
razen,15
tarifa,15
brezplačen,15
obstajati,15
integriteta,15
faza,15
lestvica,15
strošek,15
ja,15
tuj,15
oblika,15
delovati,15
zakaj,15
reklo,15
sredstvo,15
2009,15
slišati,15
zadnji,15
miza,15
izreden,14
splošen,14
sodnikov,14
besedilo,14
odločati,14
zagotavljati,14
maga,14
političen,14
primeren,14
7,14
določiti,14
drugačen,14
zalar,14
le,14
2013,14
predstavnica,14
kakršenkoli,14
isti,14
stranka,14
jan,14
pokazati,14
socialen,14
urejati,14
plačilo,13
položaj,13
odgovor,13
drugače,13
dejstvo,13
nič,13
potreba,13
dostop,13
številka,13
objava,13
institut,13
rešitev,13
pogoj,13
poseben,13
pravobranilstvo,13
vključen,13
pričenjati,13
vložen,13
načelo,13
direktor,13
navezati,13
razumeti,13
gradivo,13
noben,13
oseba,13
izmed,13
sprejemati,13
škrlec,13
dosti,13
odvetništvo,13
organizacija,13
potek,13
mnog,13
seznaniti,13
smeti,13
naprej,12
morebiten,12
pravosoden,12
njen,12
nekdo,12
formulacija,12
desus,12
začetek,12
deklaracija,12
kazalnik,12
morala,12
14,12
posledica,12
spoštovati,12
dovoliti,12
doseči,12
predsedujoč,12
razmerje,12
neodvisnost,12
ustvarjati,12
skozi,12
ravnanje,12
nepotreben,12
ustava,12
ba,12
prijavljen,12
predstavljati,12
oblast,12
edin,12
kazen,12
nekateri,12
pričakovati,12
izboljšanje,12
njihov,12
anje,12
akt,11
podpora,11
politika,11
temelj,11
namenjen,11
prostor,11
odločanje,11
dokument,11
prihajati,11
zakonski,11
izvajanje,11
sploh,11
namreč,11
rečen,11
premoženje,11
kolikor,11
izpostavljen,11
prebrati,11
slab,11
ostajati,11
replik,11
mali,11
predsednica,11
hkrati,11
nikakor,11
stopnja,11
praviti,11
situacija,11
napačen,11
celota,11
skupen,11
dovolj,11
zavedati,11
pristojnost,11
sodelovati,11
kljub,11
sfera,10
mimo,10
končen,10
opravljati,10
sistemski,10
vsaj,10
prejeti,10
strokoven,10
veja,10
pobuda,10
zastopanje,10
postavljati,10
zoper,10
dopis,10
fišer,10
delati,10
11,10
12,10
deležnik,10
temeljit,10
zps,10
funkcija,10
odnos,10
kriterij,10
državljan,10
izvrševanje,10
narejen,10
uraden,10
pozdravljati,10
skrajšan,10
leten,10
govor,10
odpirati,10
vsebovati,10
opozorilo,10
zaključiti,10
poslanka,10
samostojnost,10
poročevalec,10
pogovarjati,10
vpis,10
dopolniti,10
poudarjati,10
obveznost,9
interpretacija,9
