Beseda,Števec
ta,790
biti,737
jesti,520
da,440
v,433
in,393
se,358
tudi,276
na,230
pa,215
ne,197
za,184
jaz,175
ki,155
nek,144
ali,143
s,142
kot,130
torej,129
ampak,116
kar,109
še,97
tak,94
ker,93
o,91
lahek,84
že,83
z,80
če,80
zelo,72
do,72
meniti,71
področje,71
skupnost,70
tisti,70
vprašanje,67
sem,65
tukaj,64
danes,63
drug,63
pri,61
zadeva,59
zdaj,58
ves,56
naroden,56
stvar,55
pač,55
zgolj,50
imeti,49
predvsem,49
vidik,48
en,47
velik,44
predlagati,44
potem,44
sicer,43
ozir,43
zakon,42
gospoda,42
komisija,42
sam,42
verjeten,42
lep,42
iti,40
zato,40
iz,38
bolj,38
razprava,38
stran,37
žal,35
po,35
zaradi,34
dejanski,33
on,33
res,33
poudariti,32
predlog,32
reklo,32
kljub,32
sklep,31
program,31
zveza,31
morda,31
nedvomen,31
proračun,31
ministrstvo,31
primer,30
vedeti,30
seja,29
težava,29
tu,29
mora,29
kulturen,29
beseda,29
kontekst,28
kultura,28
vsebina,28
predsednik,27
želeti,27
dober,27
gospa,26
seveda,26
vlada,26
ko,26
sredstvo,26
državen,26
let,26
mera,26
jezik,25
moj,25
del,25
dva,25
sedaj,25
k,24
morati,24
rebalans,24
vsaj,24
zadnji,24
vedno,24
okvir,23
kjer,23
ostal,23
vsebinski,23
naš,23
nekje,23
hvala,23
odbor,22
dejavnost,22
nekaj,22
raven,22
vendar,22
skratka,22
kakorkoli,22
splošen,21
priti,21
govoriti,21
ugotavljati,21
kateri,21
postavka,21
problem,21
smer,20
slovenija,20
pomemben,20
območje,20
videti,19
gospod,19
povedan,19
kaj,19
podoben,19
povedati,19
naslednji,19
naj,19
oda,19
takšen,18
preteklost,18
tikati,18
točka,18
strinjati,17
politika,17
nekolik,17
podpreti,17
omeniti,17
več,17
glede,17
omenjen,16
drugače,16
prvi,16
pristop,16
morala,16
razlog,16
konkreten,16
posebej,16
problematika,16
prav,16
konec,16
bit,16
madžarski,16
red,16
skupina,16
kdo,16
trenutek,16
naprej,15
dneven,15
pravi,15
upati,15
čas,15
jasen,15
osnova,15
služba,15
poudarjati,15
današnji,15
lepahvala,14
član,14
svoj,14
strokoven,14
stanje,14
pred,14
dediščina,14
dolg,14
drugačen,14
celoten,14
zbor,14
mandati,14
praktičen,14
tovrsten,13
sploh,13
pomen,13
izreden,13
uvod,13
omenjati,13
moči,13
težek,13
nit,13
narodnosten,13
potreben,13
svet,13
vsekakor,13
pojavljati,13
celota,13
širok,13
2015,13
zavedati,13
preprost,13
mena,12
stavek,12
nadaljevanje,12
odločati,12
stališče,12
prisoten,12
ti,12
ministrica,12
ocena,12
nikakor,12
spoštovan,12
razumeti,12
začeti,12
le,12
določen,12
stranka,12
zdeti,12
sistem,12
javen,11
treba,11
poskušati,11
prej,11
člen,11
slab,11
korak,11
manj,11
leto,11
zakonodajnopraven,11
mesec,11
poslanec,11
proračunski,11
rtv,11
tam,11
izobraževanje,11
država,11
narediti,11
poročilo,11
med,10
podpora,10
možnost,10
odstavek,10
premakniti,10
ocenjevati,10
postavljati,10
poudarjen,10
italijanski,10
rešitev,10
pravica,10
deloven,10
govor,10
kak,10
nedvoumen,10
sprejet,10
poslanski,10
pozitiven,10
dan,10
praven,10
dodati,10
kolega,10
–,10
čist,9
pravilen,9
koalicija,9
kolegica,9
kdorkoli,9
postopek,9
faza,9
kratek,9
skupaj,9
oseben,9
nekateri,9
smisel,9
prvič,9
situacija,9
razpravljati,9
ugotoviti,8
sistemski,8
evropski,8
dolgoročen,8
obstajati,8
nihče,8
besedilo,8
1,8
precej,8
nacionalen,8
prebrati,8
informacija,8
proti,8
podati,8
spuščati,8
hkrati,8
plat,8
dosti,8
odločitev,8
mandat,8
sedanji,8
globalen,8
noben,8
sprejeti,8
ukvarjati,8
tehten,8
slovenski,8
avtohton,8
zaključevati,7
neposreden,7
določba,7
telo,7
kandidat,7
naloga,7
tretji,7
zaplesti,7
uprava,7
mandatnovolilen,7
majhen,7
no,7
predsednica,7
trend,7
povezan,7
dati,7
nov,7
napaka,7
izpostavljen,7
izpostaviti,7
saj,7
poročiti,7
živeti,7
republika,7
amand,7
primeren,7
ob,7
oblika,7
gospodarski,7
varuh,7
5,7
mali,7
pozdravljati,7
gledan,7
enota,7
celovit,7
zaključiti,7
manjšinski,7
urad,7
mnenje,7
dovolj,7
raziskovalen,7
pričakovati,7
obdobje,7
dotakniti,7
iskren,7
uredba,6
pristojen,6
zakonodajen,6
javnost,6
večkrat,6
odločiti,6
zakonski,6
vrednota,6
prizadevanje,6
oba,6
si,6
finance,6
priznati,6
racionalen,6
nikoli,6
specifičen,6
temeljit,6
opravičiti,6
političen,6
dobiti,6
jemati,6
prejšnji,6
znesek,6
imenovati,6
narodnost,6
amandmaj,6
kakšen,6
ohranjanje,6
mogoč,6
misliti,6
sprememba,6
gradivo,6
misel,6
oseba,6
znanstven,6
pozdraviti,6
glasovati,6
isti,6
generalen,6
organizacija,6
razlika,6
sleherni,6
predstavnik,6
večina,5
delo,5
interpretacija,5
akt,5
vladen,5
pozivati,5
človekov,5
obračati,5
dejstvo,5
imenovan,5
dr,5
nič,5
upraven,5
krog,5
poseg,5
navesti,5
specifik,5
drža,5
nazaj,5
bati,5
rabiti,5
institucija,5
delovanje,5
preklicati,5
formalen,5
razkorak,5
koalicijski,5
narekovaj,5
noč,5
presegati,5
dajati,5
družba,5
dogovor,5
pristopiti,5
primerjava,5
pot,5
pod,5
dejati,5
zamejski,5
spraševati,5
vrednost,5
ogromen,5
nekak,5
določati,5
predlagan,5
opozoriti,5
glasovanje,5
cel,5
breza,5
obravnavati,5
žeti,5
podlaga,5
iskati,5
odpirati,5
enkrat,5
finančen,5
dvojezičnost,5
prevajanje,5
obravnava,5
napačen,5
všeč,5
sds,5
čeprav,5
najbolj,5
občutljiv,5
pripravljen,5
