Beseda,Števec
biti,3639
ta,2959
jesti,2189
da,1914
in,1681
v,1594
se,1295
pa,1148
za,956
na,942
ne,804
jaz,738
tudi,725
ki,676
tak,546
ali,515
sam,492
reklo,392
s,367
ves,363
on,360
zelo,345
imeti,345
če,342
z,335
velik,312
o,289
danes,286
še,282
vedeti,274
projekt,274
ker,274
že,264
tu,261
ampak,261
vlada,256
kot,256
let,252
zakon,238
drug,234
sklep,233
tisti,233
iti,231
slovenija,227
po,226
dober,222
zdaj,218
kakšen,207
potem,198
treba,197
pravi,195
pri,194
tukaj,194
en,192
lahek,187
kar,178
minister,177
seveda,177
dejanski,173
del,171
ministrstvo,170
iz,168
kaj,168
sredstvo,166
naš,164
kak,163
leto,162
do,159
nov,157
država,151
finančen,149
oda,146
dati,142
spoštovan,142
lep,141
res,140
vprašanje,138
nek,135
stran,133
stvar,133
področje,133
več,132
slovenski,132
ozir,130
državen,130
ti,127
svoj,126
sem,125
investicija,118
določen,115
primer,114
predlog,112
govoriti,111
kjer,109
proračun,109
odgovor,108
moj,108
ostal,107
dva,106
gospodarstvo,105
misliti,102
takšen,100
predlagati,100
kolega,97
izjemen,96
pomemben,96
mali,96
kateri,96
milijon,96
nekaj,95
kajti,94
jasen,94
narediti,91
si,90
možnost,85
priti,85
čas,85
ob,85
kmetijski,85
ko,83
razprava,83
predsedujoč,82
glede,82
pogledati,81
način,77
ukrep,77
naj,77
noben,77
evropski,76
sedaj,76
slab,76
skratka,76
mora,75
ja,74
nit,73
kolik,72
segment,72
vaš,72
potreben,71
naprej,70
javen,68
razvoj,68
bolj,68
poslanec,68
kolegica,67
praksa,67
strokoven,66
želeti,65
zanimati,65
družba,65
republika,65
zemljišče,65
trije,65
gospodarski,64
perspektiva,64
konec,64
povedati,64
reč,64
infrastruktura,63
nadaljevanje,63
stranka,63
podatek,63
verjeti,62
hvala,62
program,61
nič,61
zadeva,61
vsak,60
gospoda,60
prvi,60
zaradi,60
denar,60
nekak,60
prostor,59
sklad,59
meniti,59
takrat,59
nalog,59
k,58
rok,58
odbor,58
prej,58
naslednji,58
delo,57
cena,57
cesta,57
videti,56
demokratski,56
mogoč,56
bit,56
osnoven,56
–,56
strošek,55
hiter,55
absoluten,55
promet,55
občina,54
stanje,54
sprejeti,54
čim,54
predvsem,53
agencija,53
beseda,53
sprememba,52
odsek,51
rešitev,51
konkreten,51
osnova,51
morati,51
dejstvo,50
posloven,50
luk,50
2015,49
problem,49
moči,48
voda,48
delati,48
skupina,48
koper,48
pomen,47
dovoljenje,47
morala,47
popolnoma,47
dobiti,47
pogoj,47
reči,47
gradben,46
poslanski,46
dan,46
med,45
prihodnost,45
vprašati,45
ministrica,44
podati,44
vendar,44
krepek,44
mena,43
manj,43
tolik,43
bistven,42
prostorski,42
problematika,42
okolje,42
zato,42
skupnost,41
strinjati,41
realizacija,41
kratek,41
vesel,41
hvalahvala,41
prav,41
reševati,41
isti,41
investicijski,40
realizirati,40
dajati,40
raven,40
postopek,39
podpreti,39
prositi,39
umeščanje,39
visok,39
sploh,38
izgradnja,38
saj,38
pač,38
mesec,38
razvojen,38
nazaj,38
ključen,38
sprejet,38
okvir,37
tretji,37
enostaven,37
težava,37
mnenje,37
zavedati,37
operativen,36
energetski,36
pred,36
škoda,36
kriterij,36
upravljanje,36
število,36
načrt,36
člen,35
tir,35
praven,35
začeti,35
tam,35
pokazati,35
razlika,35
dolg,34
moč,34
agraren,34
red,34
vedno,34
celoten,34
lastnik,33
jutro,33
11,33
kje,33
pol,33
breza,33
odločitev,33
2016,33
različen,33
železniški,32
zame,32
gledati,32
pot,32
dars,32
vidik,32
poznati,32
gradnja,32
poplava,32
znati,32
resor,31
oba,31
pod,31
energija,31
mera,31
tisoč,30
dejavnost,30
optimist,30
eden,30
rebalans,30
20,30
zbor,30
razumeti,30
slišati,30
kakršenkoli,30
čist,29
zgoditi,29
predsednica,29
proti,29
vrednost,29
zakaj,29
namen,29
stati,29
kmetija,29
kdo,29
zakonodaja,29
seja,28
sedež,28
kolikor,28
stroka,28
skupaj,28
os,28
enak,28
konstruktiven,28
dokaj,28
vsebina,28
okoljski,28
današnji,28
njihov,28
pristop,27
terminski,27
številka,27
6,27
lokalen,27
obseg,27
sprejemati,27
zdeti,27
razpravljati,27
cestnina,27
predlagatelj,26
ever,26
območje,26
objekt,26
pozdrav,26
rešiti,26
naloga,25
kmetijstvo,25
postaviti,25
resen,25
nadaljnji,25
informacija,25
plan,25
drugačen,25
vzdrževanje,25
pet,25
služba,25
pripraviti,25
sistem,25
gospodar,24
koalicija,24
čez,24
stanovanjski,24
realen,24
korak,24
opraviti,24
povečanje,24
spraševati,24
stanovanje,24
prinesti,24
davek,24
ravnanje,24
globa,24
graditi,24
možen,24
prihodek,24
obdobje,24
štirje,24
miza,24
tema,24
priprava,24
vrsta,23
prevoz,23
zagotoviti,23
majhen,23
izvajanje,23
začetek,23
odločati,23
ugotavljati,23
hvalaspoštovan,23
židan,23
reševanje,23
oprava,23
razpis,23
strategija,23
plačevati,23
poraba,23
rast,23
povezava,23
obstoječ,22
spremeniti,22
zgraditi,22
optimizem,22
koroški,22
prihajati,22
zakonski,22
podpirati,22
delovanje,22
prisoten,22
član,22
opozarjati,22
podeželje,22
negativen,22
mlad,22
amandmajati,22
potrebovati,22
časoven,22
točka,22
predstavnik,22
prometen,22
50,21
gospod,21
naslov,21
preteklost,21
vir,21
rabiti,21
verjeten,21
nikakor,21
obveznost,21
cesten,21
edin,21
zmanjšanje,21
manjkati,21
zadnji,21
teči,21
vrniti,21
gozd,21
omejitev,21
gospa,20
dolina,20
last,20
težek,20
dodaten,20
predloga,20
višina,20
omeniti,20
1,20
precej,20
2,20
mesto,20
soglasje,20
poseben,20
ostati,20
zmanjšati,20
odgovornost,20
najbolj,20
cilj,20
pogovarjati,20
element,20
ukvarjati,20
omenjen,20
človek,20
poročilo,20
večina,19
100,19
procent,19
občuten,19
kazen,19
odločiti,19
faza,19
vezan,19
nacionalen,19
najprej,19
dinamik,19
oni,19
čeprav,19
odprt,19
upoštevati,19
dejanje,19
delež,19
predhoden,19
umeščen,19
ovira,19
zaščita,19
hrana,19
koridor,19
2014,19
kdaj,19
aktivnost,19
nadzor,19
podpora,18
naprava,18
strok,18
izboljšati,18
dokument,18
predsednik,18
komisija,18
letošnji,18
margareta,18
mimo,18
izključen,18
urediti,18
guček,18
maga,18
amand,18
spoštovati,18
2014–2020,18
zakošek,18
povsem,18
rezultat,18
oseben,18
domač,18
enkrat,18
pomagati,18
celota,18
zaskrbljujoč,18
raba,18
dodati,18
ura,18
uspešen,18
lipica,18
pričakovati,18
njegov,18
slika,17
financiranje,17
ogromen,17
bančen,17
finance,17
natančen,17
primerjava,17
faznost,17
opozoriti,17
ocena,17
notri,17
banka,17
infrastrukturen,17
podlaga,17
pozitiven,17
pripravljen,17
črpanje,17
premalo,17
čistilen,17
prioriteta,17
izvajati,17
kljub,17
praktičen,17
trenutek,17
oceniti,16
nepravilnost,16
vladen,16
smer,16
zavajati,16
glaven,16
izpostaviti,16
resoren,16
komasacija,16
3,16
poln,16
letališče,16
zaposlen,16
železnica,16
avtocesten,16
cel,16
kršitev,16
cestninski,16
vpliv,16
avtocesta,16
zagotovilo,16
umestitev,16
subjekt,16
predstavljati,16
evropa,16
