Priimek,Števec
prikl,2
tomić,0
trček,1
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,1
brglez,1
košnik,0
horvat,3
koleša,0
kramar,0
matić,1
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,1
škopac,0
zajc,0
zorman,0
gantar,0
hainz,2
hršak,0
kotnik,0
levičar,1
battelli,0
breznik,5
brinovšek,0
grims,0
irgl,0
lep,118
logar,0
mahnič,1
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,4
horvat,3
vrtovec,0
kovačič,0
hanžek,0
kordiš,2
škoberne,0
vilfan,0
veber,1
krajnc,0
janša,0
göncz,6
tanko,2
novak,2
han,3
sluga,1
tonin,0
jurša,2
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,2
lisec,2
pogačnik,0
žnidar,0
dimic,1
tašner,0
bizjak,1
lipicer,1
möderndorfer,4
verbič,1
mesec,16
čuš,1
laj,0
ljubič,0
počkaj,0
bratušek,2
lah,0
dobovšek,0
bačič,0
klanjšček,1
radič,0
tabaković,0
