Beseda,Števec
biti,3940
da,2522
ta,2509
in,2304
jesti,2015
v,1446
se,1260
tudi,1248
pa,1069
za,955
na,930
ne,808
ki,697
jaz,670
imeti,573
on,497
o,493
tak,488
ves,486
zakon,441
ker,434
ali,405
s,356
če,352
sem,339
kot,337
slovenija,329
z,322
zato,305
še,298
naš,296
sam,288
lahek,277
kar,272
drug,267
do,262
dober,251
že,248
vedeti,246
ko,245
potem,243
nov,229
ozir,217
država,217
velik,215
več,214
prav,214
svoj,204
nek,203
tisti,200
po,199
kak,197
pri,193
vlada,193
želeti,187
ti,184
ampak,176
nekaj,174
misliti,174
morati,173
kdo,172
torej,167
problem,167
pomemben,165
kaj,165
zelo,164
področje,164
čas,160
slovenski,160
šola,157
iz,157
človek,152
seveda,151
potreben,151
državen,150
let,148
predlagati,146
zaradi,145
razprava,144
en,143
k,142
govoriti,142
nekateri,140
zakaj,133
tukaj,132
narediti,132
sedaj,126
takšen,125
si,125
vedno,123
iti,123
mora,122
naprej,118
bolj,118
lep,118
mlad,117
oda,117
komisija,113
evropski,112
različen,112
grobišče,112
pač,111
kateri,109
stvar,108
člen,104
stran,102
gospoda,102
res,102
predlog,101
beseda,100
vendar,99
seja,97
javen,95
delati,95
ministrstvo,95
razpravljati,94
kakšen,92
del,90
bit,89
poslanec,88
vsak,87
reklo,86
otrok,85
sredstvo,85
morala,84
kjer,84
naj,83
slišati,81
denar,80
svet,80
podjetje,79
izobraževanje,79
sprejet,79
vendarle,79
minister,78
ob,78
priti,77
predsednik,77
rešitev,77
program,77
–,77
med,76
moči,76
prej,76
ministrica,76
povedati,76
vojen,76
treba,75
amand,75
določen,75
ugotavljati,74
dobiti,74
političen,74
pravica,74
kolega,74
žeti,73
stranka,73
konec,72
glede,72
predvsem,71
vprašanje,71
gospa,70
zveza,70
njihov,70
sistem,69
žrtev,69
slovenec,69
parlament,69
gospodarstvo,69
tam,68
vaš,68
videti,67
podpreti,67
zdaj,67
politika,66
pravi,65
odbor,65
znanje,65
proti,65
sicer,64
delo,63
odgovoren,61
nekdo,61
premalo,61
možnost,60
podpirati,60
primer,60
sprememba,60
potrebovati,59
nihče,58
visok,58
žal,57
danes,57
spraševati,56
takrat,56
šolstvo,56
zaseben,56
občina,55
kolegica,54
mali,54
dati,54
manj,54
zbor,54
dva,54
glasovati,54
mesto,53
pravzaprav,53
spoštovan,53
deloven,53
reševati,53
način,53
čim,53
strinjati,52
meniti,52
mogoč,52
morda,52
pričakovati,52
kajti,51
potreba,50
zagotovo,50
saj,49
ter,49
praviti,49
osnoven,49
zavedati,49
zdeti,49
izreden,48
ustrezen,48
skupaj,48
točka,48
pozdraviti,47
zgodovina,46
moj,46
državljan,46
evropa,46
sprejeti,46
vsebina,46
dogajati,46
sklep,45
postopek,45
pred,45
problematika,45
amandmaj,45
dan,45
dajati,44
srednji,44
konkreten,44
krščanski,44
mnenje,44
razvoj,43
volja,43
verjeti,43
spodbujati,43
socialen,43
upati,42
starš,42
primeren,42
namen,42
trije,42
raven,42
odpirati,41
prikrit,41
družina,41
izvajati,41
demokrat,41
dejanski,40
nič,40
dodaten,40
korak,40
prihodnost,40
praznik,40
koalicija,39
vsaj,39
težek,39
leto,39
cel,39
odgovornost,39
ukrep,39
skupnost,38
prvi,38
družba,38
glasovanje,38
mnog,38
večina,37
spet,37
pogost,37
strokoven,37
kultura,37
težava,37
enkrat,37
razumeti,37
proračun,37
večkrat,36
življenje,36
poznati,36
hkrati,36
velikokrat,36
dovolj,36
znova,36
nujen,36
vladen,35
vzgoja,35
najprej,35
živeti,35
vesel,35
resnica,35
najbolj,35
hvala,35
tolik,35
reč,35
reforma,34
pomen,34
zakonski,34
slab,34
čeprav,34
mera,34
plača,33
članov,33
posebej,33
enak,33
20,33
skupina,33
izboljšati,32
urediti,32
resolucija,32
služba,32
poslušati,32
podpora,31
delovanje,31
zahteva,31
razlog,31
član,31
hiter,31
preveč,31
inštitucija,31
pogledati,31
strategija,31
iskati,31
red,31
znati,31
dejstvo,30
demografski,30
odločati,30
unija,30
proslava,30
opozoriti,30
drugačen,30
finančen,30
podoben,30
politik,30
pogovarjati,30
tematika,30
učitelj,30
sodišče,30
stanje,29
stališče,29
strošek,29
verjeten,29
obravnava,29
tisoč,28
izkušnja,28
kandidat,28
zgoditi,28
prodaja,28
naslednji,28
spreminjati,28
pokopati,28
uspešen,28
financiranje,27
bolje,27
glaven,27
2,27
odnos,27
jasen,27
volitve,27
govor,27
milijon,27
dejati,27
predmet,27
sodelovati,27
odločiti,26
pokojninski,26
omeniti,26
majhen,26
nadaljevanje,26
kolik,26
zanimati,26
pokop,26
projekt,26
vložiti,26
poudarjati,26
hoteti,26
pripraviti,26
obstoječ,25
poseben,25
vzeti,25
namreč,25
drugače,25
pot,25
ženski,25
vrednost,25
najti,25
reči,25
kulturen,25
pomoč,25
zadnji,25
ura,25
kljub,25
priprava,25
zakonodaja,25
dom,24
javnost,24
prepričan,24
svojec,24
zadovoljen,24
10,24
republika,24
zaposlen,24
medij,24
zamejstvo,24
upoštevati,24
banka,24
amandmajati,24
poklic,24
pokojnina,24
pripravljen,24
kdaj,24
vlagati,24
predstavnik,24
spomniti,23
marsikaj,23
prihajati,23
povezan,23
sklad,23
gospod,23
skrb,23
prositi,23
kje,23
dolg,23
odločitev,23
število,23
širok,23
dr,23
današnji,23
tema,23
ugotoviti,22
sodelovanje,22
dneven,22
nit,22
privatizacija,22
zdravstven,22
smer,22
pripravljati,22
dejavnost,22
družinski,22
zadeva,22
nadaljevati,22
istospolen,22
breza,22
skupen,22
noben,22
vprašati,22
društvo,22
omogočati,22
delovati,22
včasih,21
pristojen,21
vrednota,21
veda,21
poklicen,21
koalicijski,21
telek,21
srečevati,21
zaslužiti,21
podlaga,21
največ,21
roka,21
le,21
last,21
star,21
pomagati,20
žalost,20
nazadnje,20
sploh,20
jezik,20
moški,20
izjava,20
oni,20
izpostaviti,20
register,20
glasben,20
funkcija,20
status,20
odločba,20
opozarjati,20
poslanka,20
nasprotovati,20
obravnavati,20
poslanski,20
podatek,20
pozitiven,20
plačevati,20
ustaven,20
knjižnica,20
isti,20
ever,19
prejšnji,19
medtem,19
bati,19
no,19
skoraj,19
izvoliti,19
ja,19
pripomoči,19
nekak,19
naroden,19
močen,19
manjšina,19
dostojen,19
gradivo,19
vpisati,19
urad,19
2015,19
delodajalec,19
njegov,19
organizacija,19
kandidatek,19
odgovarjati,19
pošten,19
naloga,19
oskrba,19
rešiti,19
razen,18
lastnik,18
prostor,18
preteklost,18
predloga,18
narod,18
znanost,18
kriza,18
začetek,18
izbira,18
vrsta,18
spoštovati,18
pogoj,18
poskrbeti,18
veljaven,18
zapisati,18
prebivalstvo,18
kriv,18
raziskovalec,18
sprava,18
urejati,18
mrtev,18
človekov,17
opravljati,17
knjižničen,17
odgovor,17
samostojen,17
postati,17
njen,17
postaviti,17
dogodek,17
pozivati,17
precej,17
prebrati,17
nastal,17
pod,17
povečati,17
podati,17
delavec,17
predstavljati,17
poleg,17
začeti,17
mena,17
izmed,17
pripomba,17
opozicija,17
demokracija,17
državljanov,17
smisel,17
nalog,17
smeti,17
osnovnošolski,17
poudariti,16
splošen,16
spodbuda,16
želja,16
srečanje,16
narobe,16
postavljati,16
spomenik,16
institucija,16
grob,16
kriterij,16
štipendija,16
prinašati,16
ostal,16
mesec,16
priložnost,16
eden,16
davek,16
oseben,16
vsekakor,16
zmanjšati,16
noveti,16
pojavljati,16
ravnati,16
sprejemati,16
rast,16
5,16
spremeniti,15
vložen,15
proga,15
storiti,15
izobraževalen,15
enostaven,15
obiskovati,15
izraziti,15
kratek,15
napaka,15
hud,15
znotraj,15
razmera,15
dolgotrajen,15
gospodarski,15
vidik,15
dejanje,15
državljanski,15
izraz,15
urejen,15
ravnanje,15
bog,15
obisk,15
odpraviti,15
vabiti,15
vloga,15
600,15
ljubljana,15
praktičen,15
pobuda,15
usklajen,14
podjetnik,14
kazati,14
pripeljati,14
članica,14
zagotoviti,14
resen,14
sprejemanje,14
zakonodajnopraven,14
ponoven,14
15,14
tu,14
svetoven,14
nadomestiti,14
očiten,14
reden,14
nizek,14
brezposelnost,14
izvesti,14
veljati,14
nad,14
kader,14
župan,14
približen,14
mir,14
predstavitev,14
zavzemati,14
zaključevati,13
nemčija,13
prodati,13
nekolik,13
združen,13
uprava,13
partnerski,13
nazaj,13
nekoč,13
izobraževati,13
zmanjševati,13
rok,13
pozdrav,13
nenehen,13
škoda,13
prisoten,13
dediščina,13
zahteven,13
3,13
italija,13
letnica,13
univerza,13
zahvaljevati,13
razmerje,13
vir,13
ponavljati,13
gotov,13
dijak,13
ustaviti,13
občutek,13
9,13
ovira,13
skratka,13
levica,13
30,13
manjkati,13
dodati,13
nekje,13
ukvarjati,13
izboljšanje,13
predvidevati,13
uporabljati,13
trenutek,13
raziskava,12
železniški,12
zaposlitev,12
držati,12
predlagatelj,12
položaj,12
telo,12
ustanova,12
okvir,12
čez,12
pohvaliti,12
odgovoriti,12
praznovati,12
namenjen,12
ideološki,12
varnost,12
šolski,12
račun,12
plačan,12
dopolnitev,12
nivo,12
izvajanje,12
prizadevati,12
financirati,12
totalitaren,12
1,12
bistven,12
sd,12
čedalje,12
11,12
staranje,12
informacija,12
meja,12
doseči,12
mednaroden,12
učinkovit,12
2009,12
tikati,12
naučiti,12
resničen,12
pomanjkanje,12
zanimiv,12
kvaliteten,12
pokazati,12
zdravstvo,12
nameniti,12
organ,12
domoljubje,12
obžalovati,12
trenuten,12
cesta,12
pameten,12
vojska,12
greda,12
učiteljev,12
nasilje,12
jutro,12
režim,12
celosten,11
uresničevati,11
pridobiti,11
prispevek,11
ime,11
sistemski,11
nadgrajevati,11
tretji,11
bogat,11
posmrten,11
gledati,11
obstajati,11
dokument,11
spremenjen,11
hitreje,11
arhivski,11
namesto,11
normalen,11
poročati,11
pet,11
desus,11
nadaljnji,11
posvetovalen,11
ostanek,11
tja,11
finance,11
povečevati,11
razmišljati,11
opraviti,11
navada,11
ravnatelj,11
potekati,11
civilizacijski,11
predsedujoč,11
pesem,11
imenovati,11
6,11
itn,11
drugič,11
zaposlovanje,11
marsikateri,11
norma,11
rekoč,11
sedanji,11
postaja,11
aktiven,11
sposoben,11
priporočiti,11
čakati,11
praven,11
hoditi,11
posameznik,11
zagotovljen,11
raziskovalen,11
možen,11
obdobje,11
demokratičen,11
učiti,11
omogočiti,11
obnašati,11
spoštovanje,11
povezava,11
daleč,10
pokrivati,10
nekajkrat,10
izražati,10
lanski,10
stanovanjski,10
izobrazba,10
sestavljen,10
temeljen,10
povezovati,10
zaključek,10
visokošolski,10
spomin,10
pogosteje,10
zgolj,10
domovina,10
preko,10
sprejetje,10
spodbuditi,10
šport,10
zmanipulirati,10
definicija,10
predstaviti,10
maribor,10
rada,10
žalosten,10
fakulteta,10
kakovosten,10
novel,10
demografija,10
delež,10
itd,10
brezposeln,10
prihodnji,10
povabljen,10
celovit,10
boj,10
spodbujanje,10
ustava,10
zavod,10
smiseln,10
70,10
sedeti,10
drag,10
sklic,10
omejen,10
generacija,10
misel,10
lotiti,10
interes,10
zaupati,10
gostja,10
govorilo,10
bistvo,10
vzdržnost,10
okrog,10
poročilo,10
intenziven,10
pristojnost,10
piš,10
ekipa,10
zahtevati,10
domovinski,10
čist,9
vključiti,9
obrazložitev,9
sreda,9
knjižničarstvo,9
predviden,9
