Priimek,Števec
prikl,2
tomić,0
trček,9
ban,2
cink,0
ferluga,1
kavčič,0
kotnik,3
prelog,0
ranc,0
šergan,2
zorčič,0
dekleva,0
brglez,3
košnik,0
horvat,8
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,1
škopac,0
zajc,0
zorman,1
gantar,0
hainz,0
hršak,0
kotnik,3
levičar,2
battelli,0
breznik,2
brinovšek,0
grims,7
irgl,0
lep,132
logar,1
mahnič,0
podkrajšek,0
pojbič,0
šircelj,10
muršič,0
nemec,0
horvat,8
vrtovec,1
kovačič,0
hanžek,7
kordiš,3
škoberne,1
vilfan,0
veber,14
krajnc,0
janša,12
göncz,1
tanko,10
novak,0
han,2
sluga,1
tonin,3
jurša,0
gorenak,3
vervega,0
potočnik,1
kopmajer,0
žibert,1
godec,0
krivec,3
lisec,0
pogačnik,13
žnidar,0
dimic,3
tašner,0
bizjak,1
lipicer,3
möderndorfer,11
verbič,15
mesec,134
čuš,1
laj,1
ljubič,0
počkaj,0
bratušek,16
lah,0
dobovšek,0
bačič,0
klanjšček,1
radič,0
tabaković,0
