Beseda,Števec
biti,13390
ta,8445
jesti,7740
v,7646
da,7074
in,7001
se,5154
na,4175
za,4059
ki,3869
pa,2908
on,2632
ne,2552
kot,2035
imeti,1720
s,1522
tudi,1509
o,1468
če,1427
tak,1409
še,1300
jaz,1292
po,1233
z,1222
let,1173
zakon,1172
slovenija,1162
sam,1145
vlada,1133
država,1133
ampak,1076
ali,1056
banka,1050
lahek,1031
ker,1016
drug,993
ves,962
pravi,952
že,899
tukaj,879
zato,868
iz,865
nek,844
do,843
državen,843
pač,836
kar,828
oda,808
podjetje,765
pri,705
ozir,697
ko,672
iti,644
zdaj,644
evropski,638
bistvo,598
predlagati,594
ever,594
kateri,534
stran,524
naš,523
združen,515
svoj,511
več,510
tisti,498
glede,494
levica,493
reči,492
socialen,486
en,485
velik,478
kriza,474
pred,470
namreč,463
milijon,456
način,454
slab,451
danes,441
slovenski,437
javen,429
kaj,424
dva,416
potem,400
sem,396
zbor,393
zaradi,389
beseda,389
primer,387
človek,382
sklep,380
dolg,380
člen,377
si,375
mora,372
naj,370
med,370
zadeva,369
videti,363
prvi,363
misliti,361
treba,360
kakšen,360
vprašanje,353
predlog,352
raven,351
strategija,341
politika,340
proračun,337
problem,336
kak,332
privatizacija,329
fiskalen,329
ukrep,325
finančen,323
bolj,319
odbor,312
nov,311
jasen,311
priti,310
zelo,309
povedati,308
ti,306
sredstvo,304
torej,304
zakaj,302
sedaj,302
zadnji,302
davek,300
gospodarski,290
rast,289
pravica,289
morati,288
tisoč,287
del,282
sicer,281
vedeti,281
morala,280
razprava,279
gospodarstvo,275
prej,273
moči,272
stvar,270
enostaven,265
prodaja,265
družba,264
razlog,263
dobiti,263
kjer,262
leto,261
čas,255
pomen,254
zaposlen,249
upravljanje,249
vedno,246
predvsem,245
noben,244
konec,244
sd,243
zanimati,242
visok,242
enkrat,242
ministrstvo,242
evropa,241
želeti,240
k,239
pogledati,237
deloven,234
začeti,233
delavec,231
kapital,231
cel,230
naslednji,228
unija,228
mesto,228
reklo,226
naprej,226
gospoda,224
ob,223
vsaj,221
finance,221
predsednik,221
telek,219
tu,218
seveda,215
podoben,215
govoriti,214
plača,212
postopek,211
mogoč,209
bistven,209
interes,209
pod,208
mali,207
bit,205
sploh,204
komisija,203
dodaten,203
–,202
trije,202
cilj,202
svet,199
takrat,199
podpreti,198
nekaj,196
minister,196
trenuten,195
očiten,195
nadzor,194
dober,192
seja,190
manj,189
proti,189
tam,188
res,187
kratek,184
vsak,183
koalicija,182
kljub,178
razvoj,178
podatek,176
točka,176
najprej,175
grčija,175
davčen,175
skupina,172
političen,172
sprejeti,171
dejanski,171
sklad,170
prvič,169
delo,168
mnenje,167
drugič,167
sistem,166
praviti,166
ekonomski,165
premoženje,165
praksa,164
hvalahvala,164
potreben,163
denar,162
pokazati,162
možnost,161
pravilo,161
tretji,159
celoten,157
nit,156
trg,155
stranka,154
amand,154
sektor,154
spet,152
revščina,152
praktičen,151
isti,151
bančen,151
njihov,150
poslanec,150
sprememba,149
takšen,148
investicija,147
bdp,147
naložba,146
ostal,146
pomoč,145
posledica,144
račun,144
najbolj,144
nadaljevanje,144
breza,144
stališče,141
sprejet,141
milijarda,140
hkrati,140
delavski,139
1,138
minimalen,137
strateški,137
opozarjati,135
poskušati,135
žalost,134
mesec,134
dan,134
skupaj,133
delež,132
lep,132
sporazum,132
podlaga,131
2013,131
sodišče,130
predstavnik,130
učinek,129
dutba,128
moj,128
njen,127
povečati,127
dohodek,126
področje,124
prav,123
nad,122
praven,121
rešitev,121
ustava,121
določen,121
zdravstven,120
otrok,120
odločiti,120
last,119
narediti,118
zagotoviti,118
demokratičen,118
opozoriti,118
zmanjšati,118
razred,117
republika,117
argument,116
pogodba,116
oseba,116
precej,116
veljati,115
strinjati,115
pozivati,114
stopnja,114
začetek,114
nadzoren,114
20,114
nič,113
strošek,113
vrednost,113
cena,113
enak,113
amandmajati,113
obstajati,112
obravnava,112
2,111
ključen,111
nekateri,111
vaš,111
delovanje,110
drugačen,110
terjatev,110
situacija,110
institucija,110
smisel,110
postati,109
pogoj,109
proračunski,108
dalja,108
skratka,107
10,107
program,107
podati,106
član,106
namen,106
kolega,105
dati,105
saj,105
uprava,105
tolik,105
slišati,104
reven,104
mera,103
skozi,102
15,102
obravnavati,102
30,102
majhen,101
2014,101
nekolik,101
3,101
stanje,100
kdo,100
razumeti,100
funkcija,100
zavarovanje,99
nujen,99
ustaven,98
holding,98
nizek,98
verjeten,97
čim,97
upoštevati,96
prag,96
milijard,96
razvojen,95
zdeti,95
primanjkljaj,95
glasovati,95
monetaren,95
zahteva,94
glaven,94
poudariti,94
služba,94
postaviti,94
5,94
določba,93
sistemski,93
prihodek,93
vojska,93
razlika,93
govor,92
dohodninski,92
javnost,91
standard,91
koalicijski,91
splošen,91
kriterij,90
kapitalski,90
poleg,90
odgovor,90
resen,89
grški,89
hvala,88
predstaviti,88
povsem,88
predlagatelj,88
njegov,88
odpis,87
večina,87
tuj,87
nasprotovati,87
čeprav,87
pomemben,87
pogovarjati,86
prodati,86
zgoditi,86
uporabljati,86
popolnoma,85
pogajanje,85
smeti,85
čez,85
odgovoriti,85
rok,85
lastnik,84
državljan,84
zakonodaja,84
konkreten,84
organ,84
gospod,84
spoštovan,83
kazati,82
neposreden,82
kakršen,82
širok,82
dogajati,82
živeti,81
pripravljen,81
vložiti,81
tretjič,81
pozitiven,81
prebivalstvo,81
pol,81
najti,80
nekak,80
zavarovalnica,80
opozorilo,80
omogočiti,79
vzeti,79
hoteti,79
mednaroden,79
izmed,79
pet,79
različen,79
amandmaj,79
srednji,78
večkrat,78
negativen,78
edin,78
lasten,77
odgovoren,77
pozdrav,77
e,77
osnoven,77
položaj,77
dejstvo,77
imenovan,77
centralen,77
ugotoviti,76
bogat,76
ocena,76
2015,76
letos,76
inštitucija,76
sodelovanje,76
poročilo,76
dokument,75
cerar,75
dodati,75
četrti,74
nadaljevati,74
recesija,74
medtem,74
hrvaški,74
prejšnji,74
rešiti,74
meja,73
2012,73
določati,73
mehanizem,73
12,73
šola,73
pristojnost,73
25,73
ter,73
težava,72
namesto,72
podpirati,72
ureditev,72
50,72
eden,72
poslanski,72
odstavek,71
nemčija,71
oba,71
skoraj,71
kolik,71
kasneje,71
direktor,71
sprejemati,71
pričakovati,71
pripraviti,71
smiseln,71
delati,70
zopet,70
roka,70
poseben,70
poudarjati,70
smer,70
vrsta,70
načrt,70
znašati,69
prebivalec,69
drugače,69
avstrija,69
kje,68
odgovornost,68
možen,68
kredit,68
delovati,68
odločitev,68
občina,67
brati,67
svetoven,67
izvajati,67
spremeniti,67
varovalka,67
dobiček,67
skupen,66
vsebinski,66
šele,66
zgodba,66
a,66
priporočiti,66
vladen,66
posebej,66
citirati,66
korak,66
prositi,65
napačen,65
potrebovati,65
razmera,65
kršitev,65
postavka,65
piš,65
leten,65
povprečje,65
nazadnje,64
vprašati,64
oblika,64
zadolževanje,64
zaveza,64
soglasje,64
politik,64
zakonodajnopraven,64
družben,64
nazaj,64
število,64
obresten,63
tveganje,63
nacionalen,63
kakršenkoli,63
poraba,63
postavljati,63
čist,63
razrešiti,63
obdobje,63
bolje,63
6,63
pogost,62
težek,62
okvir,62
16,62
nemški,62
predstavljati,62
red,62
primeren,62
soupravljanje,62
javnofinančen,62
drža,61
trenutek,61
100,61
direktiva,61
nikakor,60
preko,60
4,60
pojavljati,60
2008,60
pretekel,60
reševati,60
končen,59
odločati,59
doseči,59
vidik,59
računski,59
podpora,59
varčevalen,59
zaposlenost,59
uporabiti,59
zakonski,58
ugotavljati,58
zagotavljati,58
lastnina,58
postavljen,58
gledati,58
hud,58
poslovnik,58
zaposlitev,57
upraven,57
kolikor,57
zgodovina,57
domač,57
včeraj,57
izgubiti,57
nikoli,57
dodatek,57
volitve,57
plačevati,57
voditi,56
nihče,56
dovolj,56
prioriteta,56
preveriti,56
varstvo,56
17,56
preden,56
zahtevati,56
pridobiti,56
konsolidacija,56
omeniti,55
test,55
zbrati,55
obstoječ,55
pot,55
delničar,54
investicijski,54
ustrezen,54
storiti,54
zadnjič,54
zd,54
reforma,54
plačan,54
prevzem,54
brezposelnost,54
bančništvo,54
center,54
državljanov,54
zakonodajen,53
vodstvo,53
policija,53
varčevanje,53
znižati,53
seznam,53
teden,53
naslov,53
načelo,53
zdravstvo,53
približen,53
model,53
evroobmočje,52
nadaljnji,52
dars,52
2010,52
rez,52
pomeniti,52
zaseben,52
tujina,52
referendum,52
transparentnost,52
obveznica,52
priprava,52
storitev,52
informacija,52
opravljati,51
imenovati,51
pravičen,51
primerljiv,51
padel,51
omogočati,51
družina,51
obraten,51
resnica,51
nasprotje,51
prostor,50
pokojninski,50
noveti,50
izvršen,50
prodajati,50
star,50
delnica,50
21,50
organizacija,50
izkazati,49
problematičen,49
oblast,49
današnji,49
blagajna,49
preprečiti,49
razmišljati,49
kdaj,49
moč,49
škodljiv,49
preiskava,49
kandidat,49
sum,49
proces,49
odstotek,48
nekdo,48
2016,48
članica,48
stanovanje,48
spreminjati,48
odpreti,48
dokapitalizacija,48
nepremičnina,48
dragonja,48
urediti,48
prihajati,48
krediten,48
lestvica,48
glasovanje,48
premiera,48
normalen,47
zunanji,47
dvigniti,47
štirje,47
izvesti,47
cinven,47
sanacija,47
nastal,47
ponoviti,47
ura,47
rezultat,47
stabilnost,47
infrastruktura,46
šibek,46
poslovanje,46
izobrazba,46
potrošnik,46
izreden,46
priložnost,46
početi,46
uporaba,46
uvajati,46
opredeljen,46
ameriški,46
alternativa,45
gospodinjstvo,45
upati,45
analiza,45
zapisan,45
povečevati,45
spremljati,45
odpraviti,45
zveza,45
celota,45
40,45
predloga,45
dejavnost,45
obramba,45
volja,44
območje,44
lani,44
predpostavka,44
pripravljati,44
rezerva,44
slediti,44
zaščita,44
utemeljen,44
skrb,44
pomagati,44
mandati,44
primerjava,44
pogovoriti,44
civilen,44
izjemen,43
sprejem,43
zavedati,43
prihodnost,43
par,43
hiter,43
hiša,43
revizija,43
zmanjševati,43
stresen,43
kolegica,42
odvisen,42
prenesti,42
opredeliti,42
odprava,42
izključen,42
povečanje,42
izdatek,42
telo,42
parlament,42
mir,42
okrog,42
ime,42
70,42
zapisati,42
brut,42
zagovarjati,42
slika,41
dajati,41
škoda,41
koncept,41
potencialen,41
strukturen,41
popoln,41
obrazložitev,41
spomniti,41
zujf,41
napaka,41
brezposeln,41
mlad,41
prihodkoven,41
obveznost,41
skupnost,40
scenarija,40
umakniti,40
ogrožen,40
prinašati,40
konkurenčen,40
presežek,40
krč,40
takraten,40
ustvariti,40
prenos,40
200,40
ponavljati,40
vpliv,40
daleč,40
razrešitev,40
zaostriti,40
navesti,40
prepričan,40
sodelovati,40
upravičen,39
povezan,39
reševanje,39
prihodnji,39
pokojnina,39
vendar,39
nikakršen,39
citat,39
vsebina,39
afera,39
stati,39
ustaviti,39
gospa,39
uvod,39
tretjina,39
vrniti,39
okoli,39
vojen,39
miza,39
razen,39
sekretar,39
vseeno,39
pozvati,39
projekt,39
urejati,39
nkb,38
kosilo,38
številen,38
poziv,38
dvig,38
skušati,38
dohodnina,38
11,38
sila,38
prejemnik,38
nasproten,38
opisati,38
2009,38
demokracija,38
spraševati,38
dejati,38
neprimeren,37
ostajati,37
vsebovati,37
