Beseda,Števec
biti,800
in,599
v,539
jesti,458
za,431
da,398
se,318
na,311
ta,285
ki,262
zakon,230
tudi,198
pa,166
ne,153
s,143
skupina,143
o,140
predlog,137
poslanski,134
desus,132
z,129
ves,118
on,96
še,89
tak,88
po,83
kot,81
slovenija,79
banka,79
jaz,78
iz,76
do,72
pri,72
državen,65
ter,63
glede,63
ali,62
že,62
let,62
sklad,57
davčen,55
oda,54
zato,54
račun,53
lahek,53
sam,52
del,52
kar,52
lep,52
spoštovan,51
sredstvo,50
ever,49
drug,48
imeti,47
velik,45
javen,43
finančen,43
naj,43
med,42
treba,42
področje,42
država,42
svoj,41
dutba,41
kateri,41
ozir,41
poslanec,41
proračun,41
k,40
podpreti,40
zaradi,40
saj,40
leto,39
pozdrav,39
družba,38
program,38
poslanka,38
postopek,37
več,37
nov,37
vlada,37
iti,37
podatek,37
zelo,36
mora,36
sprememba,36
ukrep,35
dober,35
raven,35
naš,34
predlagati,34
ko,34
člen,33
slovenski,33
ministrstvo,33
prav,32
milijon,32
čas,31
sodišče,31
storitev,31
primer,30
podlaga,30
podjetje,29
učinkovit,29
socialen,29
predsednik,28
bolj,28
pred,28
terjatev,27
želeti,26
si,26
če,26
povedati,26
morati,26
mnenje,26
ker,26
nadzor,26
vsak,25
republika,25
bit,25
računski,25
dodaten,24
zdravstven,24
finance,24
tisti,24
reševanje,24
ob,24
deloven,24
določati,24
davek,24
noveti,24
zbor,24
praven,24
organ,24
ureditev,23
pomemben,23
vrednost,23
dolg,23
cilj,23
poslovanje,23
upravljanje,23
določba,22
možnost,22
dejavnost,22
predvsem,22
obravnava,22
namen,22
vsebina,22
pomen,22
medijski,22
evropski,21
pravica,21
poseben,21
ti,21
gospoda,21
konec,21
hvala,21
vedno,21
beseda,21
urejati,21
delo,20
predlagatelj,20
ustrezen,20
sicer,20
delovanje,20
način,20
nacionalen,20
vendar,20
posamezen,20
blagajna,19
stran,19
dejstvo,19
avdiovizualen,19
stališče,19
danes,19
delež,19
veljaven,19
enkrat,19
zavezanec,19
novel,19
razlog,18
seveda,18
pogoj,18
otrok,18
kaj,18
elektronski,18
le,18
–,18
podpirati,18
zahteva,18
razvoj,17
komisija,17
premoženje,17
sd,17
moj,17
svet,17
priporočiti,17
študentski,17
njihov,17
investicijski,16
zagotoviti,16
en,16
hvalahvala,16
potreben,16
meniti,16
obveznost,16
sem,16
2013,16
nekateri,16
omogočiti,16
fiskalen,16
strinjati,15
kultura,15
namreč,15
morala,15
direktiva,15
zavedati,15
rešitev,15
gospodarski,15
enak,15
nanašati,15
zveza,15
proračunski,15
visok,15
