Priimek,Števec
prikl,0
tomić,0
trček,0
ban,0
cink,1
ferluga,1
kavčič,1
kotnik,1
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,1
brglez,0
košnik,1
horvat,0
koleša,1
kramar,2
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,1
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,3
lep,87
logar,0
mahnič,1
podkrajšek,0
pojbič,6
šircelj,0
muršič,1
nemec,0
horvat,0
vrtovec,0
kovačič,1
hanžek,1
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,0
göncz,1
tanko,0
novak,1
han,0
sluga,1
tonin,0
jurša,0
gorenak,0
vervega,0
potočnik,2
kopmajer,0
žibert,0
godec,2
krivec,0
lisec,1
pogačnik,0
žnidar,1
dimic,1
tašner,0
bizjak,0
lipicer,0
möderndorfer,0
verbič,0
mesec,10
čuš,1
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,0
dobovšek,0
bačič,0
klanjšček,1
radič,0
tabaković,0
