Beseda,Števec
biti,1740
in,1373
da,949
v,934
jesti,921
za,726
ta,725
na,614
se,599
ki,533
tudi,410
ne,361
zakon,308
ves,307
pa,288
on,282
s,271
socialen,265
z,264
o,219
tak,219
kot,212
jaz,202
imeti,196
še,189
do,174
otrok,172
področje,159
naš,139
lahek,126
velik,125
če,123
predlog,121
pravica,120
ali,118
iz,115
po,115
torej,104
let,102
pri,99
kateri,98
ker,98
svoj,97
oda,97
šola,95
ter,95
del,94
že,93
država,92
pomoč,91
potreben,91
čas,90
tisti,88
mlad,88
drug,88
kar,87
lep,87
zato,85
javen,84
človek,84
gospa,82
program,81
demokrat,81
slovenija,78
ministrstvo,77
beseda,76
en,75
sam,75
sem,75
ukrep,75
razvoj,73
ko,73
danes,73
skupina,73
dober,72
poseben,72
delo,70
več,70
sredstvo,70
državen,70
res,70
gospoda,68
povedati,68
potreba,65
ozir,65
izobraževanje,65
mora,64
sicer,63
želeti,63
si,63
prav,63
med,62
nov,62
vendar,62
hvala,62
možnost,60
deloven,60
vedeti,59
ministrica,59
predvsem,58
tukaj,57
oseba,57
njihov,57
razprava,56
le,56
vojen,56
zavarovanje,55
sprememba,55
k,54
vedno,54
pred,52
zaradi,52
družina,51
podpirati,51
pogoj,51
iti,51
spoštovan,51
podpreti,50
vlada,50
starš,49
kjer,48
slovenski,48
kak,47
morati,47
zelo,46
ob,46
nekak,46
sistem,46
zdaj,46
predlagatelj,45
prispevek,45
kolegica,45
treba,45
podjetje,45
rešitev,45
enak,45
nujen,45
ever,44
družba,44
pomemben,44
meniti,44
gospodarski,44
vprašanje,44
obravnava,44
podpora,43
pravi,43
bolj,43
podlaga,43
naj,43
pomen,42
saj,42
dodaten,42
leto,42
invalid,42
sedaj,42
kolega,42
glede,41
delavec,41
predsednik,40
mogoč,40
moči,39
republika,39
trg,39
položaj,38
pokojninski,38
nekaj,38
zaposlovanje,38
predlagati,38
pozdraviti,38
obdobje,38
zaposlen,37
a,37
naprej,37
kultura,36
sklad,36
visok,36
prvi,35
plača,35
dobiti,35
izvajanje,34
ti,34
misliti,34
različen,34
potrebovati,33
mesto,33
kaj,33
bit,33
lepahvala,33
potem,33
star,33
namreč,32
delati,32
oblika,32
vsekakor,32
poslanski,32
dva,32
cilj,32
grobišče,32
izreden,31
vsak,31
življenje,31
zbor,31
osnoven,31
praven,31
tisoč,30
varstvo,30
ženska,30
poslanec,30
sprejeti,30
brezposeln,29
delodajalec,29
invalidski,29
morda,29
čim,29
določen,29
ureditev,28
priti,28
težek,28
rada,28
zagotavljati,28
seveda,28
milijon,28
sprejet,28
zaseben,28
takrat,28
strinjati,27
nič,27
znanje,27
način,27
zadeva,27
gospodarstvo,27
nasilje,27
zakonodaja,27
varnost,26
plačilo,26
učenec,26
dajati,26
status,26
hvalahvala,26
noveti,26
podjetništvo,26
revščina,26
–,26
kdo,26
politika,25
spomniti,25
kriza,25
primer,25
nacionalen,25
reči,25
pripravništvo,25
finančen,25
kulturen,25
proračun,25
dan,25
videti,24
postopek,24
govoriti,24
odbor,24
upati,24
minimalen,24
učitelj,24
demokratov,23
žrtev,23
zagotoviti,23
minister,23
poklicen,23
nad,23
kakšen,23
veljati,23
spol,23
nekateri,23
sklep,22
seja,22
regija,22
namenjen,22
ranljiv,22
pomurski,22
dolg,22
denar,22
pokojnina,22
obseg,22
najbolj,22
šolstvo,22
moški,22
center,22
priprava,22
vzgoja,21
ustrezen,21
neinvalid,21
verjeti,21
zdravstven,21
stanje,21
stanovanje,21
živeti,21
političen,21
težava,21
pomagati,21
podatek,21
širok,21
dovolj,21
tolik,21
pričakovati,21
zavedati,21
izvajati,21
kljub,21
načrt,21
skupnost,20
strokoven,20
višina,20
jezik,20
mali,20
ugotavljati,20
skrb,20
predstaviti,20
zavarovanec,20
manj,20
primeren,20
državljan,20
svet,20
namen,20
stran,19
človekov,19
stanovanjski,19
zagotavljanje,19
pravzaprav,19
razlog,19
praksa,19
urediti,19
obveznost,19
brezposelnost,19
zveza,19
agencija,19
učen,19
ampak,19
ura,19
raven,19
problem,19
zaposlitev,18
prispevati,18
motnja,18
evropski,18
dejstvo,18
odgovor,18
dejavnost,18
morala,18
prisoten,18
podpredsednica,18
pač,18
pot,18
učinkovit,18
opozarjati,18
problematika,18
cel,18
okolje,18
projekt,18
zlasti,18
2016,18
podpredsednik,18
omenjen,18
slovenec,18
organizacija,18
pripraviti,18
zahteva,18
trenutek,18
prepričan,17
sprejetje,17
čeprav,17
posebej,17
konec,17
proračunski,17
predstavljati,17
poleg,17
kazati,17
zadnji,17
mnog,17
vreden,17
večina,16
pozornost,16
knjiga,16
dati,16
dodatek,16
poln,16
proti,16
razmera,16
povečati,16
šport,16
prihodnji,16
reklo,16
analiza,16
poslanka,16
pripravljen,16
slišati,16
tam,16
2015,16
rast,16
predvidevati,16
davčen,16
omogočiti,16
določba,15
vrsta,15
sodelovanje,15
dom,15
preteklost,15
dokument,15
nit,15
prihajati,15
takšen,15
delovanje,15
komisija,15
skupaj,15
razumeti,15
medij,15
vrednost,15
naveden,15
razred,15
istospolen,15
pozdravljati,15
hiter,15
gotov,15
veljaven,15
boj,15
zavod,15
služba,15
hoteti,15
gozd,15
urejati,15
poročilo,15
razvojen,15
smeti,15
pravilo,14
brezplačen,14
temeljen,14
predviden,14
veteran,14
