Priimek,Števec
prikl,2
tomić,0
trček,4
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,1
brglez,4
košnik,0
horvat,7
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,2
škodnik,0
škopac,0
zajc,2
zorman,0
gantar,1
hainz,2
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,1
irgl,1
lep,257
logar,1
mahnič,0
podkrajšek,0
pojbič,7
šircelj,0
muršič,0
nemec,4
horvat,7
vrtovec,0
kovačič,0
hanžek,2
kordiš,0
škoberne,0
vilfan,1
veber,20
krajnc,0
janša,19
göncz,0
tanko,1
novak,1
han,0
sluga,0
tonin,0
jurša,1
gorenak,0
vervega,1
potočnik,0
kopmajer,0
žibert,0
godec,1
krivec,9
lisec,1
pogačnik,0
žnidar,0
dimic,3
tašner,0
bizjak,0
lipicer,0
möderndorfer,18
verbič,0
mesec,87
čuš,6
laj,1
ljubič,0
počkaj,0
bratušek,3
lah,0
dobovšek,1
bačič,2
klanjšček,2
radič,0
tabaković,0
