Beseda,Števec
biti,6150
ta,5969
in,4672
da,3704
jesti,3316
v,2705
ne,2094
ki,1963
se,1913
na,1725
jaz,1632
pa,1621
za,1305
tisti,1095
ves,975
tak,966
imeti,957
on,859
sem,787
tudi,748
kar,684
o,639
ker,617
če,612
država,587
ali,583
lahek,581
tukaj,574
slovenski,561
ti,551
s,546
povedati,519
človek,508
govoriti,507
zakon,501
kot,494
še,490
danes,457
kaj,449
ko,446
z,431
misliti,423
vlada,403
vedeti,386
državen,379
naš,365
sam,356
kak,343
gospoda,342
en,339
slovenija,332
drug,330
si,317
iti,315
stranka,313
mora,310
iz,305
zato,302
narediti,295
nek,290
problem,289
potem,287
po,285
oda,285
do,277
nič,271
zelo,266
kateri,264
stvar,261
lep,257
socialen,254
morati,253
ampak,250
že,249
priti,245
zbor,245
svoj,244
enkrat,244
spoštovan,242
prositi,229
dalja,226
sedeti,224
stran,223
prepričan,213
kdo,213
način,211
več,210
vsak,205
predsednik,205
–,205
torej,203
demokratski,195
noben,194
moči,193
poslušati,192
velik,191
želeti,189
rešitev,188
nekaj,184
ever,181
družba,180
takšen,179
treba,176
vprašanje,175
čist,174
moj,173
denar,173
gospa,172
dober,172
razumeti,168
prav,167
zadeva,166
pravi,163
delati,162
zdaj,160
pričakovati,159
republika,157
pravica,154
jasen,154
resničen,152
parlament,150
ključen,149
let,149
del,148
predlagati,148
pomemben,146
plača,146
pri,145
družina,144
dati,142
razprava,141
med,140
skupaj,140
kakšen,139
reklo,139
zakaj,137
zgoditi,135
poslanec,134
odbor,133
skupina,133
koalicija,131
potreben,131
bit,130
videti,129
tisoč,128
storiti,128
sistem,128
minister,125
sedaj,125
otrok,123
nit,122
trenutek,122
seveda,121
narod,120
pogledati,119
dan,119
vedno,118
delo,117
ministrstvo,117
morala,116
nov,116
živeti,116
tu,116
konec,116
glede,116
sodišče,116
mena,115
tam,115
govorilo,115
zavedati,113
začeti,112
zaradi,110
podpreti,109
izjemen,109
kjer,109
mali,109
čas,106
predlog,105
tolik,105
ozir,104
pokojnina,104
gospod,103
odgovoren,103
gospodarstvo,102
večina,101
ukrep,101
pomen,100
področje,100
določen,100
zgodba,98
gledati,98
res,97
političen,96
drugačen,96
reševati,96
hvala,96
kolega,96
naj,95
saj,94
milijon,94
resnica,93
slišati,92
reč,92
ustrezen,91
dobiti,91
pošten,91
smer,90
dva,89
situacija,89
zakonodaja,89
pred,88
oni,88
pač,87
mesec,87
poslanski,85
takrat,85
vendar,85
kolik,83
poskušati,82
proračun,82
ministrica,81
državljanka,80
normalen,80
politika,79
stanje,79
znova,79
naprej,77
možnost,77
naslednji,77
razpravljati,77
banka,75
minimalen,75
korak,75
