Priimek,Števec
prikl,0
tomić,1
trček,5
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,1
prelog,0
ranc,2
šergan,4
zorčič,0
dekleva,1
brglez,0
košnik,0
horvat,20
koleša,1
kramar,0
matić,1
murgel,0
rajić,0
shaker,2
dolinšek,0
škodnik,2
škopac,3
zajc,9
zorman,2
gantar,3
hainz,0
hršak,0
kotnik,1
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,1
irgl,1
lep,146
logar,1
mahnič,0
podkrajšek,0
pojbič,2
šircelj,0
muršič,0
nemec,5
horvat,20
vrtovec,2
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,1
janša,3
göncz,0
tanko,0
novak,2
han,0
sluga,0
tonin,3
jurša,1
gorenak,0
vervega,0
potočnik,3
kopmajer,0
žibert,1
godec,0
krivec,1
lisec,3
pogačnik,1
žnidar,1
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,0
verbič,0
mesec,9
čuš,2
laj,2
ljubič,0
počkaj,0
bratušek,0
lah,1
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,1
