Beseda,Števec
biti,1415
ta,1059
da,839
in,783
jesti,730
v,609
za,522
se,450
tudi,399
na,384
ki,349
jaz,298
on,256
ne,255
pa,231
s,206
še,205
kot,180
ves,179
tak,169
zakon,160
imeti,158
o,148
lep,146
z,140
evropski,138
slovenija,132
že,124
do,111
če,110
ozir,105
razprava,104
ker,104
kar,102
sam,101
lahek,96
naš,93
zato,92
področje,90
gospoda,86
unija,85
pokojnina,85
predlog,81
prositi,80
misliti,80
državen,80
zadeva,79
velik,79
sem,78
vlada,72
let,72
svoj,70
drug,70
ministrstvo,68
vedeti,66
gospa,65
kak,65
zelo,64
tisti,64
ali,64
država,64
iz,63
po,63
res,63
hvala,63
odbor,62
dober,62
ti,62
predvsem,62
kakšen,60
pokojninski,59
pri,59
oda,58
zaradi,57
kaj,57
sedaj,57
vprašanje,54
točka,54
več,52
k,51
potem,51
človek,50
sprememba,49
delo,47
seja,47
pravica,47
poslanec,47
med,46
red,46
beseda,46
naprej,45
bolj,45
rada,45
ampak,45
predsednik,44
podpreti,43
dobiti,43
del,43
ko,43
zveza,43
pozdrav,43
kolega,43
gospod,41
star,41
dneven,40
no,40
zanimati,40
torej,40
zdaj,40
videti,39
moj,39
prav,39
sredstvo,39
povedati,39
predlagati,39
–,39
sklep,38
en,37
delati,37
pomemben,37
deloven,37
nekaj,37
kdo,37
morati,37
upokojenec,37
socialen,37
morala,36
minister,36
poudariti,35
moči,35
danes,35
naj,35
poslanski,35
strinjati,34
desus,34
republika,34
mora,34
svet,34
lepahvala,34
zdeti,34
treba,33
stališče,33
pač,33
zbor,33
zunanji,32
glasovanje,32
čas,31
kateri,31
tukaj,31
skupina,31
možnost,30
kolegica,30
ob,29
zavarovanje,29
iti,29
nizek,29
sporazum,28
sprejet,28
mlad,28
2014,27
poročilo,27
njihov,27
nek,26
postopek,26
politika,26
ministrica,26
ter,26
reklo,26
mena,26
občina,25
podpirati,25
želeti,25
si,25
dodatek,25
otrok,25
pojasniti,25
glede,25
predstavnik,25
plača,24
ugotavljati,24
proti,24
zakaj,24
vendar,24
visok,24
stran,23
sodelovanje,23
zasedanje,23
leto,23
osnova,23
čim,23
javen,22
ime,22
član,22
priti,22
prej,22
nov,22
članov,22
naslednji,22
prehajati,22
sistem,22
sprejeti,22
prejeti,21
sicer,21
deklaracija,21
strošek,21
ostal,21
projekt,21
poslanka,21
izvajanje,20
sklad,20
horvati,20
spoštovan,20
gradivo,20
glasovati,20
sodišče,20
slovenski,20
razpravljati,20
reforma,19
zaključevati,19
ever,19
člen,19
zdravstven,19
družba,19
državljan,19
varuhinja,19
2015,19
nadomeščati,18
potreben,18
vidik,18
predsedujoč,18
opozoriti,18
starost,18
finančen,18
zlasti,18
dva,18
širok,18
priporočiti,18
pozdraviti,18
tolik,18
način,18
doba,18
trije,18
vaš,18
mnenje,18
njen,17
prvi,17
vseeno,17
razlog,17
2,17
reševanje,17
hvalahvala,17
konec,17
morda,17
nekateri,17
pomen,16
želja,16
nadaljevanje,16
komisija,16
smer,16
dati,16
