Priimek,Števec
prikl,2
tomić,0
trček,0
ban,0
cink,0
ferluga,5
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,0
košnik,0
horvat,0
koleša,0
kramar,0
matić,0
murgel,2
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,8
brinovšek,0
grims,3
irgl,0
lep,21
logar,0
mahnič,4
podkrajšek,0
pojbič,8
šircelj,0
muršič,0
nemec,0
horvat,0
vrtovec,3
kovačič,0
hanžek,1
kordiš,2
škoberne,0
vilfan,3
veber,2
krajnc,0
janša,0
göncz,0
tanko,0
novak,0
han,13
sluga,0
tonin,4
jurša,5
gorenak,8
vervega,0
potočnik,0
kopmajer,2
žibert,8
godec,2
krivec,2
lisec,0
pogačnik,0
žnidar,0
dimic,0
tašner,0
bizjak,1
lipicer,0
möderndorfer,5
verbič,0
mesec,21
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,2
lah,0
dobovšek,2
bačič,2
klanjšček,0
radič,0
tabaković,0
