Beseda,Števec
biti,1200
jesti,791
in,785
da,690
ta,579
v,547
na,495
se,475
za,464
ne,273
pa,271
ki,264
tudi,235
o,226
jaz,198
ves,173
zakon,162
on,156
kot,150
s,148
imeti,148
tak,144
še,141
z,138
predlog,122
obramba,119
let,118
sem,113
že,110
danes,109
če,108
kar,105
iz,102
slovenija,102
odbor,98
lahek,97
sam,96
naš,91
gospoda,87
iti,84
slovenski,84
do,82
seja,80
drug,80
člen,73
vedeti,73
ali,72
dan,72
svoj,71
beseda,71
misliti,70
vlada,67
oda,66
del,65
sklep,64
želeti,64
republika,63
ampak,61
po,61
državen,59
kateri,58
država,58
velik,57
vojska,57
prvi,55
predlagati,55
prej,54
ozir,53
nujen,53
slišati,52
naprej,52
ker,52
naj,50
kdo,50
potem,49
kaj,48
reklo,47
2015,47
zdaj,47
stvar,46
ko,46
gospa,45
razprava,45
ministrstvo,45
en,44
ministrica,44
zbor,44
red,41
dneven,41
naslednji,41
kakšen,41
služba,40
–,40
pravi,39
potreben,39
pri,38
predsednik,38
čas,38
točka,38
stran,37
nekaj,37
ter,37
prepričan,36
mnenje,36
pred,35
mora,35
glede,35
odstavek,34
dati,34
vprašanje,34
spoštovan,34
dober,34
nek,33
postopek,33
takšen,33
dobiti,33
področje,33
nadaljevanje,32
ukrep,32
določen,32
prejeti,31
minister,31
hvalahvala,31
ti,31
milijon,31
varnost,30
več,30
nov,30
sprememba,30
kolega,30
konec,29
tukaj,29
k,28
varnosten,28
referendum,28
1,28
si,28
dajati,28
jasen,28
6,28
situacija,28
vendar,28
sicer,27
primer,27
sti,27
izvolitehvala,27
izvoliti,26
ob,26
predvsem,26
kak,26
nič,25
skupaj,25
moj,25
član,25
nekateri,25
voda,24
najprej,24
dopolnitev,24
drugačen,24
morati,24
poslanec,24
noben,24
sprejeti,24
javen,23
zasavje,23
vsak,23
ocena,23
žeti,23
ustrezen,22
10,22
vrednost,22
zakonodajnopraven,22
banka,22
prav,22
osnova,22
razumeti,22
treba,22
tolik,22
pomen,21
zelo,21
tisti,21
načelnik,21
konkreten,21
mesec,21
obramben,21
enkrat,21
lep,21
res,21
glasovati,21
sodišče,21
narediti,21
projekt,20
možnost,20
žal,20
sprejet,20
proračun,20
zato,20
sistem,20
hs,19
strinjati,19
moči,19
povsem,19
nazaj,19
rok,19
način,19
leto,19
mesto,19
dovoliti,19
okoli,19
vidik,19
razpis,19
dva,19
zadnji,19
zahteva,19
delo,18
razen,18
ever,18
trbovlje,18
nit,18
stanje,18
vojaški,18
amand,18
članov,18
verjeten,18
očiten,18
besedohvala,18
skupina,18
vojen,18
človek,18
odločitev,17
kolegica,17
prevoz,17
deloven,17
pobuda,17
komisija,17
omenjen,17
resen,17
izvajanje,17
upati,17
sklad,17
ugotavljati,17
razmišljati,17
navzoč,17
meja,17
razmera,17
pogoj,17
odgovoren,17
zveza,17
namen,17
reč,17
današnji,17
miza,17
zaključevati,16
predlagatelj,16
zgodba,16
dejstvo,16
govoriti,16
delovanje,16
finance,16
gospod,16
prebrati,16
dolg,16
takrat,16
5,16
glas,16
razmišljanje,16
bit,16
odgovornost,16
nadzor,16
problem,16
razpravljati,16
med,15
1991,15
oba,15
pozdrav,15
morala,15
saj,15
izjemen,15
tu,15
glasovanje,15
tikati,15
mogoč,15
podlaga,15
sredstvo,15
teta,15
hiša,15
kader,15
odgovor,15
sedaj,15
dogajati,15
le,15
cena,15
kandidat,14
naloga,14
razvoj,14
domovina,14
zaradi,14
pomemben,14
delovati,14
program,14
ostal,14
ba,14
ustava,14
ustaven,14
začeti,14
edin,14
migrant,14
trije,14
priprava,14
večina,13
hati,13
politika,13
kajti,13
rad,13
evropski,13
dokument,13
verjeti,13
namesto,13
članica,13
omeniti,13
nihče,13
sd,13
obrazložitev,13
pod,13
posredovati,13
blok,13
pogledati,13
problematika,13
poslovnik,13
zaključiti,13
analiza,13
podatek,13
oktober,13
interes,13
visok,13
pooblastilo,13
prisoten,13
naraven,13
sploh,12
bolj,12
suverenost,12
dopis,12
dvotretjinski,12
delati,12
zavedati,12
proti,12
poslanski,12
nadaljevati,12
25,12
obravnava,12
predstavljati,12
pripravljen,12
koncesija,12
2014,12
razpravljavec,12
poročilo,12
sodelovati,12
obvestilo,12
predstavnik,12
investicija,11
neposreden,11
90,11
sodelovanje,11
priti,11
gledati,11
nadomeščati,11
podpreti,11
zaključek,11
ponoven,11
skrb,11
2,11
12,11
jl,11
zaposlen,11
zakaj,11
prehajati,11
opozarjati,11
apelirati,11
velenje,11
raven,11
skozi,11
povedati,11
dr,11
obveščati,11
vedno,11
popravek,11
zdeti,11
praktičen,11
nacionalen,11
izhajati,10
temeljen,10
materialen,10
težek,10
potreba,10
prodaja,10
vsaj,10
narod,10
pooblastiti,10
številka,10
kratek,10
prositi,10
reševanje,10
gospodarski,10
predsedujoč,10
cel,10
govor,10
prihodnji,10
zaveza,10
nesreča,10
sklic,10
zaščita,10
pogovarjati,10
tehničen,10
izvajati,10
nalog,10
vaš,10
praven,10
anje,10
40,10
jutro,10
tisoč,9
skladen,9
telo,9
približen,9
pravilo,9
tretji,9
zgoditi,9
zakonodajen,9
nikoli,9
oglašanje,9
zagotoviti,9
denar,9
preko,9
smer,9
mali,9
posloven,9
pripravljenost,9
kandidatek,9
policija,9
predstaviti,9
obveščevalen,9
pač,9
videti,9
pravica,9
določati,9
telek,9
posebej,9
prejšnji,9
upoštevati,9
20,9
21,9
breza,9
ozemlje,9
odpirati,9
zanimiv,9
proces,9
celoten,9
pojasniti,9
ključen,9
pomagati,9
bojen,9
direktor,9
znan,9
trg,9
kazati,9
30,9
pokazati,9
2013,9
dovolj,9
hvala,9
organ,9
njegov,9
možen,9
čim,9
njihov,9
ljudski,9
suveren,9
obstoječ,8
ugotoviti,8
poudariti,8
lastnik,8
naslov,8
podpora,8
izreden,8
400,8
takraten,8
operativen,8
odgovoriti,8
upravljanje,8
sekretar,8
javnost,8
breznik,8
osamosvojitven,8
tir,8
kriza,8
zagotavljanje,8
izraziti,8
nadaljnji,8
pomislek,8
predstavitev,8
pojbič,8
zadeva,8
izpostaviti,8
gorenek,8
družba,8
jezik,8
3,8
izvedba,8
nad,8
škoda,8
primeren,8
sodnik,8
sindikat,8
kjer,8
poseben,8
delen,8
življenje,8
rabiti,8
podati,8
razmislek,8
generalštab,8
24,8
amandmaj,8
žibert,8
nanašati,8
dogodek,8
posamezen,8
vabiti,8
subjekt,8
število,8
vloga,8
promet,8
propadel,8
medsebojen,8
državljanov,8
vesel,8
organizacija,8
prihodek,8
kljub,8
smeti,8
uporabljati,8
združenje,7
čist,7
storitev,7
finančen,7
dejanski,7
pridobiti,7
vrsta,7
končen,7
opravljati,7
okvir,7
obvladovanje,7
uvoz,7
mena,7
izgradnja,7
prvoten,7
pripadnik,7
podjetje,7
vrhoven,7
poslovniški,7
energetski,7
začetek,7
častnik,7
korist,7
premog,7
