Priimek,Števec
prikl,2
tomić,0
trček,4
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,1
ranc,0
šergan,0
zorčič,3
dekleva,0
brglez,3
košnik,0
horvat,4
koleša,0
kramar,1
matić,0
murgel,2
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,1
zajc,0
zorman,1
gantar,0
hainz,0
hršak,1
kotnik,0
levičar,0
battelli,0
breznik,2
brinovšek,0
grims,0
irgl,1
lep,60
logar,0
mahnič,1
podkrajšek,0
pojbič,0
šircelj,0
muršič,1
nemec,0
horvat,4
vrtovec,1
kovačič,0
hanžek,2
kordiš,0
škoberne,1
vilfan,0
veber,3
krajnc,0
janša,1
göncz,1
tanko,17
novak,1
han,4
sluga,0
tonin,1
jurša,2
gorenak,9
vervega,0
potočnik,0
kopmajer,0
žibert,2
godec,0
krivec,2
lisec,4
pogačnik,0
žnidar,3
dimic,2
tašner,0
bizjak,2
lipicer,1
möderndorfer,5
verbič,0
mesec,14
čuš,1
laj,0
ljubič,0
počkaj,0
bratušek,4
lah,1
dobovšek,1
bačič,0
klanjšček,0
radič,0
tabaković,0
