Beseda,Števec
biti,2271
in,1615
da,1550
ta,1475
jesti,1374
v,1285
za,1007
se,863
ki,767
na,754
tudi,682
o,436
pa,436
ne,404
s,373
on,372
tak,359
zakon,354
spoštovan,324
jaz,315
državen,294
kot,292
z,269
skupina,235
poslanski,223
slovenija,221
še,219
ves,205
zato,201
že,195
predlog,185
zbor,183
imeti,174
pravica,172
do,170
seveda,168
država,166
let,163
desus,158
drug,157
ker,157
ali,151
po,151
postopek,150
iz,149
sodišče,149
torej,145
beseda,145
ozir,142
lahek,141
naš,139
hvala,138
sem,134
danes,134
področje,129
povedati,128
pri,127
praven,125
meniti,123
kateri,123
poslanec,122
svoj,120
sprememba,120
del,114
ko,112
kar,111
primer,109
vlada,109
stranka,109
predsednik,108
sam,108
javen,106
evropski,104
iti,104
lepahvala,103
člen,101
glede,100
zadeva,100
podatek,100
misliti,99
želeti,97
pomemben,97
če,94
treba,93
zelo,92
republika,92
človekov,91
ministrstvo,88
zaradi,87
velik,84
prav,82
delo,80
podpreti,79
nov,79
gospoda,79
čas,76
naj,76
mora,75
minister,74
tisti,73
ter,73
reklo,72
predlagati,72
več,71
komisija,70
saj,70
pravosodje,70
soden,70
podpirati,68
predvsem,68
stališče,66
podlaga,66
en,65
poslanka,64
potem,64
si,63
noveti,63
zveza,63
oda,63
pred,62
človek,62
problem,62
stanje,61
stanovanje,61
kak,61
mnenje,61
res,61
potreben,60
lep,60
upokojenec,60
med,59
socialen,58
demokratičen,58
sredstvo,57
ampak,57
ustaven,56
ureditev,55
resolucija,55
sklad,55
primeren,55
cesta,54
sklep,53
voda,53
ministrica,53
tukaj,53
dejanje,52
kršitev,52
oseba,52
mesto,51
pravi,50
sicer,50
odbor,50
razprava,50
morati,50
vprašanje,50
zdaj,50
predlagatelj,49
možnost,49
dejstvo,49
govoriti,49
pač,49
rešitev,49
sprejeti,49
nekateri,49
kaj,48
odločitev,48
k,47
tožilstvo,47
služba,47
deloven,46
njihov,46
moči,45
družba,45
državljan,45
bit,45
sedaj,45
seja,44
svet,44
obravnavati,44
naslednji,43
proti,43
banka,43
red,43
zakonodaja,43
sistem,42
prvi,42
nekaj,42
opozoriti,42
ustava,42
slovenski,42
vedeti,41
določati,41
program,41
veljaven,41
delavec,41
priporočiti,41
kazenski,41
ugotoviti,40
gospa,40
stanovanjski,40
ukrep,40
pomoč,40
dober,40
finančen,39
priti,39
namreč,39
pričakovati,39
leto,39
kolega,39
zagotoviti,38
posebej,38
glasovati,38
infrastruktura,37
tožilec,37
kazniv,37
takšen,37
ti,37
proračun,37
–,37
zagotavljati,36
poseben,36
enak,36
promet,36
poročilo,36
strinjati,35
organ,35
odločiti,34
morala,34
pogoj,34
oseben,34
le,34
način,34
nujen,34
zahteva,34
naprej,33
občina,33
stran,33
opravljati,33
ob,33
gospodarski,33
konec,33
sodstvo,33
2014,33
dan,33
določen,33
ever,32
sodba,32
sodniški,32
varianta,32
prej,31
obravnava,31
posamezen,31
število,31
razpravljati,31
kolegica,30
ustrezen,30
razlog,30
političen,30
okolje,30
vendar,30
sprejet,30
okvir,29
bolj,29
gospod,29
dobiti,29
