Priimek,Števec
prikl,0
tomić,2
trček,30
ban,2
cink,0
ferluga,2
kavčič,0
kotnik,5
prelog,5
ranc,4
šergan,6
zorčič,4
dekleva,0
brglez,0
košnik,2
horvat,16
koleša,1
kramar,0
matić,1
murgel,2
rajić,0
shaker,0
dolinšek,5
škodnik,5
škopac,4
zajc,5
zorman,0
gantar,9
hainz,0
hršak,2
kotnik,5
levičar,0
battelli,0
breznik,14
brinovšek,2
grims,0
irgl,0
lep,145
logar,5
mahnič,2
podkrajšek,2
pojbič,2
šircelj,5
muršič,2
nemec,5
horvat,16
vrtovec,2
kovačič,0
hanžek,2
kordiš,0
škoberne,0
vilfan,6
veber,10
krajnc,0
janša,1
göncz,0
tanko,3
novak,0
han,8
sluga,2
tonin,32
jurša,0
gorenak,5
vervega,0
potočnik,13
kopmajer,7
žibert,2
godec,0
krivec,7
lisec,1
pogačnik,4
žnidar,0
dimic,6
tašner,1
bizjak,0
lipicer,1
möderndorfer,3
verbič,6
mesec,21
čuš,0
laj,3
ljubič,0
počkaj,0
bratušek,10
lah,5
dobovšek,2
bačič,0
klanjšček,0
radič,2
tabaković,0
