Priimek,Števec
prikl,3
tomić,0
trček,0
ban,1
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,0
košnik,0
horvat,5
koleša,0
kramar,1
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,3
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,4
lep,18
logar,2
mahnič,0
podkrajšek,0
pojbič,0
šircelj,7
muršič,0
nemec,1
horvat,5
vrtovec,0
kovačič,0
hanžek,0
kordiš,1
škoberne,2
vilfan,0
veber,17
krajnc,1
janša,54
göncz,0
tanko,0
novak,0
han,4
sluga,0
tonin,0
jurša,7
gorenak,0
vervega,0
potočnik,3
kopmajer,0
žibert,0
godec,0
krivec,0
lisec,0
pogačnik,3
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,1
möderndorfer,4
verbič,18
mesec,170
čuš,0
laj,2
ljubič,0
počkaj,0
bratušek,88
lah,0
dobovšek,1
bačič,0
klanjšček,0
radič,0
tabaković,0
