Beseda,Števec
biti,679
in,545
v,539
jesti,467
za,438
da,345
ta,304
se,268
na,246
ki,222
zakon,155
banka,153
pa,152
tudi,146
ne,134
on,117
o,112
s,112
z,111
predlog,96
let,85
ves,84
slovenija,77
lahek,71
skupina,71
kot,69
tak,69
kar,68
jaz,67
poslanski,66
sredstvo,66
svoj,63
iz,62
podjetje,61
imeti,60
do,59
po,59
pri,58
oda,58
državen,56
država,56
člen,55
davčen,55
že,54
ko,52
ever,51
drug,51
nov,49
kateri,49
del,48
k,47
še,47
proračun,47
ter,46
vlada,46
javen,44
velik,44
sklad,43
ali,43
ker,43
sam,41
če,40
zaradi,39
sistem,38
milijon,37
njihov,37
kredit,35
tisti,35
evropski,34
ozir,34
treba,34
beseda,34
odbor,33
2015,33
občina,32
pravi,32
podatek,32
zavarovalen,32
storitev,31
seveda,31
področje,31
nadzor,31
ministrstvo,31
pomen,30
posloven,30
saj,30
finančen,30
naš,30
med,29
sicer,29
mora,29
danes,29
fiskalen,29
blagajna,28
cilj,28
leto,27
iti,27
dober,27
določen,27
pravzaprav,26
priti,26
zavarovalnica,26
pomemben,26
določati,26
mnenje,26
slovenski,26
stran,25
razvoj,25
višina,25
rešitev,25
spoštovan,25
praven,25
tveganje,24
zdravstven,24
potreben,24
smca,24
povedati,24
sprememba,24
ustrezen,23
republika,23
reševanje,23
ob,23
gospodarski,23
stranka,23
odločitev,23
glede,23
visok,23
uprava,23
prihodek,23
direktiva,22
primer,22
namreč,22
pogoj,22
svet,22
dva,22
predlagati,22
dan,22
raven,22
možnost,21
dodaten,21
finance,21
članica,21
rebalans,21
davek,21
oseba,21
zato,21
politika,20
bolj,20
več,20
koalicijski,20
register,20
amandmaj,20
agencija,20
zbor,20
zahteva,20
investicija,19
dejavnost,19
trgovec,19
naj,19
služba,19
rast,19
poudariti,18
račun,18
prvi,18
način,18
težava,18
hvalahvala,18
uporaba,18
deloven,18
poslovanje,18
kolega,18
ureditev,17
okvir,17
sprejet,17
podpreti,17
posel,17
čas,17
član,17
povprečnina,17
ukrep,17
zavezanec,17
amandmajati,17
poleg,17
2014,17
ampak,17
pravilo,16
izkušnja,16
vedeti,16
slab,16
poseben,16
breza,16
mogoč,16
projekt,16
posamezen,16
sprejeti,16
trije,16
delo,15
postopek,15
upravljanje,15
si,15
unija,15
mesto,15
naveden,15
znesek,15
predvsem,15
obveznost,15
pogodba,15
dejanski,14
vsak,14
strokoven,14
mali,14
bančen,14
pred,14
zakonodajnopraven,14
naslov,14
enak,14
podlaga,14
kaj,14
poklic,14
bit,14
morati,14
naslednji,14
sds,14
promet,14
le,14
pripomba,14
organ,14
vedno,14
združenje,13
zelo,13
predsednik,13
krediten,13
2,13
amand,13
ddv,13
kjer,13
predsedujoč,13
vendar,13
namen,13
predstavnik,13
točka,13
trenuten,13
sistemski,12
opravljanje,12
gospoda,12
morala,12
razlog,12
zadeva,12
prav,12
torej,12
jasen,12
uvedba,12
nedvomen,12
konec,12
kakšen,12
nizek,12
delavec,12
moderen,12
center,12
omogočiti,12
opravljati,11
izobrazba,11
dokument,11
znižanje,11
zagotoviti,11
voda,11
stanje,11
1,11
strošek,11
en,11
družba,11
dvig,11
mesec,11
gospodarstvo,11
oseben,11
obravnavati,11
tukaj,11
zveza,11
obseg,11
zmanjšanje,11
praviti,11
red,11
sedaj,11
centralen,11
človek,11
urejati,11
financiranje,10
zdraviti,10
gospa,10
monetaren,10
predviden,10
zakonski,10
majhen,10
znanje,10
skoraj,10
vodenje,10
delovanje,10
kapitalski,10
dati,10
bistven,10
skupaj,10
primanjkljaj,10
trgovina,10
pravica,10
vrednost,10
primeren,10
povečati,10
predlagan,10
osnova,10
veljaven,10
kak,10
pacient,10
razprava,10
odgovornost,10
sektor,10
predstavnica,10
tolik,10
pričakovati,10
njegov,10
razdolžitev,10
obdobje,10
zavarovalništvo,10
družben,9
program,9
seja,9
terjatev,9
kolegica,9
sedež,9
njen,9
letošnji,9
želeti,9
izvajanje,9
rok,9
sprejetje,9
povečanje,9
zaposlen,9
članov,9
zavarovanje,9
delovati,9
zakaj,9
ministrica,9
govor,9
noveti,9
sem,9
obravnava,9
dobiček,9
strukturen,9
poslanec,9
elektronski,9
osirotel,9
stabilnost,9
nadzoren,9
pretežen,8
obstoječ,8
načrtovan,8
vladen,8
proizvod,8
podjetnik,8
sodelovanje,8
prenos,8
postati,8
