Priimek,Števec
prikl,0
tomić,2
trček,3
ban,0
cink,0
ferluga,4
kavčič,0
kotnik,1
prelog,2
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,4
košnik,0
horvat,7
koleša,0
kramar,1
matić,1
murgel,3
rajić,2
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,2
hainz,10
hršak,0
kotnik,1
levičar,0
battelli,0
breznik,0
brinovšek,4
grims,3
irgl,1
lep,98
logar,3
mahnič,3
podkrajšek,0
pojbič,2
šircelj,2
muršič,5
nemec,1
horvat,7
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,4
veber,0
krajnc,0
janša,3
göncz,0
tanko,4
novak,0
han,0
sluga,2
tonin,4
jurša,2
gorenak,6
vervega,0
potočnik,0
kopmajer,0
žibert,4
godec,2
krivec,11
lisec,3
pogačnik,4
žnidar,1
dimic,1
tašner,0
bizjak,0
lipicer,6
möderndorfer,20
verbič,4
mesec,44
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,7
lah,0
dobovšek,1
bačič,0
klanjšček,0
radič,2
tabaković,0
