Beseda,Števec
biti,5780
ta,5495
jesti,3939
in,3731
da,3575
v,3014
na,2555
se,2353
ki,2183
za,1778
tudi,1595
ne,1515
nek,1183
pa,1112
on,1092
o,1049
tak,945
zakon,894
kot,867
s,793
z,770
imeti,697
ves,608
ali,573
po,572
še,559
že,547
način,535
drug,525
misliti,516
vlada,507
ozir,503
do,494
če,484
lahek,458
pravica,453
kar,439
jaz,436
država,436
pravi,434
seveda,429
sam,414
ampak,409
iti,406
slovenija,399
evropski,390
tisti,375
ker,352
državen,345
iz,340
pravzaprav,338
en,325
primer,323
predlog,321
pri,314
združen,314
glede,286
kateri,281
jasen,279
oda,272
zato,272
let,266
člen,264
stran,264
zaradi,263
levica,261
velik,260
svoj,254
danes,253
ko,253
javen,246
zbor,241
več,237
del,231
zveza,223
postopek,222
predlagati,222
govoriti,210
unija,209
komisija,208
predvsem,207
sprememba,197
raven,196
stvar,195
kak,194
dva,194
zdaj,192
takšen,190
točka,189
prvi,188
vprašanje,187
seja,185
tukaj,184
morati,178
bolj,178
ustaven,175
med,175
morala,175
sporazum,174
zakonski,173
treba,171
kaj,170
sodišče,169
potreben,169
čas,166
potem,164
naš,162
mnenje,160
naj,159
moči,159
zelo,158
skupina,157
človekov,156
sedaj,155
ter,153
stališče,152
praven,152
sicer,152
razprava,151
predsednik,151
kakšen,151
določen,149
bit,144
minister,144
rešitev,143
si,142
tu,142
istospolen,142
pred,142
podpreti,141
enak,141
bistven,141
k,140
ukrep,140
človek,139
nekaj,139
javnost,137
mora,137
socialen,136
priti,134
referendum,134
vedeti,132
torej,132
sklep,130
slovenski,128
noben,128
beseda,128
poslovnik,128
ministrstvo,127
dober,126
sprejeti,126
namreč,126
hvalahvala,126
zakaj,126
dan,125
razlog,124
podjetje,124
banka,123
obstajati,122
gospoda,122
sem,121
politika,120
dejanje,120
pomen,119
podlaga,118
vedno,118
skupnost,117
kriza,115
nov,114
mogoč,113
skušati,113
področje,113
–,112
družba,112
deloven,112
problem,112
zadeva,109
naprej,109
tikati,108
kdo,107
videti,106
zunanji,106
narediti,106
republika,106
ustava,105
delo,104
ostal,104
skratka,104
oseba,103
podoben,103
preprost,102
sprejet,100
možnost,99
zgolj,99
posledica,99
proti,99
želeti,99
lep,98
kjer,98
red,97
slišati,96
vsaj,96
povedati,95
določati,95
pomemben,94
noveti,94
določba,94
ob,93
kolega,93
možen,92
pač,91
dejanski,90
le,90
ever,89
nit,89
odbor,88
situacija,88
interes,88
begunec,85
najbolj,85
zadnji,85
bistvo,84
služba,83
prav,83
poslanski,83
dati,82
dajati,82
ekonomski,82
otrok,82
cilj,82
težava,81
vidik,80
poleg,80
odstavek,79
stanje,79
dneven,79
družinski,79
visok,79
trenuten,79
sploh,78
delovanje,78
isti,78
razmerje,78
dodaten,78
obravnava,78
nujen,78
podpirati,77
vsak,76
strošek,76
pozdrav,76
podatek,76
praksa,76
plača,76
dolg,76
resolucija,75
pomoč,75
evropa,75
finančen,74
konkreten,74
svet,74
mednaroden,73
leto,73
argument,72
političen,72
zakonodaja,72
organ,72
ugotoviti,71
mali,71
amandmajati,71
ukrajina,71
rad,70
slab,69
gospodarski,69
milijon,69
strinjati,69
prej,69
nanašati,69
2,68
diskriminacija,68
popolnoma,68
ti,67
ponoven,67
njihov,66
kazati,66
trije,66
kazniv,66
mesto,66
konec,66
začeti,66
dobiti,65
informacija,65
primeren,65
območje,64
zanimati,64
cel,64
očiten,64
odločitev,64
edin,64
njegov,64
ministrica,63
član,63
predlagatelj,63
sodelovanje,63
delavec,63
saj,62
strategija,62
glaven,62
odločba,62
obravnavati,62
pričakovati,62
odločati,61
glasovati,61
breza,61
zakonodajen,60
zgoditi,60
nadaljevanje,60
korak,60
vendar,59
razumeti,59
oba,59
amand,59
pogoj,59
stopnja,59
poslušati,59
strokoven,58
zaposlen,58
privatizacija,58
tretji,58
dejstvo,58
transparentnost,58
namen,58
nič,57
sektor,57
vložiti,57
čist,57
sredstvo,56
sistem,56
zahteva,56
večina,56
prihajati,56
članica,56
dokument,56
doseči,56
kazenski,56
pokojnina,55
e,55
kratek,55
verjeten,55
dutba,54
odprava,54
razlaga,54
protiustavnost,54
nad,54
poslanec,54
priporočiti,54
nekateri,54
poudariti,54
okoliščina,54
takrat,54
oblika,53
ustrezen,53
dr,53
večkrat,53
telo,53
res,53
ureditev,53
pod,53
manj,52
meja,52
rešiti,52
njen,51
opozarjati,51
nekdo,51
oseben,51
trenutek,51
palestina,51
partner,51
naslednji,51
postati,50
tisoč,50
zagotoviti,50
sklad,50
politik,50
vrsta,50
koalicija,50
družina,50
upoštevati,50
sodelovati,50
žeti,49
zapisan,49
položaj,49
20,49
hiter,49
predstavljati,49
reklo,48
okvir,48
nihče,48
nato,48
gospa,48
postaviti,48
resen,47
govor,47
enkrat,47
razvoj,47
odpravljati,46
kljub,46
odgovor,46
pogledati,45
načelo,45
pripraviti,45
vloga,45
število,45
delovati,44
omeniti,44
osnoven,44
dovolj,44
zdeti,44
sistemski,44
mesec,44
nasprotovati,44
priprava,44
spremeniti,44
odstotek,43
ruski,43
namesto,43
odpraviti,43
odnos,43
močen,43
ključen,43
čeprav,43
tolik,43
začetek,43
1,43
predstavnik,43
dostop,42
stranka,42
amandmaj,42
spet,42
reči,42
odgovornost,42
nedopusten,42
zavarovanje,42
razpravljati,42
storitev,42
predloga,42
prejšnji,42
širok,42
čim,42
varnosten,41
najprej,41
kakršenkoli,41
pripravljen,41
priznati,41
par,41
gospodarstvo,41
celoten,41
organizacija,41
deklaracija,41
drugačen,40
2015,40
storiti,40
neposreden,40
ponavljati,40
izvršba,40
hoteti,40
eden,40
živeti,39
državljan,39
vojen,39
veljati,39
kolik,39
funkcija,39
novel,39
skladen,39
parlamentaren,39
naveden,39
rok,39
glasovanje,39
sklic,38
proračun,38
zakonodajnopraven,38
poseben,38
vpliv,38
različen,38
omogočati,38
institucija,38
para,38
reševati,38
projekt,38
obrazložitev,37
francija,37
povezan,37
nikakor,37
račun,37
delati,37
zagotavljanje,37
vladen,37
potreba,37
10,37
določiti,37
zahoden,37
kapital,37
raznospolen,37
življenje,37
premoženje,37
temelj,36
zdravstven,36
prinašati,36
skupen,36
nekakšen,36
minimalen,36
seznam,36
izvajati,36
mehanizem,36
pobuda,36
moj,36
tam,36
sprejemati,36
prejeti,36
precej,36
prinesti,36
sklicevati,36
vaš,36
sprejem,35
potrebovati,35
prispevek,35
nekolik,35
glas,35
institut,35
številka,35
uvod,35
smer,35
nasprotje,35
državljanov,35
federacija,34
majhen,34
soden,34
mena,34
prodaja,34
dopolnitev,34
zakonik,34
temeljen,34
prebivalec,34
dodati,34
demokracija,34
meniti,34
star,34
omogočiti,33
preprečiti,33
spol,33
skozi,33
partnerski,33
teden,33
opozoriti,33
poročilo,33
odločiti,33
hud,33
spreminjati,33
značaj,33
smiseln,33
priznanje,33
dogajati,33
predstavitev,33
ugotavljati,32
posameznik,32
korupcija,32
obveznost,32
pogodba,32
varstvo,32
grčija,32
sprejetje,32
pravosodje,32
gradivo,32
reč,32
zavedati,32
center,32
uprava,32
ura,32
korist,32
očitek,32
citirati,32
poseg,31
trg,31
praktičen,31
lasten,31
a,31
demokratičen,31
opozorilo,31
sds,31
nerazumljiv,31
prost,31
splošen,31
zagotavljati,31
posvojitev,31
enostaven,30
razpis,30
problematika,30
opredeliti,30
preprečevanje,30
terjatev,30
izhajati,30
postavljati,30
sporen,30
dejavnost,30
besedilo,30
izpostaviti,30
januar,30
pokazati,30
notranji,30
nazadnje,29
točen,29
najti,29
podati,29
oblast,29
pogajanje,29
zaščita,29
imenovan,29
ljudstvo,29
enakost,29
kršitev,29
uporaba,29
preiskava,29
humanitaren,29
izreden,29
kandidat,29
vrednota,29
tir,29
9,29
urejati,29
zaveza,28
zapis,28
prostor,28
upati,28
nadaljevati,28
ocena,28
posamezen,28
tehničen,28
koalicijski,28
hvala,28
nadzor,28
letos,28
opredeljen,28
razmera,28
vsebina,28
upravljanje,28
skrb,28
12,28
hkrati,28
pozitiven,28
prebivalstvo,28
podpredsednik,28
definicija,28
5,28
70,28
90,27
kolegica,27
volja,27
težek,27
učinek,27
normalen,27
povečati,27
davek,27
nemčija,27
sled,27
žrtev,27
učinkovit,27
7,27
izmed,27
skrajen,27
zmanjšati,27
praviti,27
spoštovan,27
mandati,27
približen,27
obdobje,27
varnost,27
vojaški,27
program,27
morda,27
zagovarjati,27
življenjski,26
upravičen,26
kje,26
posredovati,26
imenovati,26
dolžnik,26
2014,26
analiza,26
podpora,26
3,26
reforma,26
solidaren,26
dohodek,26
pomagati,26
nasproten,26
poudarjati,26
naložba,26
fiskalen,26
gospod,26
ameriški,26
občina,25
razvojen,25
govorilo,25
dalja,25
davčen,25
pogovarjati,25
smeti,25
odziv,25
spolen,25
varčevalen,25
prispevati,25
izkušnja,25
begunski,25
skoraj,25
enakopraven,25
znesek,25
preveč,25
sila,25
30,25
obstoječ,25
pridobiti,25
pripeljati,25
bližnji,25
spraševati,25
proces,25
zainteresiran,25
uporabljati,25
končen,24
opravljati,24
tveganje,24
izjava,24
prositi,24
delež,24
leten,24
današnji,24
akt,24
zgodba,24
izključen,24
sankcija,24
rast,24
načrt,24
brezplačen,24
spomniti,24
urediti,24
21,24
zahtevati,24
pojavljati,24
omenjen,24
okoli,24
morebiten,24
volitve,24
ugotovljen,24
odpirati,24
zapisati,24
bdp,24
debata,24
upnik,24
poziv,23
pokojninski,23
sd,23
pridružitven,23
matičen,23
amerika,23
2013,23
mera,23
prepoved,23
slediti,23
dopusten,23
posledičen,23
maga,23
vojska,23
vzrok,23
14,23
plačilo,23
nikoli,23
4,23
preiskovalen,23
prehajati,23
družben,23
