Priimek,Števec
prikl,2
tomić,0
trček,7
ban,0
cink,0
ferluga,1
kavčič,0
kotnik,1
prelog,0
ranc,5
šergan,0
zorčič,0
dekleva,0
brglez,0
košnik,0
horvat,9
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,1
dolinšek,2
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,1
hainz,0
hršak,0
kotnik,1
levičar,0
battelli,0
breznik,3
brinovšek,0
grims,1
irgl,0
lep,100
logar,0
mahnič,8
podkrajšek,0
pojbič,0
šircelj,1
muršič,1
nemec,15
horvat,9
vrtovec,0
kovačič,0
hanžek,0
kordiš,1
škoberne,0
vilfan,0
veber,38
krajnc,0
janša,26
göncz,0
tanko,7
novak,1
han,6
sluga,0
tonin,8
jurša,2
gorenak,1
vervega,0
potočnik,1
kopmajer,0
žibert,0
godec,0
krivec,1
lisec,0
pogačnik,2
žnidar,0
dimic,0
tašner,0
bizjak,2
lipicer,0
möderndorfer,21
verbič,4
mesec,116
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,0
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,2
