Beseda,Števec
biti,7536
ta,4717
da,4694
in,4374
jesti,4157
v,2945
se,2620
pa,2040
ki,1827
za,1799
na,1759
ne,1524
jaz,1478
tudi,1444
on,1212
če,1159
ves,1001
lahek,873
imeti,836
stvar,800
še,681
s,662
slovenija,637
ali,621
ker,620
potem,607
o,594
kot,570
nek,542
z,535
drug,531
tak,524
tisti,514
ti,499
sam,490
ampak,462
ko,461
država,440
kaj,414
po,413
zelo,410
iti,397
sem,390
naš,384
en,379
kar,375
velik,367
svoj,365
že,363
iz,360
misliti,346
danes,346
pri,336
dober,335
vlada,334
ozir,334
kak,327
do,325
zakon,320
banka,312
kateri,311
let,310
več,307
komisija,302
zaradi,289
oda,287
denar,267
vedeti,266
kakšen,265
človek,263
želeti,261
narediti,259
nov,257
si,252
služba,246
podjetje,244
nadzor,241
povedati,241
minister,241
čas,231
torej,231
državen,226
zato,225
način,224
treba,223
reklo,223
slovenski,223
del,221
sistem,218
pomemben,218
zakaj,217
bolj,215
zdaj,210
zadeva,208
kolega,201
dobiti,200
sklep,196
stran,196
morati,195
takšen,193
poslanec,191
primer,190
problem,189
dva,185
razprava,185
morda,185
priti,182
tukaj,180
ever,179
določen,179
govoriti,177
nekaj,177
med,172
naprej,171
evropski,171
naj,169
vprašanje,168
potreben,168
vedno,168
konkreten,168
zdeti,167
razumeti,165
dati,162
vsaj,162
ključen,160
obveščevalen,158
javen,158
mora,155
nič,152
seveda,148
vaš,147
proračun,146
videti,145
prav,144
vsak,143
–,143
predlagati,142
občina,139
projekt,138
številen,137
predvsem,137
zgoditi,137
postopek,136
kjer,136
jasen,135
bančen,134
delati,133
slab,133
možnost,132
seja,132
koalicija,130
enostaven,129
skupina,129
gospoda,128
prvi,126
morala,126
varnosten,125
vendarle,125
bit,125
ukrep,125
kdo,123
trije,122
nekateri,121
grčija,120
predlog,120
začeti,120
odbor,119
moj,117
dan,117
mali,116
mesec,116
glede,116
noben,115
milijon,113
odgovor,113
konec,113
storiti,112
moči,112
zadnji,112
sedaj,110
finančen,109
praktičen,108
gospodarski,108
parlament,108
težek,107
pomen,107
podlaga,105
reči,105
izmed,105
dejanski,105
predsednik,105
k,103
podatek,103
obstajati,102
tam,102
ugotoviti,101
gospodarstvo,101
pred,101
pogledati,100
davek,100
lep,100
današnji,99
naslednji,99
najbolj,99
pravi,99
delo,97
dodaten,96
upati,96
zgodba,95
cel,95
isti,95
govor,94
pač,94
kriza,93
kljub,92
nit,92
pod,91
breza,91
res,90
strinjati,89
sicer,89
program,89
težava,88
njihov,88
praven,88
proti,88
bistven,88
zagotoviti,87
opozicija,87
različen,87
leto,87
mesto,87
zgolj,86
reforma,86
razlika,86
kolegica,85
sanacija,85
ostal,85
zagotovo,85
verjetneje,84
davčen,84
sredstvo,83
potrebovati,83
ministrstvo,83
nekolik,82
ogromen,82
gospod,82
obramba,82
podpreti,81
razlog,81
rešitev,81
političen,80
evropa,80
praviti,80
dolg,79
poslanski,79
čim,79
član,77
prestrukturiranje,76
kje,75
meja,75
drugačen,75
kazati,75
mnog,75
vojska,75
pogoj,74
enkrat,74
tisoč,73
spremeniti,73
prepričan,73
tu,72
mogoč,72
plača,72
nadaljevanje,72
sprememba,72
mena,71
sprejet,71
večina,71
saj,70
privatizacija,70
vojen,70
pot,70
deloven,70
okvir,69
ob,68
skupaj,67
sprejeti,67
državljan,67
pomagati,67
izjemen,66
področje,66
ukvarjati,66
vprašati,66
poročilo,66
hiter,66
nujen,66
delovanje,65
praksa,65
strošek,65
odgovoren,65
poseben,65
šola,65
natančen,65
predstavnik,65
prositi,64
člen,64
župan,64
politika,63
infrastruktura,63
popolnoma,63
10,63
pomoč,63
svet,63
točka,63
dejstvo,62
zveza,62
red,62
pričakovati,62
družba,62
rezultat,62
edin,62
zbor,61
visok,61
zlasti,61
turizem,61
opraviti,61
informacija,61
nad,60
prej,60
takrat,60
poskušati,59
celoten,59
vojaški,59
eden,59
posamezen,58
