Priimek,Števec
prikl,0
tomić,3
trček,3
ban,0
cink,0
ferluga,2
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,4
košnik,0
horvat,8
koleša,0
kramar,0
matić,1
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,2
škopac,0
zajc,0
zorman,3
gantar,2
hainz,1
hršak,0
kotnik,0
levičar,1
battelli,0
breznik,4
brinovšek,0
grims,11
irgl,1
lep,146
logar,9
mahnič,4
podkrajšek,0
pojbič,5
šircelj,3
muršič,4
nemec,4
horvat,8
vrtovec,1
kovačič,0
hanžek,0
kordiš,5
škoberne,0
vilfan,1
veber,29
krajnc,0
janša,25
göncz,0
tanko,21
novak,0
han,3
sluga,0
tonin,5
jurša,3
gorenak,6
vervega,0
potočnik,1
kopmajer,0
žibert,2
godec,3
krivec,3
lisec,3
pogačnik,0
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,6
verbič,0
mesec,48
čuš,2
laj,0
ljubič,0
počkaj,0
bratušek,9
lah,0
dobovšek,5
bačič,0
klanjšček,0
radič,0
tabaković,0
