Beseda,Števec
biti,2789
jesti,1512
ta,1417
da,1336
in,1212
v,990
se,900
ne,813
pa,716
ki,691
na,621
za,598
jaz,461
tudi,413
on,388
ali,372
o,361
tak,333
ampak,306
kot,282
že,277
ves,267
z,257
sam,250
sem,246
drug,245
s,242
kar,241
še,240
imeti,228
lahek,223
če,222
ker,211
tisti,204
državen,196
let,182
do,174
človek,172
ko,167
država,167
zakon,163
vedeti,158
pravica,156
slovenija,151
vlada,151
pri,150
en,144
oda,143
stvar,141
kaj,139
velik,134
po,133
nekaj,132
tukaj,132
povedati,131
zbor,128
hvala,127
naprej,118
kateri,116
misliti,116
lep,114
iz,113
narediti,112
del,111
združen,110
–,110
mora,109
zelo,108
več,108
treba,108
seveda,106
nek,104
zato,103
javen,102
zaradi,102
mali,101
kak,100
problem,99
reklo,97
govoriti,94
pred,94
svoj,93
bolj,92
levica,90
poslanec,89
človekov,87
delati,87
zdaj,87
leto,85
iti,85
enak,81
videti,79
čas,78
kakšen,78
komisija,76
6,76
naš,75
ti,74
varuh,73
potem,73
moči,72
nekateri,71
dober,71
cel,71
strinjati,70
ostal,70
primer,69
predvsem,68
glede,68
med,67
morati,66
dva,66
lepahvala,66
vsak,61
dobiti,61
naj,61
prvi,60
slovenski,60
govor,59
sodišče,59
vedno,59
kjer,58
ministrstvo,58
pač,57
praven,57
stran,56
pravi,56
nit,56
morala,56
prej,56
takrat,56
nekdo,56
skupina,56
dati,55
si,55
političen,55
sti,55
evropski,54
sicer,54
reči,54
področje,54
milijon,54
ter,53
vsaj,52
predlog,52
sedaj,52
vprašanje,51
danes,51
bit,51
isti,51
spet,50
proti,50
priti,49
zdravstven,49
vseeno,49
prepričan,48
žal,48
mnog,48
nič,47
le,47
delo,46
otrok,46
socialen,46
predlagati,46
različen,46
ever,45
način,45
denar,45
ozir,45
mnenje,45
tisoč,44
argument,44
odločitev,44
kolega,44
manj,43
mesec,43
ministrica,43
jasen,42
svet,42
čeprav,42
dan,42
kdo,42
sploh,41
rad,41
odnos,41
blok,41
ustaven,41
začeti,41
pogovarjati,41
politika,40
dolg,40
podoben,40
res,40
ukvarjati,40
raven,40
ugotoviti,39
slab,39
sredstvo,39
tam,39
poročilo,39
pomen,38
predsednik,38
pol,38
mandati,38
institucija,37
nov,37
saj,37
zdravje,37
policija,36
zakaj,36
pomagati,36
skoraj,36
vaš,36
razen,35
minister,35
moj,35
breza,35
pomoč,35
delavec,35
evropa,35
razmišljati,34
člen,34
projekt,34
noben,34
voda,33
10,33
okolje,33
poslušati,33
neprestan,33
podpreti,32
takšen,32
meja,32
ob,32
življenje,32
stranka,32
naslednji,32
revščina,32
dovolj,32
govorilo,32
večina,31
ukrep,31
organizacija,31
cena,31
k,30
rom,30
najprej,30
20,30
sprejeti,30
zahteva,30
stanje,29
mednaroden,29
potreben,29
milijarda,29
glasovati,29
visok,29
hoteti,29
investicija,28
čist,28
možnost,28
dodaten,28
namreč,28
1,28
popolnoma,28
pogoj,28
opozarjati,28
konec,28
mogoč,28
enkrat,28
kazati,28
beseda,28
smeti,28
vrsta,27
glaven,27
mesto,27
dejanje,27
banka,27
romski,27
zdravstvo,27
sistem,27
poseben,26
sovražen,26
mena,26
obsojen,26
najbrž,26
seja,25
kdaj,25
odgovor,25
omeniti,25
resolucija,25
skupaj,25
pomemben,25
tu,25
nasprotovati,25
politik,25
poleg,25
izmed,25
postopek,24
nadaljevanje,24
razlog,24
nevladen,24
vprašati,24
rešitev,24
gospodarski,24
janša,24
opozorilo,24
morda,24
spoštovan,24
absoluten,24
trije,24
skupnost,23
družina,23
sprememba,23
energetski,23
kratek,23
družba,23
ekonomski,23
vsekakor,23
najbolj,23
zaščita,23
oblast,23
reč,23
begunec,23
zdeti,23
sklep,22
ime,22
strokoven,22
verjeti,22
a,22
preiskovalen,22
finančen,22
sprejet,22
deloven,22
prenehati,22
njihov,22
zakonodaja,22
začetek,21
delovanje,21
dajati,21
zadeva,21
vojska,21
