Priimek,Števec
prikl,0
tomić,0
trček,4
ban,0
cink,2
ferluga,4
kavčič,9
kotnik,14
prelog,0
ranc,1
šergan,0
zorčič,8
dekleva,0
brglez,0
košnik,0
horvat,3
koleša,1
kramar,10
matić,2
murgel,2
rajić,0
shaker,2
dolinšek,0
škodnik,1
škopac,3
zajc,3
zorman,0
gantar,1
hainz,1
hršak,0
kotnik,14
levičar,2
battelli,0
breznik,4
brinovšek,2
grims,16
irgl,9
lep,248
logar,7
mahnič,8
podkrajšek,0
pojbič,0
šircelj,1
muršič,4
nemec,7
horvat,3
vrtovec,2
kovačič,0
hanžek,0
kordiš,0
škoberne,1
vilfan,0
veber,4
krajnc,3
janša,4
göncz,0
tanko,2
novak,0
han,1
sluga,2
tonin,4
jurša,0
gorenak,14
vervega,2
potočnik,2
kopmajer,0
žibert,15
godec,1
krivec,0
lisec,3
pogačnik,0
žnidar,0
dimic,17
tašner,0
bizjak,1
lipicer,0
möderndorfer,3
verbič,6
mesec,83
čuš,1
laj,1
ljubič,0
počkaj,0
bratušek,6
lah,0
dobovšek,2
bačič,0
klanjšček,0
radič,3
tabaković,0
