Beseda,Števec
biti,4754
da,2764
ta,2751
v,2348
jesti,2292
in,2260
se,1916
na,1870
jaz,1115
za,1083
ki,1032
tudi,958
pa,910
ne,896
nek,852
o,792
kot,734
ves,563
tak,540
on,537
ampak,532
z,527
način,520
sam,481
s,471
imeti,468
lahek,419
naš,407
do,399
govoriti,397
ali,397
ko,370
država,364
predvsem,362
še,342
kar,331
drug,326
tisti,320
če,317
že,316
ker,307
ozir,305
velik,286
oda,281
socialen,272
slovenija,261
hvala,255
let,253
dober,252
beseda,252
misliti,251
državen,248
lep,248
tukaj,246
svoj,242
sem,238
po,237
reklo,236
evropski,235
en,234
iz,230
zakon,223
zelo,220
moj,216
predlog,212
ti,209
namreč,208
kaj,203
zato,196
pravica,190
morati,186
razprava,186
glede,186
vedeti,186
pri,185
danes,180
človek,178
iti,177
vprašanje,176
kateri,175
pomemben,175
čas,174
vlada,172
odbor,167
demokrat,163
stran,161
si,160
mora,159
želeti,158
zaradi,156
področje,152
del,150
več,149
zbor,149
naj,148
kolega,147
dan,145
kdo,142
kakšen,137
mogoč,135
seja,135
politika,133
lepahvala,133
sicer,133
kak,132
gospa,132
ministrstvo,128
predsednik,127
videti,123
le,121
–,120
vsaj,119
družba,118
treba,117
pravi,117
priti,113
bit,112
vaš,112
k,111
točka,110
kolikor,108
pred,107
nov,104
med,104
republika,104
javen,103
prav,103
slovenski,102
narediti,101
ter,100
bolj,100
upati,99
človekov,99
potem,98
spoštovan,97
mnenje,96
omeniti,96
političen,96
zadnji,96
unija,95
dneven,94
predlagati,94
nekateri,94
prvi,93
pravosodje,93
kolegica,92
skupaj,92
razumeti,92
skupina,92
problem,92
jasen,91
dajati,90
odnos,90
red,89
ob,89
določen,88
okvir,87
reč,87
možnost,86
sprememba,86
zadeva,85
najti,85
dva,85
nekaj,85
verjeti,84
naprej,84
evropa,84
stališče,83
mesec,83
minister,83
sodišče,81
postopek,81
reševanje,80
svet,80
primer,80
leto,80
pomen,79
vsak,75
potreben,75
komisija,75
člen,74
kratek,74
naslednji,74
povedati,74
zanimati,73
odgovor,73
izjemen,71
preteklost,71
rešitev,71
pot,71
podpreti,70
podlaga,70
zdeti,70
mlad,70
predstavnik,70
sklep,69
odgovornost,69
opozarjati,68
žeti,68
poslanec,68
kriza,68
dati,67
vseeno,65
skušati,65
sistem,65
dejstvo,64
kjer,63
ukrep,63
delovati,63
problematika,62
2015,62
dejanski,62
strinjati,62
delo,61
oseben,61
pogovarjati,61
proračun,61
raven,61
morala,61
deloven,61
skupnost,60
težek,60
gospoda,60
služba,60
prihajati,60
prej,60
stranka,59
pobuda,59
žal,59
obdobje,59
ostal,59
tikati,59
saj,58
dobiti,58
zavedati,58
obravnava,58
začeti,58
član,57
takrat,57
takšen,56
pričakovati,56
podpora,55
hiter,55
sedaj,55
stvar,55
čim,55
tu,54
potekati,54
nadaljevanje,54
seveda,53
predlagatelj,53
enak,53
delovanje,52
težava,52
ministrica,52
oba,52
vselej,51
meja,51
mali,51
finančen,51
maga,51
situacija,51
smer,51
vloga,50
sprejeti,50
čist,50
zveza,50
glasovanje,50
skupen,49
gospodarski,49
mesto,49
dogajati,49
sprejet,48
članica,48
proti,48
dialog,48
predsedujoč,48
izvajanje,48
krepiti,48
nenehen,48
poslanski,48
smisel,48
zdaj,48
njen,47
nacionalen,47
današnji,47
dr,47
mednaroden,47
konkreten,47
zakaj,47
znati,47
moči,47
nič,46
demokratov,46
interes,46
slovenec,46
projekt,45
spremljati,45
politik,45
e,45
podatek,45
vrsta,45
grčija,45
zunanji,44
znotraj,44
tisoč,44
cel,44
prihodnost,44
omenjati,44
različen,44
smeti,44
vidik,43
sredstvo,43
zgodba,43
dovoliti,43
dotakniti,43
1,43
izpostaviti,43
cilj,42
njihov,41
gospodarstvo,41
rad,41
priložnost,41
konec,41
reševati,41
izvoliti,40
nadaljevati,40
večkrat,40
namesto,40
izvolitehvala,40
varnost,40
postaviti,40
pod,40
zagotovo,40
medij,39
omenjen,39
izobraževanje,39
iskati,39
tema,39
javnost,38
pogled,38
vedno,38
podpirati,38
moč,38
slišati,38
trije,38
program,38
prihodnji,38
poslovnik,38
sploh,37
nekdo,37
račun,37
nihče,37
ponoven,37
najbolj,37
pomoč,37
širok,37
razpravljati,37
verjetneje,36
govor,36
visok,36
položaj,36
izkušnja,36
enkrat,36
eden,36
odstavek,35
tovrsten,35
posamezen,35
sklad,35
slab,35
kazati,35
poudariti,35
ime,35
življenje,35
pretekel,35
majhen,34
sekretarka,34
ugotavljati,34
trg,34
temeljen,34
okoliščina,34
razvoj,34
družina,34
korak,34
opozorilo,34
odločitev,34
rečen,33
razlog,33
lokalen,33
deležen,33
praven,33
prisoten,33
ever,33
kandidatek,33
posebej,33
breza,33
mena,32
prositi,32
italija,32
res,32
spremeniti,32
dodaten,32
proces,32
rešiti,32
postati,31
kje,31
drag,31
telo,31
koalicija,31
stanovanjski,31
dolg,31
izogniti,31
ključen,31
vojen,31
kljub,31
dogajanje,31
dejanje,31
poznati,31
šolstvo,30
nadaljnji,30
oblika,30
dogodek,30
lasten,30
zaključevati,30
nit,30
priča,30
zgodovina,30
pozdravljati,30
a,30
zadovoljen,30
priporočiti,30
prioriteta,30
neposreden,30
dokument,30
nekak,30
krepitev,30
tolik,30
2014,29
večina,29
banka,29
pozdrav,29
ura,29
trenutek,29
podjetje,29
aktivnost,29
kršitev,29
organizacija,29
poročilo,29
morebiten,29
uprava,29
poslanka,29
stanje,28
manj,28
ocena,28
stanovanje,28
pripravljen,28
preko,28
močen,28
celoten,28
ukrajina,28
spreminjati,28
zagovarjati,28
končen,27
enoten,27
2,27
dars,27
matičen,27
drugačen,27
pomeniti,27
živeti,27
povsem,27
svetoven,27
dovolj,27
preden,27
otrok,27
vpliv,27
naučiti,27
delavec,27
zdravstvo,27
tok,27
bodoč,27
gospod,27
sodelovati,27
volja,26
strokoven,26
zaprt,26
predhodnik,26
zaključiti,26
reči,26
akt,26
zagotoviti,26
kdaj,26
relativen,26
dotikati,26
finance,26
10,26
ja,26
opozoriti,26
milijon,26
namen,26
bistven,26
9,26
obramba,26
imenovanje,25
ustaven,25
nekje,25
govorilo,25
faza,25
strošek,25
istospolen,25
pravilo,25
opravičevati,25
občutek,25
parlament,25
ustava,25
pogovor,25
uspešen,25
čez,25
sekretar,25
predloga,25
podoben,25
število,25
njegov,25
nujen,25
notranji,25
mera,24
zahteva,24
razmišljati,24
popolnoma,24
pogoj,24
roka,24
geopolitičen,24
tretji,24
sodelovanje,24
pomagati,24
glasovati,24
okoli,24
potek,24
družben,24
spraševati,24
znajti,24
pokazati,24
temveč,23
begunec,23
izziv,23
številka,23
želja,23
kasneje,23
teden,23
zakonodajnopraven,23
vsebina,23
določati,23
prehajati,23
pravilen,23
kultura,23
pristop,23
primorski,23
rok,23
okolje,23
resolucija,22
najprej,22
praksa,22
spoštovati,22
2009,22
namenjen,22
omogočiti,22
ustvariti,22
odprt,22
davčen,22
uvod,22
radi,22
meniti,22
opraviti,22
obveznost,22
grški,22
temelj,21
zakonski,21
ba,21
poudarjati,21
tokrat,21
združen,21
dama,21
nastal,21
dejati,21
20,21
zahoden,21
pet,21
pozitiven,21
gradivo,21
generacija,21
mir,21
vzhod,21
organ,21
omogočati,21
kapital,21
bližnji,21
zagotavljati,21
konflikt,21
vrhoven,20
avtocesta,20
anomalija,20
odločati,20
proga,20
podpredsednica,20
vprašati,20
območje,20
vsebinski,20
obseg,20
veljati,20
nad,20
promet,20
skozi,20
globalen,20
kdorkoli,20
sprejemanje,20
obravnavati,20
prebivalec,20
odvijati,20
sprejemati,20
dodati,20
železniški,20
odločiti,20
vir,20
institucija,20
deklaracija,20
pol,20
prejšnji,20
konstruktiven,20
nanašati,20
vabiti,20
anje,20
zdravstven,19
komunikacija,19
dotik,19
izhajati,19
kritičen,19
jemati,19
namera,19
rast,19
spomniti,19
referendum,19
velikokrat,19
potreba,19
skoraj,19
članov,19
poseben,19
predstavljati,19
izgradnja,19
informacija,19
star,19
razlika,19
povezan,18
povedan,18
podati,18
šele,18
proračunski,18
element,18
potrebovati,18
amand,18
državljan,18
plača,18
funkcija,18
zaščita,18
oseba,18
lepaspoštovan,18
zakonodaja,18
vodenje,18
napaka,18
razmerje,18
25,18
poleg,18
turizem,18
noben,18
opozicija,18
zgoditi,18
nazaj,18
voda,18
tir,18
primeren,18
zaključen,17
narod,17
resor,17
pogledati,17
soden,17
sklic,17
poskušati,17
delati,17
3,17
izrečen,17
učinkovit,17
odgovoren,17
seznanjen,17
kam,17
predstavnica,17
živ,17
dimica,17
spodbujati,17
aktiven,17
terjati,17
obrniti,17
verjeten,17
znan,17
problematizirati,17
pripraviti,17
storitev,17
ureditev,17
kandidat,17
pristojen,17
ocenjevati,17
pravzaprav,17
spoštovanje,17
kriv,17
varnosten,16
prostor,16
obrazložitev,16
nadomeščati,16
učinek,16
makedonija,16
zagotavljanje,16
spleten,16
noveti,16
omejiti,16
štirje,16
vendar,16
hrvaški,16
praktičen,16
ekipa,16
infrastruktura,16
žrtev,16
resen,16
izpostavljen,16
prebrati,16
slediti,16
poudarek,16
kulturen,16
čakati,16
konsenz,16
držati,16
odziv,16
dokler,16
ohraniti,16
človeški,16
skrb,16
šport,16
pripravništvo,16
4,16
30,16
izkoristiti,16
hoteti,16
humanitaren,16
vtis,16
predsednica,16
pogum,16
zgodovinski,16
gradnja,16
grims,16
70,16
vojska,16
tam,16
primorec,16
debata,16
ugotoviti,15
svoboščina,15
posledica,15
imenovati,15
kazalec,15
kakorkoli,15
opredeljevati,15
nadzor,15
ustrezen,15
balkan,15
postavljati,15
glas,15
predstaviti,15
legitimen,15
pristopiti,15
osnova,15
konvencija,15
žibert,15
pogodba,15
zaseben,15
osnoven,15
nositi,15
izraziti,15
italijanski,15
varstvo,15
pač,15
alternativa,15
nerazumljiv,15
isti,15
vrniti,15
okrog,15
sporočilo,15
financiranje,15
splošen,15
prepričan,15
6,15
prizadevati,15
igra,14
sporazum,14
četrti,14
obrazložiti,14
računski,14
igralništvo,14
šola,14
posameznik,14
vzeti,14
ustvarjati,14
pripravljati,14
šibek,14
minimalen,14
koalicijski,14
bruselj,14
razširitev,14
upravljanje,14
varuhinja,14
izkazovati,14
določba,14
razvijati,14
poropati,14
slednji,14
soočati,14
razmišljanje,14
praviti,14
vključen,14
obisk,14
zmožnost,14
kazenski,14
možen,14
identiteta,14
partner,14
fiskalen,14
priprava,14
obstoječ,14
drugače,14
bati,14
realen,14
nekoč,14
gorenek,14
zahod,14
ranljiv,14
očitek,14
odpirati,14
kotnik,14
diplomacija,14
občina,13
evropejec,13
poziv,13
sklop,13
svoboda,13
zmoči,13
začenjati,13
prenesti,13
resničen,13
2013,13
predmet,13
obračati,13
hitreje,13
dopolnitev,13
soočiti,13
strategija,13
objavljen,13
odpreti,13
upanje,13
izvajati,13
replik,13
vzpostavitev,13
luč,13
iskren,13
reforma,13
vladen,13
sprejetje,13
boriti,13
kakovosten,13
12,13
urediti,13
prevzet,13
dogovoriti,13
predlagan,13
hkrati,13
presoja,13
ugotovitev,13
celota,13
amandmajati,13
pooblastilo,13
upokojenec,13
vključiti,13
spodbuda,13
odgovoriti,13
pomanjkljivost,13
višina,13
gledati,13
državljanov,13
precej,13
dostopen,13
poljski,13
razmislek,13
september,13
zaenkrat,13
poslušati,13
