Priimek,Števec
prikl,0
tomić,0
trček,4
ban,0
cink,0
ferluga,1
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,1
brglez,0
košnik,0
horvat,1
koleša,0
kramar,0
matić,1
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,1
zorman,1
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,6
brinovšek,0
grims,3
irgl,0
lep,188
logar,0
mahnič,3
podkrajšek,0
pojbič,0
šircelj,2
muršič,0
nemec,1
horvat,1
vrtovec,1
kovačič,0
hanžek,0
kordiš,3
škoberne,0
vilfan,0
veber,9
krajnc,0
janša,19
göncz,0
tanko,2
novak,3
han,3
sluga,1
tonin,2
jurša,0
gorenak,1
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,5
krivec,4
lisec,5
pogačnik,1
žnidar,0
dimic,0
tašner,0
bizjak,1
lipicer,0
möderndorfer,2
verbič,0
mesec,62
čuš,8
laj,0
ljubič,0
počkaj,0
bratušek,12
lah,0
dobovšek,0
bačič,0
klanjšček,5
radič,1
tabaković,1
