Priimek,Števec
prikl,35
tomić,49
trček,87
ban,9
cink,39
ferluga,15
kavčič,5
kotnik,56
prelog,5
ranc,15
šergan,12
zorčič,25
dekleva,21
brglez,7
košnik,18
horvat,92
koleša,18
kramar,23
matić,14
murgel,19
rajić,17
shaker,22
dolinšek,20
škodnik,19
škopac,18
zajc,16
zorman,7
gantar,16
hainz,36
hršak,13
kotnik,56
levičar,18
battelli,25
breznik,53
brinovšek,15
grims,58
irgl,37
lep,237
logar,50
mahnič,61
podkrajšek,33
pojbič,50
šircelj,41
muršič,35
nemec,29
horvat,92
vrtovec,52
kovačič,11
hanžek,52
kordiš,38
škoberne,20
vilfan,14
veber,49
krajnc,8
janša,77
göncz,47
tanko,141
novak,64
han,29
sluga,22
tonin,63
jurša,26
gorenak,66
vervega,14
potočnik,22
kopmajer,17
žibert,63
godec,40
krivec,19
lisec,40
pogačnik,35
žnidar,77
dimic,50
tašner,1
bizjak,40
lipicer,40
möderndorfer,59
verbič,18
mesec,112
čuš,59
laj,10
ljubič,0
počkaj,0
bratušek,77
lah,17
dobovšek,37
bačič,16
klanjšček,31
radič,9
tabaković,6
