Beseda,Števec
biti,9320
jesti,9065
in,7222
za,7150
ta,6690
na,5533
v,5394
da,5339
o,4568
predlog,3988
imeti,3785
poslanski,3172
zakon,3134
skupina,3079
glasovati,2960
se,2895
zbor,2779
s,2621
gospoda,2522
državen,2403
poslanec,2191
točka,2140
proti,2040
seja,2010
ne,1937
ki,1842
pa,1825
beseda,1811
red,1778
dneven,1704
obravnava,1675
sklep,1659
poslanka,1601
glas,1531
prehajati,1486
dr,1473
razprava,1464
z,1459
sprejet,1442
maga,1410
gospa,1373
vlada,1349
on,1343
obrazložitev,1297
ugotavljati,1293
tudi,1229
člen,1169
k,1167
ime,1166
drug,1108
slovenija,1106
zadeva,1104
amandmaj,1071
še,1015
kdo,952
po,939
navzoč,925
vprašanje,923
postopek,877
kot,860
naslednji,835
ker,824
tisti,802
lahek,800
do,785
zaključevati,739
nihče,723
kar,718
odločanje,718
dopolnitev,712
ves,708
zanjo,699
sprememba,684
ti,666
minister,657
združen,652
glasovanje,633
predsednik,632
2015,631
sds,628
tak,626
sem,620
levica,619
odločati,610
ali,608
če,591
jaz,585
sklad,581
nov,573
dajati,569
prositi,565
predstavitev,565
žeti,561
ministrica,553
sam,550
amand,549
–,545
gospod,542
deloven,542
naj,532
prvi,514
telo,509
ozir,509
poslovnik,508
odbor,491
potem,484
razpravljati,483
odgovor,483
podlaga,480
ter,477
stališče,466
smca,462
republika,459
odstavek,451
postopkoven,446
zaradi,444
torej,437
1,436
franc,434
nadaljevati,429
stranka,427
komisija,425
zato,424
ampak,421
pri,415
matičen,414
iti,410
ura,400
zveza,398
oda,397
2,396
kakšen,392
predstavnik,389
predlagati,380
predlagatelj,379
priprava,372
glede,370
okvir,366
del,366
kateri,366
nujen,355
mora,352
že,346
en,345
kolegij,345
minuta,343
dan,342
čas,342
najprej,341
prejeti,338
tretji,335
desus,335
vložen,334
iz,333
lasten,324
izreden,324
joža,323
sd,319
jan,311
demokratov,307
sklic,306
prekinjen,302
sprejeti,301
3,300
ko,292
5,291
država,288
ob,288
več,287
socialen,283
zdaj,283
zahteva,278
danes,277
9,276
finance,272
predložiti,269
zavezništvo,260
obravnavati,260
kaj,259
skrajšan,259
mateja,249
slovenski,248
pod,245
treba,241
lep,237
svoj,237
kolega,234
12,232
ministrstvo,230
služba,230
želeti,228
amandmajati,228
matjaž,227
misliti,225
dva,224
povedati,224
luk,223
15,221
podprogram,218
javen,218
noben,215
moči,212
jožef,211
prijava,209
andreja,208
takšen,204
naš,203
obveščati,203
njen,202
leto,201
anje,200
10,197
odločiti,194
program,194
opravilo,193
mednaroden,193
4,191
današnji,190
način,190
evropski,187
primer,187
krščanski,187
seveda,185
funkcija,185
politika,184
dopolnilen,183
zelo,183
med,180
zahtevati,180
delo,179
proračun,179
možen,179
6,179
mnenje,178
priti,177
7,177
vaš,177
možnost,176
odlok,176
11,174
pač,174
zunanji,172
prekinjati,172
narediti,171
nek,171
dušan,171
nadaljevanje,171
pripraviti,170
stran,169
prisoten,168
sedaj,167
določen,167
14,165
21,164
pravzaprav,164
mandatnovolilen,163
2014,162
odgovoriti,161
splošen,160
jasen,160
morati,159
pravica,159
opraviti,158
velik,156
kustece,156
zastaviti,156
opozoriti,156
8,156
tukaj,155
replik,154
govoriti,153
mih,153
pred,152
skupnost,151
ustaven,150
dopolnjen,150
bistvo,150
kolegica,149
cerar,149
17,149
20,149
infrastruktura,147
dati,147
naprej,146
prostor,145
irena,145
16,145
pozdravljati,144
vedno,144
področje,144
ba,143
13,143
pisen,143
zakonodajnopraven,142
ustava,142
tanek,141
demokratski,138
peter,138
bojen,138
demokratičen,137
marka,137
alenka,136
delovanje,136
jerneja,135
19,135
gradivo,135
sodišče,134
svet,134
predstavnica,134
res,134
razvoj,134
priporočiti,133
okolje,133
spraševati,133
25,132
odločitev,131
prvopodpisan,130
reden,130
marija,129
simon,129
enak,129
24,129
isti,129
branka,129
zgolj,128
proceduralen,128
dvorana,128
nekaj,128
pravosodje,128
moj,127
let,125
vsaj,125
upokojenec,125
center,125
50,124
stvar,124
23,123
konec,123
breza,123
notranji,123
ustrezen,122
vinka,122
videti,121
tomaž,121
miro,121
moderen,120
dejstvo,120
sekretarka,119
proračunski,119
vsak,119
poročiti,119
andrej,119
18,118
mir,118
član,117
kak,117
bit,117
končati,116
dogovor,116
sekretar,116
vsekakor,116
prijaviti,116
pregled,115
družina,115
nepovezan,115
imenovanje,114
prijavljen,114
58,114
mesto,114
žati,113
neusklajen,113
mesec,112
48,112
ljudmiti,112
sicer,112
prej,112
izobraževanje,112
60,112
unija,111
enkrat,111
52,111
terminski,111
vedeti,111
potek,110
uroš,110
narodnost,109
dobiti,109
oprava,109
bolj,109
gospodarski,109
podpredsednik,109
prav,109
odpirati,109
ugotoviti,108
jutro,108
violet,108
primeren,108
takrat,108
časoven,107
celoten,107
začenjati,106
določitev,106
22,106
političen,105
naroden,104
dejanski,104
51,104
vsebinski,103
pravi,102
54,102
širitev,101
generalen,101
človekov,101
ostal,101
končan,100
zadnji,100
posamezen,99
kjer,99
nadaljnji,98
skupaj,98
uvrstiti,98
udeležiti,98
49,98
53,98
naveden,98
volja,97
dober,97
praven,97
obveščen,97
pomen,97
trije,97
postaviti,97
dalja,96
bojan,96
si,95
uvoden,95
razen,95
strokoven,94
preprost,94
…,94
oglašanje,94
posredovati,93
nit,93
tovrsten,92
številka,92
hkrati,92
janez,92
tikati,92
horvati,92
mogoč,91
reklo,91
pomemben,91
obramba,91
vlagati,90
sodelovanje,90
nekak,90
30,90
začetek,90
začeti,90
praksa,89
ponedeljek,89
preveriti,89
kmetijstvo,89
opravljati,87
trček,87
vesen,86
uporabnik,86
ivati,86
človek,86
dodaten,85
26,85
trenutek,85
prehrana,84
nič,84
spoštovan,84
obstajati,83
sistem,83
predsednica,83
71,83
znanost,82
znotraj,82
anža,82
goran,82
pogoj,82
karkoli,82
zakonodajen,81
morala,81
oba,81
glasovalen,81
gozdarstvo,80
članov,80
šport,80
parlamentaren,80
članica,79
sreda,79
28,79
76,79
75,79
27,78
marijan,78
janša,77
2016,77
žnidar,77
rebalans,77
bratušek,77
tokrat,77
uprava,77
zdravje,77
hvala,76
ljub,76
janka,76
jože,76
drugače,76
le,76
67,76
zaključiti,75
kopača,75
mramor,75
tank,75
kandidat,75
banka,74
rešitev,74
opomin,74
55,74
57,74
obvestilo,74
dopis,73
74,73
64,73
potreben,72
prenehati,72
56,72
73,72
dejan,72
mirjati,71
vendar,71
govor,71
vložiti,71
bon,71
predvsem,71
rok,71
mandati,70
tehnologija,70
zahvaljevati,69
kolar,69
lista,69
ja,69
naprava,69
nekateri,69
upati,68
jelek,68
marjati,68
celota,68
objavljen,67
lilijan,67
parlament,67
pet,67
59,67
večina,66
finančen,66
petek,66
46,66
44,66
gorenek,66
80,66
81,66
mali,65
poročati,65
varstvo,65
raven,65
strinjati,65
prejšnji,65
72,65
70,65
razumeti,64
novak,64
največ,64
primož,64
predloga,64
tonina,63
postati,63
sled,63
ev,63
žibert,63
izvolitev,63
pristojen,63
dejavnost,63
pričeti,63
györkös,63
29,62
47,62
potrebovati,61
a,61
določiti,61
mahnič,61
hoteti,61
suzan,61
matej,61
upoštevati,61
interes,61
poslovniški,60
horvatbeseda,60
pristojnost,60
načrt,60
manj,59
čuš,59
79,59
möderndorfera,59
83,59
vidik,58
nadzor,58
ukrep,58
predstavljati,58
absoluten,58
69,58
grims,58
45,57
igor,57
obvestiti,56
zloraba,56
kultura,56
78,56
kotnik,56
umik,55
62,55
problem,55
dama,55
veljati,55
namreč,55
predsedujoč,55
zakaj,55
ratifikacija,55
monetaren,55
razpravljavec,55
varnosten,54
reševanje,54
verjetneje,54
soden,54
lokalen,54
tankobeseda,54
žrtev,54
77,54
breznik,53
meja,53
gašperšič,53
preiti,53
različen,53
tam,53
zopet,52
vatovec,52
hanžek,52
december,52
klemenčič,52
soglasen,52
širok,52
vrtovec,52
formalen,51
glasovnica,51
eklopiti,51
reči,51
osnova,51
preden,51
poročilo,51
pol,51
židan,50
podati,50
ponoven,50
pojbič,50
möderndorferbeseda,50
referendum,50
dimica,50
organizacija,50
82,50
simona,50
logar,50
tomić,49
drugačen,49
ravnanje,49
sodniški,49
poseben,49
nanašati,49
veber,49
danijeti,48
marec,48
predlagan,48
43,48
deklaracija,48
opozorilo,48
sklicati,48
göncz,47
predstaviti,47
kazenski,47
vojen,47
usten,47
sredstvo,46
sploh,46
razlog,46
november,46
skupen,46
datum,46
tanje,46
opravičiti,46
oktober,46
kandidatek,46
uraden,46
okrožen,46
torek,46
tolik,46
policija,45
odpreti,45
visok,45
agencija,45
poudariti,45
zgoditi,45
mena,44
sporazum,44
saj,44
oblast,44
2017,44
pogodba,44
skušati,44
dolg,44
družba,44
63,44
končen,43
vodja,43
erika,43
izjava,43
tu,43
kontekst,43
odgovoraodgovarjati,43
maj,43
žal,43
majcen,43
organ,43
julij,43
voda,43
podoben,43
mesecbeseda,42
stanje,42
čeprav,42
smcbeseda,42
investicijski,42
postavljen,42
sistemski,42
zavarovanje,42
predlagateljica,42
namen,42
veja,42
65,42
očiten,42
sodelovati,42
zlasti,41
imenovati,41
šircelj,41
odgovarjati,41
lászló,40
zakonski,40
opozarjati,40
sprejem,40
lisec,40
namesto,40
urški,40
ustanovitev,40
čist,40
včeraj,40
sodba,40
guček,40
odnos,40
najbolj,40
dogovoriti,40
lipicer,40
razmerje,40
bizjak,40
vseeno,40
66,40
godec,40
brezpredmeten,40
zvonka,40
postavitev,40
prvič,40
vabilo,39
obrazložiti,39
podpora,39
poskušati,39
soglasje,39
upravljanje,39
poleg,39
dovolj,39
takoj,39
gospodarstvo,39
cinka,39
margareta,39
četrtek,39
september,39
vabiti,39
smisel,39
njegov,39
benedikt,38
krog,38
izvoliti,38
pogledati,38
projekt,38
okviren,38
akt,38
običajen,38
dokler,38
kordeti,38
celarce,38
ugotovitev,38
milojko,38
premoženje,38
volitve,38
omogočati,38
84,38
štirje,37
dobovšek,37
prebrati,37
cel,37
pričenjati,37
narava,37
resolucija,37
trčekbeseda,37
osnoven,37
vsebina,37
koalicija,37
tilen,37
dokument,37
franca,37
mitje,37
samouprava,37
pojasniti,37
korenjak,37
pomoč,37
pozitiven,37
dodati,37
omenjen,37
irgti,37
volilen,37
julijan,36
njihov,36
robert,36
plača,36
kdaj,36
namenjen,36
pravilen,36
hainz,36
konkreten,36
ostati,36
janek,36
besedilo,36
68,36
list,36
april,36
uporabljati,36
sestava,35
pojasnilo,35
posledica,35
nekdo,35
vloga,35
prikl,35
tehničen,35
razvojen,35
markež,35
pogačnik,35
seznaniti,35
skleniti,35
muršič,35
evropa,35
financiranje,35
nadomeščanje,35
bistven,35
najaviti,35
86,35
težek,34
naloga,34
važen,34
veberbeseda,34
odgovornost,34
imenovan,34
erjavec,34
posebej,34
uporaba,34
trčekobrazložitev,34
sdsbeseda,34
kandidatov,34
uporabiti,34
vrsten,34
drugič,34
hotel,34
smiseln,34
87,34
janje,33
podpredsednica,33
izvedba,33
zavedati,33
zakonodaja,33
pardon,33
ksenij,33
podkrajšek,33
