Priimek,Števec
prikl,0
tomić,1
trček,29
ban,0
cink,3
ferluga,3
kavčič,5
kotnik,26
prelog,0
ranc,0
šergan,3
zorčič,0
dekleva,1
brglez,1
košnik,21
horvat,12
koleša,20
kramar,0
matić,23
murgel,2
rajić,26
shaker,23
dolinšek,0
škodnik,20
škopac,4
zajc,3
zorman,6
gantar,0
hainz,22
hršak,0
kotnik,26
levičar,0
battelli,0
breznik,3
brinovšek,9
grims,2
irgl,0
lep,874
logar,3
mahnič,15
podkrajšek,5
pojbič,4
šircelj,0
muršič,2
nemec,1
horvat,12
vrtovec,3
kovačič,2
hanžek,0
kordiš,42
škoberne,0
vilfan,5
veber,11
krajnc,3
janša,1
göncz,29
tanko,5
novak,41
han,0
sluga,9
tonin,0
jurša,0
gorenak,0
vervega,16
potočnik,5
kopmajer,0
žibert,11
godec,40
krivec,6
lisec,32
pogačnik,1
žnidar,0
dimic,1
tašner,3
bizjak,0
lipicer,0
möderndorfer,0
verbič,4
mesec,59
čuš,17
laj,0
ljubič,0
počkaj,0
bratušek,29
lah,0
dobovšek,2
bačič,13
klanjšček,1
radič,0
tabaković,0
