Beseda,Števec
biti,3851
in,2963
jesti,2404
da,2140
za,2016
v,2001
ta,1789
na,1514
se,1223
tudi,1139
ki,1049
ne,882
lep,874
pa,778
o,688
imeti,678
s,635
zakon,631
on,618
z,615
odbor,566
jaz,563
še,537
kot,537
beseda,512
ti,499
kdo,484
predlog,440
seja,422
tak,407
izobraževanje,398
ves,385
slovenija,371
člen,344
dr,321
znanost,315
izvolitehvala,313
ali,308
šport,305
do,298
univerza,287
let,283
dajati,282
državen,282
lahek,280
iz,269
ministrstvo,264
drug,263
že,260
po,253
vlada,251
sem,249
oda,248
žeti,245
kar,245
sam,244
razprava,242
gospoda,241
red,240
torej,234
če,222
gospa,220
poslanec,217
zato,215
kolega,213
k,208
pri,208
vprašanje,208
zdaj,207
sklep,199
ter,198
področje,197
skupina,197
predlagati,197
izvoliti,191
velik,189
nov,188
kateri,183
dneven,178
naš,177
sprejet,177
mladina,176
potem,173
prav,173
ker,172
poslanski,171
ministrica,170
država,168
en,166
sprememba,166
glasovanje,165
zbor,164
glede,162
predstavnik,162
hvala,160
šola,158
članov,157
program,157
želeti,156
točka,156
dan,154
sredstvo,153
evropski,152
amand,150
proti,150
ugotavljati,149
iti,148
ampak,148
prvi,148
del,148
republika,147
svoj,147
član,146
1,145
glasovati,139
kolegica,138
pooblašč,133
sicer,133
pred,130
ozir,129
slovenski,127
leto,127
javen,127
mnenje,125
članica,125
nekaj,125
sedaj,124
mora,124
čas,123
svet,123
dva,123
med,122
zelo,122
poslanka,122
misliti,121
danes,121
več,120
deloven,119
naj,118
ko,115
razpravljati,115
2015,114
šolstvo,112
otrok,111
zveza,111
zaradi,111
kaj,110
tisti,110
sklad,107
ukrep,106
sistem,105
morati,105
rok,105
obravnava,105
sklic,104
zaključevati,104
postopek,104
zavezništvo,103
nihče,103
moči,103
prejeti,102
pravica,101
ostal,100
spoštovan,99
predlagatelj,98
nujen,98
dati,96
proračun,96
vedeti,96
saj,94
ever,94
socialen,94
visok,93
predsednik,93
mogoč,92
ob,92
stran,92
naslednji,91
takšen,90
primer,90
seveda,89
tukaj,88
organizacija,88
služba,87
ja,87
strinjati,87
dober,86
konec,86
prositi,85
tisoč,85
nek,85
pomen,85
maga,84
–,84
gospod,84
povedati,83
zadeva,82
kak,82
predvsem,82
vaš,82
bolj,81
meniti,81
delo,80
si,80
dobiti,80
rešitev,80
2014,79
sprejeti,79
potreben,79
kandidatek,79
nadaljevanje,78
mlad,77
podpreti,76
pomemben,76
vabiti,75
2,74
podlaga,74
možnost,73
dejavnost,73
amandmaj,72
predstavitev,72
treba,71
sodelovanje,71
zakonodajnopraven,71
res,71
kakšen,71
najprej,70
unija,70
način,70
delovanje,69
obravnavati,69
emuna,69
ustrezen,68
določen,68
vsak,67
le,67
prisoten,66
finančen,66
financiranje,66
vendar,65
kultura,65
morala,65
pozdravljati,64
odgovor,64
kajti,63
videti,62
priti,62
noveti,62
projekt,62
ponoven,62
komisija,62
10,62
amandmajati,62
stališče,61
3,61
problematika,60
pričakovati,60
nekateri,60
začeti,60
osnoven,59
11,59
mesec,59
tu,58
pripravništvo,58
enkrat,58
priprava,58
takrat,58
cilj,58
politika,57
lepahvala,57
zahteva,57
dopolnitev,57
kjer,57
predstavnica,57
irena,57
delavec,57
odpirati,57
skupnost,56
skupaj,56
zagotoviti,56
banka,56
namreč,56
študent,56
trg,55
njihov,55
oglašanje,55
odlok,55
obveščati,55
poslovnik,55
sodelovati,55
občina,54
inštitut,54
prostor,53
profa,53
enak,53
zanimati,52
vedno,52
prehajati,52
razvoj,52
odstavek,51
podati,51
narediti,51
sds,51
pristojen,51
5,51
zavarovanje,50
zakaj,50
8,50
nit,50
okvir,49
podpirati,49
posebej,49
razumeti,48
govoriti,48
mednaroden,48
bit,48
pomoč,48
ureditev,48
reklo,47
naprej,47
hvalahvala,47
opozoriti,47
težava,46
hrvaški,46
dovoljenje,46
pričenjati,46
zakonodaja,46
tretji,46
15,46
rada,46
4,46
kljub,46
jelek,46
mesto,46
število,46
zaključiti,45
potrebovati,45
12,45
žal,45
zavod,45
…,45
odločiti,45
voda,45
prej,45
zgolj,44
upati,44
pozdraviti,44
analiza,44
današnji,44
predstaviti,44
a,44
poklicen,44
jasen,44
razlog,43
gradivo,43
praven,43
podpora,43
maribor,43
poseben,43
milijon,43
namen,43
institucija,43
pod,43
denar,43
delovati,43
čim,43
zunanji,42
vidik,42
problem,42
veljati,42
vložiti,42
kordeti,42
podjetje,42
pravi,42
breza,42
raziskovalen,42
njegov,42
posamezen,41
glas,41
pogoj,41
novak,41
telo,41
reden,41
romski,41
mih,41
trije,41
spraševati,41
zahvaljevati,40
mali,40
študentov,40
stranka,40
moj,40
različen,40
ljudmiti,40
dodaten,40
godec,40
zadnji,40
replik,39
evrosredozemski,39
mreža,39
kratek,39
vabljen,39
matičen,38
prihajati,38
ljubljana,38
pač,38
ustava,38
vsebina,38
raven,38
družba,38
9,38
strokoven,37
poslovniški,37
vzgoja,37
zaposlovanje,37
študij,37
izvajanje,37
minister,37
nadaljevati,36
sodišče,36
ura,36
nadomesten,36
določba,36
hkrati,36
omenjen,36
prepričan,36
reševanje,35
srednji,35
določati,35
zaposlen,35
zdeti,35
gospodarski,35
noben,35
pripraviti,35
poudariti,35
človekov,35
družina,35
vsaj,34
nič,34
vesel,34
oseben,34
poročilo,34
objavljen,34
poleg,34
človek,34
učbenik,34
izobraževalen,34
učen,34
reč,34
športnik,34
status,34
rebalans,33
novel,33
pripomba,33
obdobje,33
sploh,32
lisec,32
alenka,32
cel,32
potreba,32
13,32
dolg,32
okolje,32
predstavljati,32
6,32
odločitev,32
opravljati,31
njen,31
pokojninski,31
invalidski,31
obveznost,31
zaseben,31
finance,31
delodajalec,31
predložiti,31
pravzaprav,31
poznati,31
težek,30
nadomeščati,30
stanje,30
manj,30
informacija,30
večina,30
gorica,30
podatek,30
dejanski,30
vrsta,30
znanstven,30
plača,30
setnikar,30
postaviti,30
pristop,30
oba,30
prejšnji,30
nepovezan,30
povezan,29
doseči,29
trček,29
2013,29
göncz,29
prebrati,29
starš,29
sistemski,29
koalicija,29
skoraj,29
bratušek,29
200,29
razmerje,29
možen,29
potek,29
udeležiti,29
izpostaviti,29
kakovost,29
zakonski,28
spleten,28
leten,28
2012,28
cankar,28
volonterski,28
načrt,28
povabiti,28
želja,28
