Priimek,Števec
prikl,2
tomić,3
trček,10
ban,2
cink,1
ferluga,3
kavčič,0
kotnik,5
prelog,4
ranc,0
šergan,4
zorčič,30
dekleva,3
brglez,2
košnik,4
horvat,30
koleša,2
kramar,7
matić,13
murgel,18
rajić,2
shaker,14
dolinšek,3
škodnik,5
škopac,6
zajc,4
zorman,33
gantar,2
hainz,5
hršak,13
kotnik,5
levičar,3
battelli,0
breznik,92
brinovšek,2
grims,8
irgl,31
lep,332
logar,82
mahnič,17
podkrajšek,8
pojbič,0
šircelj,1
muršič,10
nemec,1
horvat,30
vrtovec,14
kovačič,13
hanžek,53
kordiš,5
škoberne,6
vilfan,4
veber,12
krajnc,10
janša,38
göncz,10
tanko,194
novak,4
han,57
sluga,5
tonin,35
jurša,45
gorenak,31
vervega,3
potočnik,1
kopmajer,1
žibert,91
godec,3
krivec,2
lisec,9
pogačnik,10
žnidar,4
dimic,2
tašner,0
bizjak,12
lipicer,68
möderndorfer,80
verbič,22
mesec,33
čuš,3
laj,7
ljubič,0
počkaj,0
bratušek,37
lah,3
dobovšek,15
bačič,10
klanjšček,7
radič,8
tabaković,6
