Beseda,Števec
biti,2303
ta,1495
da,1345
in,1282
jesti,1244
v,1191
na,939
za,862
se,821
pa,784
tudi,678
ne,469
ki,435
jaz,434
s,394
ves,334
ozir,328
še,288
tak,282
ali,264
kot,261
o,258
on,244
z,221
zakon,220
sam,214
če,214
po,209
že,200
imeti,192
ministrstvo,182
let,176
javen,173
kar,161
zdravstven,159
naš,156
glede,152
iz,141
lahek,141
zdaj,138
slovenija,132
nek,131
pravilnik,128
mora,127
pri,126
sem,125
področje,124
občina,121
iti,121
tu,118
stran,117
reklo,117
svoj,116
državen,116
tukaj,115
ampak,113
primer,111
do,110
misliti,109
nujen,109
reč,108
beseda,106
seja,102
vedeti,101
kak,99
pravi,98
ti,98
pomoč,98
zelo,97
danes,97
velik,96
država,96
prav,95
kateri,93
medicinski,92
ko,89
ministrica,88
sprememba,87
banka,86
kaj,86
lep,86
oda,85
hvala,85
drug,85
sistem,85
sredstvo,84
zanimati,83
proračun,83
odbor,82
seveda,82
milijon,80
dober,80
slovenski,79
predvsem,77
vprašanje,76
služba,75
zavod,74
nekak,72
stranka,72
lokalen,71
ever,70
mali,70
vlada,70
strokoven,68
nov,68
zdravstvo,66
skupnost,65
čas,65
kakšen,65
pač,64
naj,64
med,63
center,63
leto,62
mnenje,62
nadzor,62
morala,61
enkrat,61
premoženje,60
več,60
en,60
predlog,60
spoštovan,58
vaš,58
res,57
mogoč,56
ker,56
si,55
pozdrav,54
sicer,52
nekaj,52
podatek,52
priprava,52
člen,51
zdravje,51
odgovornost,51
finančen,50
zveza,50
predlagati,50
koalicija,49
del,49
organ,48
poročilo,48
evropski,47
priti,46
izvajalec,46
tisti,46
slab,46
rada,46
svet,46
zbor,46
potem,46
demokratski,45
pogodba,45
dva,45
postopek,44
pred,44
morati,44
naprej,44
tisoč,43
potreben,43
povedati,43
odgovor,42
moči,42
zdravnik,42
zadeva,42
dobiti,42
spraševati,42
ukrep,42
dogodek,42
strinjati,41
želeti,41
mreža,41
zaradi,41
pomemben,41
žal,41
ter,41
dan,41
projekt,41
teren,41
zato,41
kdo,41
urgenten,41
prej,40
finance,40
kjer,40
osnutek,40
prvi,39
torej,39
ukca,39
razprava,39
skupina,39
vedno,39
raven,39
verjeten,38
treba,38
načrt,38
način,37
poudariti,37
upati,37
saj,37
takrat,37
program,37
sedaj,37
predsednik,36
minister,36
denar,36
zakaj,36
ravnanje,36
kolega,36
–,36
njihov,36
dolina,35
podjetje,35
javnost,35
jasen,35
vsaj,35
pripomba,35
sodišče,35
sploh,34
bolj,34
no,34
ugotavljati,34
konec,34
le,34
trije,34
dejavnost,33
dati,33
ukcje,33
vrednost,33
ob,33
sprejet,33
lepahvala,33
poudarjati,33
letošnji,32
tule,32
opozarjati,32
podlaga,32
delo,31
nič,31
dejati,31
moj,31
državljan,31
naveden,31
