Priimek,Števec
prikl,23
tomić,115
trček,50
ban,8
cink,8
ferluga,136
kavčič,25
kotnik,14
prelog,7
ranc,37
šergan,58
zorčič,8
dekleva,15
brglez,36
košnik,2
horvat,54
koleša,9
kramar,21
matić,15
murgel,6
rajić,40
shaker,54
dolinšek,7
škodnik,28
škopac,10
zajc,53
zorman,16
gantar,28
hainz,25
hršak,1
kotnik,14
levičar,14
battelli,1
breznik,45
brinovšek,5
grims,48
irgl,1
lep,2510
logar,96
mahnič,28
podkrajšek,15
pojbič,2
šircelj,110
muršič,7
nemec,108
horvat,54
vrtovec,8
kovačič,2
hanžek,3
kordiš,30
škoberne,16
vilfan,28
veber,83
krajnc,9
janša,74
göncz,9
tanko,18
novak,15
han,27
sluga,15
tonin,15
jurša,19
gorenak,15
vervega,43
potočnik,74
kopmajer,19
žibert,5
godec,5
krivec,33
lisec,23
pogačnik,52
žnidar,38
dimic,13
tašner,41
bizjak,54
lipicer,2
möderndorfer,64
verbič,59
mesec,548
čuš,24
laj,30
ljubič,0
počkaj,0
bratušek,108
lah,77
dobovšek,11
bačič,6
klanjšček,15
radič,2
tabaković,4
