Priimek,Števec
prikl,0
tomić,0
trček,3
ban,0
cink,3
ferluga,12
kavčič,6
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,7
brglez,0
košnik,0
horvat,0
koleša,1
kramar,0
matić,0
murgel,0
rajić,1
shaker,2
dolinšek,6
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,24
brinovšek,1
grims,10
irgl,0
lep,26
logar,0
mahnič,21
podkrajšek,4
pojbič,10
šircelj,1
muršič,6
nemec,8
horvat,0
vrtovec,0
kovačič,0
hanžek,0
kordiš,27
škoberne,0
vilfan,0
veber,33
krajnc,0
janša,7
göncz,0
tanko,0
novak,0
han,14
sluga,0
tonin,23
jurša,12
gorenak,0
vervega,0
potočnik,4
kopmajer,4
žibert,6
godec,1
krivec,0
lisec,0
pogačnik,1
žnidar,4
dimic,0
tašner,0
bizjak,9
lipicer,0
möderndorfer,0
verbič,1
mesec,16
čuš,3
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,3
dobovšek,1
bačič,1
klanjšček,0
radič,0
tabaković,0
