Priimek,Števec
prikl,34
tomić,44
trček,42
ban,18
cink,5
ferluga,25
kavčič,9
kotnik,49
prelog,1
ranc,13
šergan,5
zorčič,34
dekleva,11
brglez,9
košnik,8
horvat,81
koleša,6
kramar,8
matić,17
murgel,20
rajić,6
shaker,3
dolinšek,12
škodnik,13
škopac,7
zajc,6
zorman,8
gantar,17
hainz,1
hršak,12
kotnik,49
levičar,12
battelli,4
breznik,43
brinovšek,21
grims,33
irgl,30
lep,2627
logar,41
mahnič,46
podkrajšek,33
pojbič,36
šircelj,33
muršič,30
nemec,29
horvat,81
vrtovec,43
kovačič,18
hanžek,30
kordiš,42
škoberne,23
vilfan,6
veber,50
krajnc,3
janša,6
göncz,13
tanko,72
novak,29
han,11
sluga,15
tonin,21
jurša,37
gorenak,61
vervega,12
potočnik,9
kopmajer,15
žibert,47
godec,38
krivec,17
lisec,34
pogačnik,32
žnidar,40
dimic,34
tašner,22
bizjak,19
lipicer,5
möderndorfer,32
verbič,20
mesec,58
čuš,45
laj,18
ljubič,0
počkaj,0
bratušek,47
lah,20
dobovšek,7
bačič,20
klanjšček,27
radič,6
tabaković,10
