Beseda,Števec
biti,3924
lep,2627
jesti,2135
ta,2007
in,1939
da,1689
gospoda,1526
v,1494
se,1465
za,1448
na,1225
imeti,1195
beseda,1118
gospa,966
pa,905
izvolitehvala,897
ne,811
skupina,775
poslanski,752
o,710
seveda,652
tudi,592
ki,583
jaz,571
stališče,560
predlog,552
maga,541
dr,524
razprava,516
zakon,513
s,490
naj,476
izvoliti,456
priprava,436
državen,419
predstaviti,370
zbor,366
tak,358
vprašanje,352
če,351
on,350
še,339
ampak,336
ker,335
kot,331
ministrica,325
ali,317
lahek,308
minister,308
dajati,300
z,289
sem,289
kar,286
misliti,277
vlada,274
ves,268
hvala,264
sam,253
potem,245
nek,240
ozir,238
tisti,237
stranka,233
točka,232
razpravljati,231
reč,230
iti,228
pri,227
po,224
seja,221
prositi,216
mora,213
člen,205
kdo,203
slovenski,200
predstavitev,197
red,194
do,190
žeti,189
danes,189
drug,185
obravnava,182
prehajati,181
dneven,178
slovenija,174
poslanec,174
odbor,172
franc,168
že,167
–,165
torej,164
zato,162
dopolnitev,160
dober,160
gospod,158
velik,155
zadeva,152
problem,150
socialen,146
ter,145
nekateri,141
zaključevati,139
vendar,139
vedeti,136
okvir,132
čas,132
nekaj,131
kaj,131
nov,130
en,129
postaviti,128
zelo,127
ko,127
amandmaj,125
anje,125
svoj,124
glasovanje,124
del,124
predlagatelj,123
predsednik,123
reklo,122
amand,119
oda,116
način,115
demokratski,114
kateri,113
sklep,112
odgovoriti,112
ti,112
poslanka,112
iz,110
naš,110
zahteva,109
marija,108
k,107
odločati,106
področje,105
dušan,105
predstavnik,105
odgovor,104
več,101
človek,100
sprememba,99
let,98
treba,97
prvi,97
glede,96
desus,95
jan,95
združen,94
dobiti,94
narediti,94
irena,93
deloven,93
kakšen,93
vaš,93
namreč,92
lepahvala,91
sklad,91
andreja,91
ministrstvo,91
replik,90
javen,89
končati,87
delo,86
izobraževanje,86
morati,85
popolnoma,84
zdaj,84
zastaviti,83
vložen,82
horvati,81
jožef,79
kak,79
država,79
dati,78
alenka,77
ba,77
prekinjati,77
ura,76
jasen,74
matjaž,73
telo,72
tanek,72
obravnavati,72
tukaj,72
povedati,72
šola,72
priti,71
marka,71
prostor,70
sicer,69
morala,69
leto,69
moči,68
prijava,68
obrazložitev,68
demokratovhvala,68
stvar,67
mogoč,67
možnost,66
vsak,66
primer,65
bit,65
časoven,65
vinka,64
ob,64
zveza,64
kolar,64
dva,64
upokojenec,64
demokratičen,64
videti,63
poslovnik,63
levica,63
…,63
peter,63
finance,62
res,62
kolega,62
jutro,62
kolegica,61
govoriti,61
janka,61
bolj,61
gorenek,61
pomemben,61
pač,61
splošen,60
predložiti,60
sodišče,60
pravi,59
matičen,59
konec,59
sedaj,59
sistem,59
vrsta,58
sled,58
mramor,58
zaradi,58
mesec,58
tam,58
mih,58
smisel,58
vedno,58
komisija,57
pred,57
enak,57
majcen,57
violet,57
krščanski,57
postopek,56
nekak,56
reči,56
potek,56
vzgoja,55
demokratov,55
moj,55
žati,55
spoštovan,55
mateja,55
uroš,55
dejstvo,54
si,54
mali,54
zahtevati,54
podlaga,54
dan,54
glasovati,54
suzan,53
tu,53
marjati,53
tomaž,53
priporočiti,53
ustaven,51
kopača,51
predsednica,50
veber,50
poročiti,50
jelek,50
okolje,50
želja,49
sekretar,49
joža,49
opraviti,49
tikati,49
kotnik,49
pravzaprav,48
družina,48
delati,48
šport,48
prav,48
cel,48
predstavnica,48
predlagati,48
luk,48
preprost,48
prijaviti,48
bratušek,47
družba,47
branka,47
otrok,47
žibert,47
postopkoven,47
proceduralen,47
dopolnilen,46
evropski,46
želeti,46
podpredsednica,46
proti,46
pravica,46
mahnič,46
začeti,46
med,45
nihče,45
čuš,45
noben,45
star,45
tomić,44
oglašanje,44
znanost,44
izjemen,44
bojen,44
