Priimek,Števec
prikl,0
tomić,0
trček,7
ban,0
cink,0
ferluga,0
kavčič,1
kotnik,3
prelog,0
ranc,0
šergan,1
zorčič,0
dekleva,0
brglez,0
košnik,4
horvat,4
koleša,3
kramar,0
matić,4
murgel,0
rajić,3
shaker,5
dolinšek,0
škodnik,3
škopac,0
zajc,0
zorman,0
gantar,0
hainz,3
hršak,0
kotnik,3
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,1
irgl,0
lep,67
logar,2
mahnič,2
podkrajšek,0
pojbič,0
šircelj,2
muršič,0
nemec,0
horvat,4
vrtovec,0
kovačič,0
hanžek,0
kordiš,4
škoberne,0
vilfan,0
veber,1
krajnc,1
janša,0
göncz,1
tanko,1
novak,6
han,0
sluga,0
tonin,0
jurša,3
gorenak,0
vervega,1
potočnik,1
kopmajer,0
žibert,1
godec,3
krivec,2
lisec,2
pogačnik,0
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,1
verbič,0
mesec,10
čuš,2
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,0
dobovšek,0
bačič,1
klanjšček,0
radič,0
tabaković,0
