Beseda,Števec
biti,698
in,466
da,426
ta,393
jesti,356
za,263
na,248
se,232
v,226
pa,191
tudi,174
ne,167
ki,145
imeti,141
jaz,139
on,101
kot,93
s,86
univerza,79
če,79
tak,78
seja,77
še,75
sam,73
odbor,71
ali,70
lep,67
že,65
lahek,61
drug,61
potem,61
zdaj,60
ves,59
sodnik,57
z,55
kar,53
sem,52
dr,49
gospoda,49
o,48
en,48
tisti,45
ti,44
po,44
sodnikov,43
soden,42
ampak,42
zakon,41
komisija,41
svet,41
seveda,40
velik,40
do,39
iti,39
poslanec,39
oda,39
beseda,39
pravi,38
ker,38
slovenija,37
glede,37
misliti,36
iz,35
zadeva,35
pri,34
takšen,33
znanost,32
izobraževanje,32
naš,32
prvi,31
predlog,31
videti,30
vedeti,30
predlagati,30
sicer,29
slovenski,29
kdo,29
predstavnik,29
moči,28
šport,28
kaj,28
ko,28
sodišče,28
del,27
dva,27
število,27
problem,27
priti,26
predsednik,26
let,26
nek,25
postopek,25
evropski,25
dajati,25
državen,25
dober,24
vlada,24
pooblašč,23
vprašanje,23
izvolitehvala,23
služba,23
emuna,23
zelo,22
kajti,22
čas,22
kriterij,22
zakaj,22
kakšen,22
kak,22
država,22
stopnja,21
kateri,21
zato,21
hvala,21
sedaj,21
sodniški,21
točka,21
sodba,20
nadaljevanje,20
dobiti,20
vedno,20
program,20
mora,20
morati,20
res,20
kolega,20
ministrstvo,20
tukaj,19
mladina,19
narediti,19
član,18
kandidat,18
gospod,18
minister,18
razprava,18
želeti,17
kolik,17
ter,17
funkcija,17
delo,16
stran,16
delati,16
torej,16
nekaj,16
nujen,16
enkrat,16
poslanski,16
dan,16
red,16
dneven,15
inštitut,15
strokoven,15
bolj,15
nov,15
hvalahvala,15
prejšnji,15
podatek,15
mogoč,15
noben,15
tolik,15
sodelovati,15
sklep,14
svoj,14
zunanji,14
skupina,14
kjer,14
nekak,14
prav,14
cel,14
reklo,14
danes,14
poslanka,14
naj,14
sklic,14
začeti,14
potrebovati,14
glasovati,14
ever,13
prejeti,13
evrosredozemski,13
člen,13
izvoliti,13
pogoj,13
delovati,13
ostal,13
soditi,13
projekt,13
povedati,13
tam,13
med,12
delovanje,12
več,12
načelo,12
razlog,12
pomemben,12
republika,12
pač,12
profa,12
proti,12
leto,12
mesto,12
ob,12
mednaroden,12
reči,12
nizek,12
bit,12
zbor,12
ugled,12
maga,12
organizacija,12
raven,12
tisoč,11
večkrat,11
prihajati,11
članica,11
dejavnost,11
prej,11
1,11
stališče,11
stvar,11
zaradi,11
izpostaviti,11
ključen,11
zveza,11
mnenje,11
visok,11
nekdo,10
naprej,10
predlagatelj,10
politika,10
opravljati,10
okvir,10
gospa,10
kolegica,10
vsak,10
preprečevanje,10
korupcija,10
pred,10
zahteva,10
ugotavljati,10
najprej,10
prositi,10
sprememba,10
unija,10
potreben,10
napredovanje,10
parlament,10
mesec,10
podlaga,10
ja,10
sistem,10
pokazati,10
2015,10
pričakovati,10
meriti,10
človek,10
sploh,9
pomen,9
podpora,9
sodelovanje,9
ustrezen,9
postopnost,9
prostor,9
odločanje,9
veja,9
enak,9
institucija,9
mreža,9
sklad,9
si,9
odločati,9
povečanje,9
pravica,9
tu,9
razpis,9
nadaljevati,9
funkcionar,9
elzoheiry,9
romski,9
sds,9
naslednji,9
določen,9
sprejeti,9
–,9
razporejen,9
vaš,9
nadzor,9
oceniti,8
strinjati,8
treba,8
znanstven,8
ponoven,8
začetek,8
jožef,8
upati,8
morala,8
saj,8
družba,8
moj,8
članov,8
jasen,8
sojenje,8
pozdravljati,8
obravnavati,8
študent,8
žeti,8
situacija,8
ozir,8
opozorilo,8
sredstvo,8
odgovornost,8
vabiti,8
gradivo,8
oblast,8
okrajen,8
njegov,8
trije,8
pristojnost,8
skupnost,7
čist,7
koalicija,7
mena,7
potreba,7
nič,7
govoriti,7
izvajanje,7
rok,7
minuta,7
dati,7
irena,7
kratek,7
oni,7
izsledek,7
zgodovina,7
oprava,7
izbran,7
imenovati,7
upoštevati,7
zgoditi,7
hkrati,7
breza,7
drugačen,7
vendar,7
karieren,7
sprejet,7
smiseln,7
direktor,7
resničen,7
kandidatov,7
zadnji,7
obveščati,7
takrat,7
trček,7
študentov,7
ljubljana,7
ugotoviti,6
povabiti,6
človekov,6
obravnava,6
študija,6
podpreti,6
omeniti,6
nihče,6
imenovanje,6
bistven,6
sredozemlje,6
sd,6
način,6
11,6
10,6
15,6
praksa,6
200,6
