Priimek,Števec
prikl,1
tomić,0
trček,0
ban,0
cink,1
ferluga,3
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,0
brglez,0
košnik,0
horvat,7
koleša,0
kramar,0
matić,2
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,3
battelli,1
breznik,0
brinovšek,1
grims,0
irgl,0
lep,133
logar,0
mahnič,0
podkrajšek,0
pojbič,5
šircelj,0
muršič,0
nemec,0
horvat,7
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,0
göncz,35
tanko,0
novak,0
han,0
sluga,0
tonin,0
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,9
lisec,0
pogačnik,0
žnidar,0
dimic,0
tašner,1
bizjak,0
lipicer,5
möderndorfer,3
verbič,0
mesec,15
čuš,1
laj,21
ljubič,0
počkaj,0
bratušek,0
lah,0
dobovšek,0
bačič,3
klanjšček,0
radič,0
tabaković,0
