Beseda,Števec
biti,1146
ta,1123
jesti,776
da,696
in,671
v,559
se,550
na,402
ne,377
za,374
ki,355
tudi,323
tak,198
pa,194
skupnost,183
jaz,181
imeti,174
naroden,167
ker,162
gospoda,158
o,155
s,152
on,142
ampak,138
lep,133
še,131
kar,129
če,129
ves,124
točka,124
kot,117
z,116
lahek,106
kdo,106
potem,99
vedeti,97
komisija,94
sklep,89
beseda,86
ali,85
do,85
zadeva,84
predlog,82
že,82
jezik,81
nek,79
torej,79
vlada,75
drug,73
sam,72
iz,68
področje,68
–,68
kak,67
oda,66
slovenija,65
tisti,65
pri,65
italijanski,62
iti,62
državen,61
ministrstvo,60
en,58
določen,57
zdaj,57
sem,55
predlagati,53
zakon,52
sredstvo,51
nekaj,50
seja,49
zelo,49
tukaj,49
red,49
k,48
seveda,47
hvala,47
človek,47
razprava,46
primer,45
naprej,44
kultura,44
ugotavljati,44
zaradi,44
po,44
država,44
stvar,43
kaj,43
reklo,43
ozir,43
gospa,42
dneven,42
banka,42
sedaj,42
ime,41
javen,41
del,41
povedati,41
nič,40
žeti,40
treba,39
let,39
vprašanje,38
glede,38
naj,38
zato,38
dr,38
način,37
pač,37
kateri,37
dober,37
1,36
izvolitehvala,36
morati,36
izvajati,36
evropski,35
svoj,35
priti,35
ti,35
göncz,35
dejanski,33
2,33
leto,33
kulturen,33
madžarski,33
mora,32
ko,32
res,32
pravi,31
želeti,31
člen,31
tu,31
naš,31
narediti,31
problem,31
3,30
denar,30
potreben,29
dogajati,29
član,28
republika,28
izvoliti,28
kjer,28
območje,28
kakšen,28
sprejet,28
obstajati,27
govoriti,27
predsednik,27
nadaljevanje,27
nihče,27
dvojezičen,27
zveza,27
glasovati,27
pravica,26
proračun,26
načrt,26
uprava,25
več,25
noben,25
samoupraven,25
uredba,24
strinjati,24
bolj,24
izobraževanje,24
dajati,24
politika,23
dejstvo,23
izvajanje,23
si,23
avtohton,23
velik,23
vabiti,23
sicer,22
ja,22
naslednji,22
ostal,22
glasovanje,22
prav,22
tam,22
dan,22
prehajati,22
spremeniti,21
moči,21
upraven,21
morala,21
lati,21
vendarle,21
videti,20
zgolj,20
meniti,20
stanje,20
odbor,20
čas,20
konec,20
bit,20
deloven,20
2014,20
organ,20
slovenski,20
stran,19
odstavek,19
prvi,19
pomemben,19
unija,19
težava,19
verjeten,19
