Beseda,Števec
biti,603
da,422
jesti,422
ta,417
in,325
v,307
na,284
se,273
ki,224
tudi,205
za,194
nek,186
pa,134
ne,119
sam,111
kot,109
jaz,105
tak,103
seveda,100
on,86
z,79
o,78
zakon,75
s,71
lahek,69
svoj,63
kar,63
do,62
predlog,61
ozir,61
imeti,59
že,59
če,58
pravzaprav,55
način,55
skupina,53
stran,48
poslanski,46
glede,46
ker,46
ali,44
tisti,43
zelo,41
kultura,41
ves,41
iz,40
še,40
govor,40
zato,40
ampak,40
smisel,40
kak,39
ko,39
beseda,38
misliti,37
ministrstvo,37
danes,36
razumeti,36
šola,35
zdeti,35
po,34
drug,34
javen,33
oseben,33
sem,33
si,33
torej,32
sovražen,32
vseeno,31
velik,31
treba,31
pomen,30
del,30
plača,30
želeti,29
slovenija,29
dober,29
minimalen,28
političen,28
pravica,28
socialen,28
kateri,28
pri,27
razprava,27
sredstvo,26
država,26
govoriti,25
namreč,25
spoštovan,25
zagotovo,25
evropski,24
praksa,24
dejstvo,23
kakšen,23
zaseben,23
določen,23
moj,22
različen,22
problematika,22
predvsem,22
tikati,22
let,22
dejanski,21
bolj,21
takšen,21
zaradi,21
vedno,21
smca,21
naj,21
problem,21
javnost,20
program,20
svet,20
področje,20
nekateri,20
delo,19
podpreti,19
enostaven,19
deloven,19
potreben,19
državen,19
reč,19
več,18
mesto,18
resnica,18
vprašanje,18
delodajalec,18
sds,18
dolg,18
koncesija,18
en,17
pomemben,17
mora,17
posameznik,17
sodišče,17
sistem,17
poudariti,16
kolegica,16
priti,16
kjer,16
kulturen,16
bit,16
podatek,16
žal,16
hvala,16
kolega,16
raven,16
človekov,15
jezik,15
slab,15
nekak,15
zakaj,15
ter,15
verjeten,15
prav,15
zbor,15
potem,15
poročilo,15
med,14
k,14
primer,14
morati,14
čas,14
vedeti,14
primeren,14
mlad,14
oda,14
proračun,14
slovenski,14
njihov,14
tisoč,13
financirati,13
mali,13
resolucija,13
znotraj,13
popolnoma,13
leto,13
iti,13
razumevanje,13
ukrep,13
pismenost,13
človek,13
trenutek,13
sploh,12
moči,12
dodatek,12
unija,12
pripravništvo,12
preteklost,12
varuhinja,12
širok,12
postavka,12
vojen,12
zakonodaja,12
grobišče,12
stvar,11
prostor,11
združen,11
odločiti,11
republika,11
varstvo,11
medij,11
rešitev,11
hvalahvala,11
jasen,11
pogledati,11
otrok,11
konec,11
reklo,11
obravnava,11
naš,11
poslanec,11
levica,11
trg,11
–,11
položaj,10
pravi,10
zakonski,10
verjeti,10
prvi,10
dodaten,10
ob,10
vlada,10
takrat,10
sindikat,10
kvaliteten,10
pogovarjati,10
noben,10
poslušati,10
opozicija,10
res,10
liberalen,10
tolik,10
sedaj,10
tema,10
volonterski,10
enkrat,10
vrsta,9
splošen,9
večkrat,9
komisija,9
morala,9
pred,9
nacionalen,9
zadeva,9
amand,9
ostal,9
vsekakor,9
mogoč,9
podlaga,9
kaj,9
milijon,9
tukaj,9
finančen,9
analiza,9
pomoč,9
lep,9
ustaven,9
interes,9
organizacija,9
omogočati,9
družben,8
strinjati,8
seja,8
vizija,8
mena,8
gledati,8
dikcija,8
strošek,8
skupaj,8
saj,8
stranka,8
denar,8
enak,8
reševanje,8
obravnavati,8
duh,8
načelo,8
delavec,8
cilj,8
predlagati,8
mnenje,8
okolje,8
vsebina,8
kakorkoli,8
premalo,8
predlagatelj,7
telo,7
možnost,7
prosperiteta,7
sistemski,7
ureditev,7
rad,7
namenjen,7
vsaj,7
vsak,7
vajeništvo,7
vajenec,7
kritičen,7
prihajati,7
oba,7
bistven,7
vrtec,7
stališče,7
nov,7
prebrati,7
policija,7
člen,7
izobraževalen,7
pot,7
pretekel,7
spoštovati,7
spreminjati,7
ministrica,7
pozdravljati,7
temelj,7
šele,7
dejati,7
slišati,7
dan,7
mandati,7
visok,7
njegov,7
izvajati,7
čim,7
opredeliti,7
videti,6
odziv,6
politika,6
ime,6
varnosten,6
zgoditi,6
posameznikov,6
sodelovanje,6
dotik,6
storitev,6
referendum,6
kontekst,6
strokoven,6
narod,6
bralen,6
zagotavljanje,6
nepravičen,6
sklad,6
institut,6
družba,6
svoboda,6
soočati,6
odločba,6
pogoj,6
reči,6
perspektiva,6
rezultat,6
amandmaj,6
odpis,6
obveznost,6
skozi,6
prikrit,6
100odstoten,6
povedati,6
sprememba,6
arhiv,6
dva,6
osnoven,6
namen,6
pogled,6
odgovor,6
2013,6
dodati,6
znati,6
bistvo,6
današnji,6
kdo,6
mera,6
predstavnik,6
razpravljati,6
naprej,5
plačilo,5
pozornost,5
celosten,5
naslov,5
fih,5
želja,5
sprejet,5
varnost,5
težek,5
predsednik,5
nit,5
potreba,5
komentiranje,5
podpirati,5
razmerje,5
gospoda,5
prebežnik,5
kariera,5
povezan,5
dati,5
moški,5
šibek,5
dopolnitev,5
hvalaspoštovan,5
slediti,5
pač,5
manj,5
vesel,5
proti,5
nekaj,5
življenje,5
