Priimek,Števec
prikl,40
tomić,33
trček,64
ban,8
cink,9
ferluga,26
kavčič,21
kotnik,79
prelog,8
ranc,14
šergan,13
zorčič,43
dekleva,13
brglez,16
košnik,12
horvat,99
koleša,21
kramar,54
matić,23
murgel,34
rajić,11
shaker,15
dolinšek,13
škodnik,15
škopac,21
zajc,15
zorman,17
gantar,21
hainz,45
hršak,5
kotnik,79
levičar,9
battelli,2
breznik,73
brinovšek,17
grims,64
irgl,66
lep,2487
logar,50
mahnič,64
podkrajšek,27
pojbič,36
šircelj,59
muršič,24
nemec,43
horvat,99
vrtovec,66
kovačič,9
hanžek,18
kordiš,46
škoberne,12
vilfan,12
veber,64
krajnc,4
janša,49
göncz,21
tanko,103
novak,30
han,21
sluga,29
tonin,55
jurša,31
gorenak,151
vervega,10
potočnik,21
kopmajer,18
žibert,131
godec,41
krivec,27
lisec,52
pogačnik,38
žnidar,61
dimic,76
tašner,38
bizjak,26
lipicer,4
möderndorfer,74
verbič,37
mesec,385
čuš,30
laj,6
ljubič,0
počkaj,0
bratušek,58
lah,47
dobovšek,21
bačič,14
klanjšček,6
radič,8
tabaković,9
