Beseda,Števec
biti,42514
jesti,28880
ta,28645
da,25527
in,25273
v,23448
se,16575
na,14629
za,13789
tudi,12874
ki,11930
pa,10852
ne,8560
imeti,7468
jaz,6524
on,6380
o,5464
s,5348
tak,5167
kot,5155
ves,4775
z,4662
še,4148
lahek,4004
ali,3900
če,3892
slovenija,3595
zakon,3592
kar,3572
ker,3440
do,3175
sam,3123
pri,3032
beseda,2876
državen,2826
država,2744
drug,2723
potem,2686
let,2668
ko,2638
po,2621
nek,2618
že,2594
tisti,2551
velik,2526
lep,2487
ampak,2472
oda,2458
iz,2271
iti,2212
predlog,2208
gospoda,2207
zelo,2207
slovenski,2105
zato,2100
sem,2027
svoj,1966
en,1960
naš,1950
skupina,1919
socialen,1914
seveda,1898
ministrstvo,1888
kateri,1797
razprava,1794
vlada,1786
del,1782
ozir,1675
način,1651
evropski,1641
povedati,1622
ukrep,1617
pomemben,1612
več,1610
vprašanje,1605
mora,1593
javen,1592
gospa,1588
dober,1586
misliti,1577
zbor,1533
tukaj,1530
poslanski,1521
kdo,1518
področje,1506
danes,1466
nov,1434
kaj,1421
torej,1419
želeti,1418
zaradi,1393
sistem,1360
človek,1360
naj,1352
nekaj,1343
priti,1330
treba,1324
banka,1312
potreben,1273
bistvo,1264
k,1261
morati,1248
glede,1243
ti,1239
vedeti,1235
govoriti,1211
kak,1198
predvsem,1190
čas,1189
sredstvo,1185
stran,1183
mogoč,1180
sedaj,1163
milijon,1155
si,1135
ter,1119
odbor,1112
minister,1107
seja,1103
ever,1098
leto,1088
postopek,1081
žeti,1076
–,1011
nekateri,1008
sicer,994
kakšen,989
kjer,987
predlagati,986
hvala,985
zdaj,980
člen,970
točka,963
narediti,962
ob,962
takšen,953
izvolitehvala,953
predsednik,953
program,950
prvi,933
pravica,929
naprej,928
razvoj,914
med,912
prav,908
pred,907
poslanec,900
podjetje,894
primer,880
gospodarski,871
vojska,864
dan,855
kmetijski,854
moj,853
zadeva,847
dr,845
reklo,828
spoštovan,828
raven,825
res,824
pravi,820
možnost,818
bit,813
dejanski,807
dobiti,802
bolj,802
sprememba,801
republika,799
sprejet,791
demokrat,790
reči,781
politika,780
pač,778
gospodarstvo,771
pravzaprav,770
proračun,769
jasen,765
mnenje,755
vendar,752
dva,742
delo,741
dajati,740
stališče,733
denar,729
maga,727
komisija,724
sklep,721
priprava,716
obdobje,713
pomen,706
takrat,706
ostal,704
naslednji,702
deloven,701
predlagatelj,695
kmetija,693
red,693
dati,691
podatek,687
sklad,682
finančen,682
trenutek,677
podlaga,665
razpravljati,658
problem,645
vedno,645
tikati,643
delovanje,640
namreč,640
rešitev,636
stvar,635
videti,634
slab,632
izvajati,631
odgovor,631
vsak,628
reč,621
sprejeti,619
svet,617
unija,615
družba,615
moči,612
nadaljevanje,612
predstavnik,612
obravnava,609
izjemen,605
tu,599
podpreti,598
ministrica,595
tam,593
določen,593
sodišče,590
tisoč,586
glasovanje,585
dodaten,582
2015,581
služba,577
visok,575
obramba,569
saj,568
dejstvo,567
odločitev,565
dneven,560
mesto,560
poslanka,559
bistven,557
političen,556
prehajati,556
morala,554
kmetijstvo,549
stranka,548
zadnji,545
skupaj,544
znotraj,544
okvir,543
zakaj,543
pomoč,542
kolega,539
praven,533
kriza,531
verjeti,530
cel,528
proti,526
le,524
pogovarjati,524
občina,522
mali,512
breza,511
težava,510
ugotavljati,507
glasovati,505
gospod,505
plačilo,503
posamezen,500
vsaj,500
odločiti,497
demokratov,488
verjeten,487
začeti,487
rast,486
preko,486
konec,485
trg,484
vendarle,484
razumeti,481
zagotovo,479
njihov,477
pričakovati,475
prej,475
ustrezen,474
amandmaj,471
reševanje,470
upati,464
mlad,461
težek,453
pogledati,453
enkrat,451
različen,449
enak,449
projekt,448
vaš,446
dejavnost,445
zveza,443
cilj,443
pogoj,442
pravosodje,441
strinjati,441
izobraževanje,441
proizvodnja,438
interes,435
dolg,433
podoben,431
podpora,430
delati,429
zahteva,429
zaščita,428
ponoven,427
kolikor,423
2014,422
amand,422
sektor,421
nihče,418
1,417
varnost,415
pod,415
izvajanje,414
ključen,411
čim,411
uprava,408
član,406
nujen,405
skupnost,400
enostaven,399
gozd,399
hvalahvala,399
sodelovanje,397
kolegica,394
poročilo,394
2,392
hrana,392
prositi,391
lokalen,389
okolje,389
večina,388
poskušati,387
mesec,385
posebej,384
organizacija,381
manj,380
nekak,375
noben,375
trije,375
razlog,374
namen,374
mera,373
zagotoviti,371
ime,370
otrok,366
ugotoviti,365
zaključevati,365
prodaja,365
majhen,364
sodelovati,364
zakonodaja,363
odgovornost,362
eden,362
kratek,361
mednaroden,360
delovati,360
skupen,358
kajti,358
poseben,358
stanje,357
kljub,353
prostor,352
finance,351
premoženje,350
nadaljevati,349
hiter,348
predstaviti,347
dovoliti,347
podeželje,347
šola,346
številka,344
vrsta,344
tolik,344
praksa,343
nič,343
plača,343
evropa,343
ocena,342
vrednost,341
najbolj,341
zgoditi,341
lepahvala,340
posledica,339
potrebovati,339
policija,339
opravljati,338
prihajati,338
načrt,338
potreba,338
strošek,337
podpirati,337
kakor,336
omogočati,336
opozoriti,335
meniti,335
zaposlen,333
območje,332
dopolnitev,330
zavedati,330
dovolj,330
neposreden,330
naloga,328
dokument,328
učinkovit,327
strokoven,326
izvoliti,326
glas,324
gledati,324
investicija,323
cena,323
rad,322
milijarda,320
aktivnost,320
sploh,318
zdeti,318
članica,317
davčen,316
uspešen,315
upravljanje,314
veljati,314
pot,314
zagotavljati,313
oseba,312
možen,311
dogajati,311
najprej,310
nadzor,305
obravnavati,305
članov,304
širok,303
položaj,301
organ,301
10,300
okoljski,300
število,300
odločati,299
hektar,299
proces,299
človekov,298
razmera,297
skozi,296
žal,295
predstavitev,295
zaseben,294
pomagati,294
6,293
informacija,292
učinek,291
omogočiti,291
pristojen,291
vloga,289
smeti,286
spremeniti,286
celoten,285
obramben,285
mena,284
znanje,284
3,284
zavod,284
5,282
prisoten,282
kazati,280
opozarjati,279
pripraviti,279
pripravljen,277
govor,277
osnoven,277
konkreten,276
njen,275
dogovor,275
doseči,275
situacija,275
nit,275
primeren,275
reševati,275
zlasti,274
varnosten,273
obrazložitev,273
povečati,272
predstavljati,272
center,270
kje,269
upoštevati,269
povsem,268
pripadnik,267
odnos,267
poznati,267
ustaven,266
2013,266
pravilo,266
družina,266
kredit,266
današnji,265
telo,265
potekati,264
politik,264
hkrati,262
meja,260
rok,260
postaviti,259
resničen,258
združen,258
stopnja,258
izpostaviti,258
omeniti,257
nekje,256
poslovnik,256
podati,255
amandmajati,255
smer,254
bančen,253
obveznost,253
funkcija,253
tretji,253
poudariti,253
drugače,253
soden,252
njegov,252
proračunski,251
uporaba,251
nad,250
javnost,249
račun,249
najti,248
pozdrav,248
življenje,248
dosti,248
naraven,246
prihodnost,245
nadaljnji,244
oba,244
star,244
začetek,244
nekdo,243
e,240
nastal,240
financiranje,240
zmanjšati,240
financirati,239
oblika,239
9,239
razpolaga,238
predsednica,237
obrazložiti,236
pogodba,236
ura,236
4,236
znati,236
vložen,235
turizem,235
kmet,234
zdravstven,234
razvojen,234
ustava,234
domač,233
agencija,231
splošen,231
namenjen,230
zanimati,229
gradivo,229
zgolj,228
pobuda,228
ocenjevati,228
tovrsten,227
generalen,226
isti,226
storitev,226
zemljišče,225
zahtevati,225
korak,225
postati,224
oseben,224
lastnik,223
matičen,223
terjatev,223
čeprav,223
obseg,222
infrastruktura,222
ureditev,222
drugačen,221
dodati,221
opraviti,221
iskati,221
milijard,221
vidik,220
20,220
nacionalen,219
nesreča,219
sds,219
prejšnji,219
resen,218
nizek,218
12,218
hoteti,218
anje,218
2016,217
lipica,217
čist,217
nalog,217
trenuten,216
vprašati,215
kolik,215
nerazumljiv,215
voda,215
notranji,215
replik,214
pristojnost,214
razpis,213
celota,213
očiten,213
problematika,212
ba,212
standard,212
parlament,212
omenjen,212
rešiti,212
spreminjati,211
povezan,210
minimalen,210
gozdarstvo,209
a,209
približen,209
vsebina,209
odgovoriti,209
naveden,209
vložiti,208
priporočiti,207
opozorilo,207
zanjo,206
skoraj,204
varstvo,204
delavec,204
potek,204
stanovanje,203
koalicija,203
odstavek,202
imenovan,202
vir,202
morda,202
razlika,202
obstajati,201
sekretarka,200
tožilstvo,200
ja,200
direktor,200
čez,200
prihodnji,199
slediti,199
odgovoren,199
tujina,199
praviti,199
spraševati,199
razmišljati,198
strateški,198
ekonomski,198
davek,197
zagotavljanje,197
tuj,197
okoli,196
zunanji,195
sd,195
noveti,195
osnova,195
poleg,194
predsedujoč,194
slišati,194
mnog,194
sekretar,194
nazaj,194
prehrana,193
100,193
dogovoriti,192
vključen,192
fiskalen,192
strategija,191
realen,191
posloven,190
zahteven,190
izkušnja,189
volja,188
pozdravljati,187
30,187
pol,187
preteklost,185
pet,185
leten,184
vojen,184
pokazati,184
spremljati,183
7,183
izreden,183
resolucija,182
rebalans,182
edin,182
nazadnje,181
tveganje,181
vinka,181
sprejemati,181
civilen,181
šolstvo,180
15,180
moč,180
rezultat,180
predstavnica,179
dopolnilen,179
končen,178
vpliv,178
institucija,178
proizvod,177
levica,177
ukvarjati,176
uredba,175
akt,174
urediti,174
poročiti,172
močen,172
hud,172
ekološki,172
pozitiven,171
priložnost,171
prispevek,170
pogled,169
včasih,169
oni,168
uspel,168
dejanje,168
hip,168
določati,167
investicijski,167
takoj,167
aktiven,167
zbornica,166
teren,166
zakonodajnopraven,166
preveč,166
temeljen,165
spomniti,165
uporabljati,165
zakonski,164
državljan,164
želja,164
morebiten,164
višina,164
nanašati,164
lasten,163
jan,163
industrija,163
tehnologija,163
letošnji,163
franc,163
govorilo,163
relativen,162
državljanka,161
dohodek,161
kultura,161
smiseln,161
nekolik,160
roka,160
telek,160
energija,159
kdaj,159
obstoječ,159
zmanjševati,159
znesek,157
kapital,157
pridobiti,157
precej,157
vrhoven,156
spremenjen,156
končati,156
zgodba,156
kobilaren,156
poslušati,156
