Priimek,Števec
prikl,67
tomić,25
trček,168
ban,45
cink,3
ferluga,25
kavčič,10
kotnik,18
prelog,3
ranc,7
šergan,12
zorčič,56
dekleva,17
brglez,55
košnik,2
horvat,233
koleša,17
kramar,13
matić,84
murgel,65
rajić,8
shaker,10
dolinšek,46
škodnik,10
škopac,4
zajc,15
zorman,45
gantar,35
hainz,33
hršak,8
kotnik,18
levičar,53
battelli,10
breznik,97
brinovšek,3
grims,38
irgl,50
lep,4674
logar,58
mahnič,22
podkrajšek,4
pojbič,27
šircelj,77
muršič,29
nemec,227
horvat,233
vrtovec,74
kovačič,27
hanžek,66
kordiš,46
škoberne,47
vilfan,24
veber,171
krajnc,6
janša,1146
göncz,11
tanko,89
novak,36
han,102
sluga,32
tonin,78
jurša,85
gorenak,127
vervega,6
potočnik,16
kopmajer,13
žibert,20
godec,12
krivec,92
lisec,20
pogačnik,152
žnidar,30
dimic,15
tašner,5
bizjak,19
lipicer,71
möderndorfer,290
verbič,90
mesec,2135
čuš,43
laj,17
ljubič,0
počkaj,0
bratušek,580
lah,44
dobovšek,118
bačič,8
klanjšček,9
radič,14
tabaković,4
