Beseda,Števec
biti,180695
ta,129733
jesti,105528
da,99089
in,92683
v,73774
se,57395
na,53103
pa,48535
za,47227
ne,45041
ki,42739
tudi,36533
jaz,33113
on,26051
imeti,24355
tak,21442
o,20705
ali,20521
ves,19113
s,17674
če,17562
kot,17141
še,16533
z,14512
tisti,14067
lahek,14044
nek,14013
sam,13899
kar,13623
ker,13459
zakon,12736
ampak,12487
ti,12098
državen,11898
ko,11537
sem,11194
kaj,11124
že,11124
vlada,11123
drug,11112
po,11034
iti,10852
potem,10743
slovenija,10673
vedeti,10579
en,10158
država,9367
tukaj,9316
do,9293
let,9075
iz,8668
misliti,8615
pri,8188
zdaj,8123
ozir,8117
govoriti,8100
oda,8034
danes,7990
velik,7893
zadeva,7794
seveda,7438
reklo,7039
povedati,7031
kakšen,6958
glede,6913
nekaj,6808
slovenski,6789
kak,6765
več,6690
zbor,6478
svoj,6374
gospoda,6312
kateri,6269
zato,6121
zelo,5725
narediti,5721
stran,5675
del,5641
predsednik,5590
naš,5544
priti,5506
vprašanje,5424
človek,5424
zaradi,5323
pač,5312
minister,5267
predlagati,5149
treba,5131
mora,5101
komisija,5082
–,5074
ministrstvo,5072
torej,5021
banka,5010
področje,4909
problem,4861
dober,4852
sodišče,4847
dati,4832
beseda,4808
čas,4758
pravi,4754
lep,4674
razprava,4624
seja,4620
sedaj,4602
naprej,4558
si,4524
primer,4407
stranka,4293
evropski,4258
javen,4256
nič,4229
predlog,4214
način,4209
nov,4169
naj,4133
poslanec,4131
stvar,4114
kdo,4108
dobiti,4081
predvsem,4067
sklep,4047
želeti,4012
spoštovan,4001
pravica,3989
dva,3979
morati,3957
zakaj,3942
reči,3907
kjer,3846
pogledati,3763
sistem,3719
verjeten,3717
takrat,3709
mnenje,3639
nekateri,3607
vaš,3599
dan,3579
prej,3559
noben,3546
kolega,3544
dejanski,3526
tam,3517
takšen,3511
sredstvo,3484
res,3474
pred,3446
proračun,3422
leto,3417
odbor,3312
mali,3262
tu,3260
prav,3259
postopek,3250
moj,3243
morala,3227
gospa,3215
videti,3158
bolj,3145
ever,3117
moči,3106
hvala,3068
ostal,3060
enkrat,3052
gospod,3006
prvi,2958
pomemben,2946
saj,2904
koalicija,2897
odgovor,2895
vsak,2885
pomen,2867
milijon,2850
bit,2850
vedno,2783
nit,2777
zanimati,2775
med,2764
konec,2755
določen,2729
potreben,2728
služba,2723
občina,2723
vsaj,2721
ukrep,2680
skupina,2671
raven,2654
finance,2652
svet,2633
delati,2624
denar,2605
člen,2605
podatek,2591
nekdo,2572
republika,2561
sicer,2533
cel,2519
jasen,2509
mogoč,2503
praven,2482
projekt,2439
ministrica,2432
sprememba,2424
slab,2423
poslanski,2419
reč,2411
točka,2364
politika,2334
podjetje,2329
nekak,2324
gledati,2311
zgoditi,2275
red,2269
finančen,2220
vendar,2207
tisoč,2199
mena,2172
ob,2172
političen,2171
demokratski,2156
tolik,2155
sprejeti,2141
mesec,2135
ustaven,2128
verjeti,2093
govor,2084
sploh,2069
stanje,2054
podpreti,2046
človekov,2033
kolik,2032
proti,2021
nadaljevanje,2012
strinjati,2006
družba,1993
delo,1957
naslednji,1955
trije,1949
pričakovati,1940
rešitev,1928
k,1922
nadzor,1887
zadnji,1887
isti,1886
kajti,1875
podlaga,1861
razumeti,1855
morda,1854
začeti,1844
zdeti,1840
upati,1837
gospodarstvo,1826
prositi,1810
mesto,1797
visok,1781
poročilo,1777
sprejet,1775
razlog,1770
konkreten,1756
dogajati,1740
dodaten,1740
odločitev,1739
zveza,1729
kolegica,1719
soden,1703
namreč,1702
sklad,1691
breza,1677
deloven,1666
gospodarski,1661
kje,1652
predstavnik,1649
dokument,1646
mlad,1643
bistvo,1638
ustava,1618
dejstvo,1602
očiten,1596
slišati,1591
govorilo,1587
zakonodaja,1584
možnost,1582
stališče,1571
delovati,1571
prejšnji,1548
enak,1543
ugotoviti,1540
ja,1536
