Priimek,Števec
prikl,0
tomić,2
trček,8
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,8
šergan,2
zorčič,8
dekleva,0
brglez,0
košnik,0
horvat,0
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,2
hršak,0
kotnik,0
levičar,1
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,32
logar,0
mahnič,3
podkrajšek,1
pojbič,4
šircelj,0
muršič,0
nemec,0
horvat,0
vrtovec,0
kovačič,0
hanžek,1
kordiš,1
škoberne,0
vilfan,2
veber,10
krajnc,2
janša,0
göncz,0
tanko,1
novak,0
han,1
sluga,2
tonin,0
jurša,0
gorenak,0
vervega,1
potočnik,0
kopmajer,2
žibert,0
godec,0
krivec,0
lisec,3
pogačnik,0
žnidar,7
dimic,13
tašner,0
bizjak,1
lipicer,0
möderndorfer,0
verbič,3
mesec,9
čuš,1
laj,3
ljubič,0
počkaj,0
bratušek,0
lah,2
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
