Beseda,Števec
biti,2118
ta,1846
da,1365
jesti,1135
in,985
se,958
v,765
na,659
za,626
ne,552
pa,491
tudi,454
jaz,429
ki,383
on,345
imeti,337
ker,267
če,259
tak,246
ves,222
s,216
kot,211
kar,208
še,193
beseda,193
o,192
zakon,186
že,184
ali,175
zdaj,172
sam,163
lahek,163
ampak,159
en,152
z,150
kaj,145
naš,145
iti,139
do,138
glede,137
po,136
odbor,135
oda,133
sklep,131
potem,131
sem,124
iz,123
slovenija,121
tisti,116
vedeti,116
ko,113
danes,112
stvar,111
dober,104
več,103
zaradi,103
ozir,103
zelo,101
drug,101
pri,100
pač,99
treba,97
kakšen,95
seja,90
gospoda,89
predlog,89
misliti,85
velik,84
zato,84
ti,83
kateri,82
država,82
evropski,79
pravi,78
si,78
vlada,78
skupina,76
kmetijstvo,74
kak,73
razprava,73
seveda,72
tukaj,72
morati,72
let,71
priti,70
zakaj,67
dva,67
podpreti,66
hvalahvala,66
del,66
moči,65
vprašanje,65
pomemben,64
mogoč,64
predlagati,64
naprej,64
povedati,63
sedaj,63
zdeti,63
poslanski,62
k,61
svoj,61
čas,59
dati,59
človek,59
ministrstvo,58
način,57
–,57
kmet,56
bolj,55
nekaj,55
pravica,54
res,54
dajati,53
mnenje,53
strinjati,52
prvi,52
kratek,52
nov,52
problem,52
izvolitehvala,51
državen,50
sprememba,50
točka,50
nek,49
zanimati,49
področje,48
bistvo,48
gospa,46
mora,46
tolik,46
poslanec,45
videti,44
stran,44
takrat,44
ukrep,43
prehrana,42
razlog,42
moj,41
zavarovanje,41
konec,41
tikati,41
namreč,40
ostal,40
otrok,40
hoteti,40
govoriti,39
najprej,39
saj,39
primer,39
mali,39
razumeti,39
vedno,38
člen,37
gozdarstvo,37
unija,37
reči,37
narediti,37
član,36
prej,36
dobiti,36
delati,34
želeti,34
naslednji,34
dr,33
potreben,33
tu,33
noben,33
čist,32
predlagatelj,32
zgoditi,32
lep,32
glasovati,32
red,31
pokojninski,31
prav,31
kjer,31
slišati,31
kdo,31
spet,30
kmetijski,30
parlament,30
spoštovan,30
trg,30
slovenski,30
njihov,30
skupnost,29
med,29
vsak,29
združen,29
predsednik,29
kolik,29
milijon,29
vendar,29
bit,29
sprejeti,29
podjetje,28
sporazum,28
pogovarjati,28
tam,28
lipica,28
uredba,27
oba,27
zavedati,27
težava,27
kmetov,27
hkrati,27
strategija,27
podlaga,27
služba,27
določen,27
upati,26
stališče,26
pod,26
problematika,26
naj,26
le,26
dodaten,25
smer,25
povedan,25
konkreten,25
leto,25
reklo,25
finančen,25
smca,25
sprejet,25
ura,25
ugotoviti,24
pomen,24
možnost,24
sicer,24
prositi,24
pogledati,24
proti,24
gozd,24
raven,24
sistem,24
nekateri,23
podpirati,23
1,23
spremeniti,23
torej,23
vidik,23
agraren,23
svet,23
enkrat,23
čeprav,23
namen,23
reševati,23
župan,23
čim,23
točen,22
narobe,22
predloga,22
takšen,22
sklad,22
glaven,22
skupaj,22
socialen,22
cel,22
zadnji,22
kmetija,22
komisija,21
posledica,21
ter,21
pogajanje,21
predvsem,21
skupen,21
stranka,21
proračun,21
pričakovati,21
miza,21
današnji,21
nujen,21
različen,20
pravilen,20
sploh,20
nič,20
prihajati,20
majhen,20
številka,20
vseeno,20
republika,20
minister,20
škoda,20
deloven,20
enak,20
oseben,20
zbor,20
dan,20
pripraviti,20
trenuten,20
predstavnik,20
javen,19
občina,19
nazaj,19
morala,19
ja,19
zavarovanec,19
predsedujoč,19
upoštevati,19
poslušati,19
pokazati,19
smisel,19
najbrž,19
prijaviti,19
politika,18
infrastruktura,18
sodelovanje,18
mena,18
obstajati,18
izpostaviti,18
zadeva,18
kje,18
20,18
resnica,18
podoben,18
pozdrav,18
število,18
sklic,18
okolje,18
dneven,18
spremenjen,17
potrditi,17
tretji,17
zakonski,17
nihče,17
skrb,17
ob,17
denar,17
obravnavati,17
pokojnina,17
invalidski,17
amandmajati,17
pripravljen,17
začeti,17
ministrica,17
dovolj,17
uporabljati,17
isti,17
proizvod,16
ekološki,16
rad,16
zares,16
odločiti,16
enoten,16
gospod,16
manj,16
rešitev,16
dolg,16
oblika,16
gospodarski,16
genski,16
pogoj,16
notri,16
pogodba,16
obravnava,16
poslanka,16
2015,16
hvala,16
trije,16
obdobje,16
razpravljati,16
zakonodaja,16
ever,15
mleko,15
prostor,15
zavarovati,15
nadaljevanje,15
sekretarka,15
strošek,15
oni,15
preden,15
koalicijski,15
članov,15
nekak,15
5,15
gospodarstvo,15
zaključiti,15
pred,15
prijavljen,15
plačevati,15
evropa,15
predstavnica,15
potrebovati,15
rešiti,15
dama,15
postopek,14
omeniti,14
koalicija,14
standard,14
vsaj,14
spomniti,14
seme,14
zagotoviti,14
stanje,14
članica,14
začetek,14
razmišljati,14
državljan,14
posebej,14
predsednica,14
hiter,14
očiten,14
cilj,14
uspešen,14
kolega,14
vrsta,13
drugače,13
napisan,13
gledati,13
bolje,13
izdelek,13
odločati,13
primeren,13
odvisen,13
rok,13
program,13
rabiti,13
turističen,13
dimica,13
lesen,13
obseg,13
vloga,13
e,13
levica,13
mlad,13
amerika,13
opozicija,13
nekje,13
kdaj,13
poslovanje,13
urejati,13
organizacija,13
delovati,13
trenutek,13
večina,12
delo,12
podpora,12
družina,12
storiti,12
rečen,12
sd,12
družba,12
problematičen,12
breza,12
industrija,12
povečati,12
nadaljevati,12
svetovanje,12
elektronski,12
žeti,12
prihodnji,12
nizek,12
celoten,12
sredstvo,12
spodbujati,12
hrana,12
misel,12
edin,12
vprašati,12
analiza,12
maga,12
vesel,12
razlika,12
načrt,12
tema,12
odgovoriti,11
referendum,11
večkrat,11
vzeti,11
verjeti,11
dopolnitev,11
zmanjševati,11
datum,11
zbornica,11
prispevek,11
trgovina,11
12,11
slab,11
upravičen,11
doseči,11
amand,11
ostati,11
amandmaj,11
spreminjati,11
najbolj,11
poleg,11
30,11
oseba,11
šola,11
praven,11
znati,11
ukvarjati,11
rast,11
njegov,11
vaš,11
opredeliti,11
razen,10
krma,10
ureditev,10
okvir,10
čez,10
zavrniti,10
potreba,10
kobilaren,10
postaviti,10
izvajanje,10
nekdo,10
nalagati,10
veber,10
zahteva,10
obrazložitev,10
prebrati,10
10,10
digitalen,10
ribištvo,10
vrniti,10
spraševati,10
reševanje,10
odnos,10
4,10
znesek,10
obrok,10
pozdravljati,10
osnova,10
uporaba,10
potrošnik,10
vsebinski,10
projekt,10
zveza,10
zanimiv,10
nerazumljiv,10
sds,10
čakati,10
pripomba,10
dodati,10
dobrodošel,10
visok,10
omenjen,10
prioriteta,10
ideja,10
upravljanje,10
možen,10
vena,10
omogočiti,10
mera,10
tisoč,9
strah,9
težek,9
račun,9
kakršen,9
birokratski,9
meniti,9
bon,9
vodilen,9
starosten,9
predstaviti,9
urediti,9
opraviti,9
radi,9
3,9
informacija,9
meja,9
preko,9
uvesti,9
vrednost,9
mesto,9
jasen,9
matičen,9
predlagan,9
mesec,9
poznati,9
trend,9
8,9
dosti,9
iniciativa,9
vključen,9
ovira,9
velikokrat,9
morda,9
premoženje,9
zavod,9
pet,9
negativen,9
postaja,9
vabljen,9
absoluten,9
lotiti,9
2016,9
civilen,9
reč,9
doba,9
logičen,9
kljub,9
priprava,9
lasten,9
držati,8
poudariti,8
telo,8
procent,8
dokler,8
odstotek,8
varnosten,8
ranc,8
