Priimek,Števec
prikl,0
tomić,0
trček,0
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,0
brglez,0
košnik,0
horvat,2
koleša,0
kramar,0
matić,3
murgel,0
rajić,0
shaker,1
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,4
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,2
brinovšek,0
grims,1
irgl,0
lep,194
logar,1
mahnič,0
podkrajšek,0
pojbič,0
šircelj,2
muršič,1
nemec,0
horvat,2
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,5
krajnc,0
janša,5
göncz,0
tanko,20
novak,0
han,1
sluga,0
tonin,3
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,3
godec,0
krivec,0
lisec,0
pogačnik,1
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,1
möderndorfer,2
verbič,0
mesec,15
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,4
lah,0
dobovšek,1
bačič,0
klanjšček,0
radič,0
tabaković,2
