Beseda,Števec
ta,2037
biti,2031
in,1965
v,1577
jesti,1296
da,1209
se,941
na,930
za,810
ki,778
tudi,774
pa,616
on,509
s,388
kot,388
o,379
ne,331
skupina,326
ves,320
naš,307
poslanski,302
država,292
jaz,278
z,271
sam,269
še,268
ozir,256
tak,251
po,250
državen,246
imeti,226
ali,219
do,217
zbor,201
vlada,199
lep,194
iz,188
delovanje,188
kateri,188
potem,188
kar,184
želeti,182
lahek,180
svoj,179
zakon,178
političen,177
pravzaprav,174
že,174
predlog,166
danes,161
predsednik,154
če,148
pri,147
hvala,145
drug,141
oda,140
vprašanje,139
nek,138
del,138
en,135
slovenija,133
razprava,129
način,128
republika,126
primer,123
zelo,121
okvir,120
smca,119
kolega,117
ker,117
takšen,115
sistem,114
ko,104
iti,103
stran,102
kakšen,102
ter,101
komisija,100
pristojnost,98
poslanec,96
zato,96
seja,95
dober,95
sedaj,95
vsebinski,94
vsebina,94
ampak,93
postopek,92
institucija,92
tisti,92
lepahvala,90
stranka,89
kaj,88
let,88
točka,88
med,86
torej,86
pravica,84
sprememba,84
odgovornost,83
delo,82
čas,82
zadeva,82
temeljen,81
parlamentaren,79
svet,78
predvsem,77
dan,76
prav,75
javen,74
odgovoren,74
dva,74
ustrezen,73
govoriti,72
zaradi,72
oblast,72
slovenski,72
pomemben,71
praven,71
današnji,71
ministrstvo,71
rešitev,70
področje,70
predlagati,69
razlog,68
tukaj,68
povedati,67
kandidat,66
strokoven,66
deloven,66
velik,65
nekaj,65
konkreten,64
obravnava,64
več,64
pravi,63
kak,63
morati,63
funkcija,63
odločitev,62
omenjen,62
prvi,61
evropski,60
odnos,60
podlaga,60
zveza,60
zakaj,59
proces,59
sem,59
praksa,58
hkrati,58
seveda,56
kolegica,55
dejstvo,55
priti,55
soden,55
naj,55
človek,55
podpreti,54
celovit,54
problem,53
gospodarski,53
socialen,53
finančen,53
zdaj,53
veja,52
ti,52
bit,52
telo,51
politika,51
dodaten,51
si,51
družba,51
mora,51
demokratičen,51
proračun,50
sodišče,50
verjeti,49
bolj,49
ponoven,49
nov,49
izpostaviti,49
razmera,49
možen,49
pomen,48
pred,48
pogovarjati,48
potreba,47
mednaroden,47
pogoj,47
poslovnik,47
njen,46
predstavnik,46
k,45
dejanski,45
glede,45
posamezen,45
različen,45
ime,44
član,44
člen,44
znotraj,44
obravnavati,44
volilen,44
ustaven,44
raven,44
stanje,43
potreben,43
ukrep,43
namen,43
izjemen,42
parlament,42
njihov,42
