Priimek,Števec
prikl,124
tomić,102
trček,567
ban,46
cink,71
ferluga,135
kavčič,37
kotnik,157
prelog,66
ranc,87
šergan,124
zorčič,120
dekleva,56
brglez,49
košnik,36
horvat,530
koleša,102
kramar,71
matić,76
murgel,72
rajić,59
shaker,124
dolinšek,47
škodnik,82
škopac,72
zajc,84
zorman,96
gantar,49
hainz,66
hršak,50
kotnik,157
levičar,79
battelli,85
breznik,265
brinovšek,77
grims,151
irgl,94
lep,5004
logar,321
mahnič,138
podkrajšek,110
pojbič,99
šircelj,268
muršič,114
nemec,157
horvat,530
vrtovec,218
kovačič,59
hanžek,142
kordiš,122
škoberne,62
vilfan,66
veber,168
krajnc,34
janša,208
göncz,80
tanko,417
novak,115
han,135
sluga,105
tonin,214
jurša,105
gorenak,295
vervega,68
potočnik,129
kopmajer,52
žibert,325
godec,116
krivec,157
lisec,175
pogačnik,240
žnidar,200
dimic,112
tašner,5
bizjak,76
lipicer,129
möderndorfer,363
verbič,208
mesec,1022
čuš,176
laj,46
ljubič,0
počkaj,0
bratušek,342
lah,141
dobovšek,124
bačič,55
klanjšček,107
radič,31
tabaković,36
