Beseda,Števec
biti,94334
ta,69308
jesti,66179
in,65940
da,60888
v,49233
za,43260
na,39047
se,38749
tudi,25564
ki,24218
pa,20940
ne,19471
o,19226
imeti,15543
s,15390
on,15014
jaz,13841
zakon,13101
predlog,12543
z,12510
tak,11745
kot,11533
ves,10762
še,10432
državen,9737
kar,9046
kdo,8773
če,8734
beseda,8326
gospoda,8319
razprava,8071
ali,7916
lahek,7884
seja,7753
slovenija,7737
skupina,7670
člen,7475
sam,7386
odbor,7269
do,7127
ker,7029
poslanski,6996
nek,6927
drug,6880
zbor,6776
že,6685
glasovati,6573
točka,6507
po,6298
vlada,6269
sklep,5975
k,5832
sem,5804
zadeva,5797
ti,5614
iz,5493
tisti,5397
poslanec,5345
ozir,5315
proti,5309
red,5226
pri,5142
lep,5004
potem,4994
iti,4966
sprejet,4840
ampak,4797
en,4783
oda,4664
dneven,4648
misliti,4631
kateri,4594
glede,4584
tukaj,4472
ugotavljati,4405
država,4391
gospa,4382
zelo,4209
ko,4208
evropski,4207
velik,4204
dajati,4159
ministrstvo,4114
vprašanje,4041
seveda,4035
pravi,3984
naš,3953
svoj,3950
let,3908
zato,3862
del,3855
amand,3821
glasovanje,3813
predlagati,3700
obravnava,3588
javen,3570
danes,3508
zdaj,3501
prehajati,3479
članov,3380
hvala,3367
kaj,3360
torej,3348
stran,3347
komisija,3317
področje,3311
amandmaj,3212
postopek,3185
sprememba,3171
želeti,3163
republika,3107
žeti,3099
zaradi,3099
kakšen,3051
ter,3028
vedeti,3026
predsednik,2991
dober,2986
naslednji,2964
povedati,2925
več,2890
dr,2851
treba,2847
kolega,2815
svet,2805
mora,2781
poslanka,2759
nekak,2756
nov,2746
mnenje,2740
–,2733
naj,2730
dan,2726
način,2677
nihče,2673
čas,2667
maga,2649
sicer,2646
2015,2641
nekaj,2614
glas,2604
prvi,2591
primer,2590
prav,2579
zaključevati,2494
morati,2457
priti,2457
kak,2447
pomemben,2420
predstavnik,2412
si,2412
minister,2397
gospod,2386
deloven,2381
član,2381
podlaga,2353
1,2345
sklad,2325
obrazložitev,2317
reklo,2273
med,2272
sedaj,2265
prositi,2230
določen,2213
spoštovan,2156
sredstvo,2154
pravica,2126
razpravljati,2116
slovenski,2076
predvsem,2064
potreben,2030
mogoč,2022
dati,1986
unija,1982
služba,1981
stališče,1979
res,1977
ukrep,1961
takšen,1957
banka,1956
videti,1942
leto,1931
predlagatelj,1924
izvoliti,1917
zveza,1912
sistem,1908
pač,1905
govoriti,1904
pomen,1884
dva,1882
naprej,1875
finance,1872
sprejeti,1855
tikati,1849
bolj,1828
ob,1822
prejeti,1809
stranka,1767
nujen,1756
politika,1755
2,1748
dejanski,1743
smca,1739
stvar,1737
moj,1734
ime,1728
sodišče,1726
pred,1722
ministrica,1692
izvolitehvala,1688
raven,1666
proračun,1663
človek,1652
moči,1638
nadaljevanje,1636
podatek,1627
kjer,1621
okvir,1619
poslovnik,1617
mali,1589
družba,1580
ostal,1573
jasen,1571
konec,1565
program,1543
možnost,1540
prej,1530
narediti,1525
najprej,1524
delo,1523
vaš,1515
12,1496
finančen,1489
tu,1477
nekateri,1473
kolegica,1470
vedno,1468
gospodarstvo,1467
sds,1454
razvoj,1449
bit,1448
strinjati,1445
gospodarski,1437
dobiti,1436
vsak,1429
praven,1426
dodaten,1425
predstavitev,1409
mesto,1398
socialen,1397
pravzaprav,1391
10,1382
telo,1376
skupaj,1365
dopolnitev,1363
3,1362
morda,1359
2014,1350
saj,1340
amandmajati,1336
obravnavati,1331
nadaljevati,1328
poročilo,1317
odgovor,1312
projekt,1308
okolje,1305
vložen,1303
združen,1301
odstavek,1298
delovanje,1297
enkrat,1288
članica,1281
11,1278
zdeti,1271
noben,1266
reči,1257
problem,1255
rešitev,1254
zakaj,1238
podjetje,1235
5,1233
gradivo,1229
odločanje,1224
zakonodajnopraven,1217
dejstvo,1211
podpreti,1207
vendar,1198
9,1180
odločati,1177
morala,1173
levica,1168
današnji,1166
začeti,1163
sklic,1161
zahteva,1158
prostor,1150
uprava,1140
koalicijski,1135
cilj,1128
političen,1128
razlog,1124
tolik,1124
ustrezen,1113
posamezen,1111
občina,1101
tretji,1091
namen,1090
infrastruktura,1089
razumeti,1076
bistvo,1074
njihov,1058
4,1054
priprava,1054
navzoč,1043
sodelovanje,1033
zadnji,1032
verjeten,1028
matičen,1027
mesec,1022
ever,1018
nadomeščati,1017
6,1014
tam,1013
zanimati,1012
rok,1004
obveščati,997
verjeti,993
podpirati,993
organ,991
meniti,991
konkreten,988
strokoven,987
smer,980
pod,978
takrat,978
zakonodaja,977
visok,966
reč,962
ugotoviti,954
odločitev,952
lokalen,950
sd,944
delati,942
prisoten,940
trije,938
milijon,932
mednaroden,920
izobraževanje,920
pogoj,919
koalicija,910
namreč,905
skupnost,904
notranji,902
vidik,901
omeniti,900
različen,898
odpirati,897
praksa,895
stanje,892
slišati,881
izreden,881
smisel,874
vsaj,870
ura,869
cel,868
upravljanje,868
sploh,862
kultura,860
funkcija,853
podati,852
naveden,852
enak,839
ustaven,835
parlament,831
sodelovati,831
situacija,828
hvalahvala,823
davčen,821
vsebina,820
oseba,814
oba,807
njegov,804
zunanji,800
nadzor,800
trg,799
posebej,798
pogledati,798
center,797
kajti,796
ja,796
njen,794
obdobje,789
interes,786
človekov,785
odločiti,780
kratek,777
8,772
omenjen,772
primeren,770
soden,769
pozdravljati,766
e,765
breza,764
vseeno,762
možen,762
mandatnovolilen,756
predstaviti,754
slab,754
isti,754
predstavnica,753
odgovornost,749
bistven,748
pogovarjati,746
pripraviti,745
predložiti,745
nič,745
dejavnost,745
začetek,744
upati,742
postopkoven,741
le,739
sekretarka,737
oseben,736
poudariti,732
skupen,731
strategija,727
ureditev,725
izvajanje,725
zanjo,725
gledati,724
zavedati,721
poseben,714
kandidat,712
rečen,710
izpostaviti,708
informacija,705
15,703
pomoč,703
splošen,702
opozoriti,694
nit,693
priporočiti,692
širok,687
nekdo,687
pričakovati,687
organizacija,687
denar,685
dolg,685
franc,685
problematika,682
zgolj,681
načrt,681
delovati,678
vsekakor,678
kolikor,677
podpora,676
pristojnost,675
pravosodje,671
trenuten,669
ključen,669
otrok,669
govor,668
7,664
zaključiti,664
predsedujoč,661
obstajati,659
zagotoviti,658
sekretar,658
trenutek,656
težava,656
replik,655
poročiti,654
tisoč,652
številka,650
varstvo,649
seznaniti,649
upoštevati,649
pozitiven,649
dokument,647
predsednica,646
predstavljati,645
vrsta,645
pristojen,644
prihajati,643
zgoditi,643
veljati,642
zakonski,641
namesto,641
ponoven,641
težek,640
manj,639
varnost,639
spraševati,638
podoben,637
celoten,636
policija,634
nacionalen,634
ocena,633
javnost,631
mena,627
predlagan,627
desus,627
vsebinski,626
spet,626
čim,626
vabiti,625
13,622
število,621
nadaljnji,619
agencija,619
dejanje,617
jan,615
ustava,615
predloga,613
