Beseda,Števec
biti,281
in,195
jesti,192
da,172
ta,171
v,157
na,130
za,126
se,104
tudi,91
ki,84
ne,69
pa,65
s,57
socialen,47
še,40
kot,38
tak,37
z,37
kar,35
zakon,35
jaz,34
ves,33
ker,33
on,32
velik,32
o,30
podatek,29
že,28
imeti,27
oda,26
zato,26
država,26
ozir,26
mlad,25
slovenija,25
zelo,25
če,25
let,24
sprememba,23
sam,23
pri,23
družina,23
problem,23
otrok,22
področje,22
pravica,22
do,21
revščina,21
ko,21
po,21
posebej,19
del,19
iti,19
misliti,19
skupina,19
glede,19
čas,17
vedeti,17
družinski,17
lahek,17
vlada,16
pomemben,16
ob,16
predlog,16
pripravništvo,15
sem,15
predlagati,14
si,14
kateri,14
starševski,14
treba,14
zagotovo,14
finančen,14
trenuten,14
potreben,14
ali,13
takšen,13
delo,13
stran,13
mnenje,13
človek,13
ukrep,13
deloven,13
želeti,13
namreč,12
možnost,12
varnost,12
vprašanje,12
nekateri,12
iz,12
moj,12
pomoč,12
dober,12
morati,12
med,11
lep,11
plača,11
varstvo,11
predvsem,11
tisti,11
beseda,11
danes,11
primer,10
stanje,10
poleg,10
pred,10
mora,10
2014,10
en,10
minimalen,10
kolega,10
svoj,10
brezposelnost,10
sicer,10
celota,10
ministrstvo,10
ostal,9
življenje,9
istospolen,9
več,9
prav,9
oseben,9
stopnja,9
moči,9
rast,9
zavedati,9
drug,9
prejemek,9
podpreti,9
dopust,9
torej,9
gospodarski,9
poslanski,9
ostati,8
poudariti,8
ter,8
osnoven,8
gradivo,8
kazati,8
tisoč,8
trajanje,8
človekov,8
problematika,8
dan,8
nov,8
ustrezen,8
dohodek,8
posledica,8
volonterski,8
smca,8
rešitev,8
status,8
center,8
korak,8
leto,8
prvi,8
omenjen,8
nekaj,8
zakonodaja,8
pomeniti,7
zaposlitev,7
zagotavljanje,7
pomen,7
sistem,7
splošen,7
cel,7
trg,7
kolegica,7
varuhinja,7
način,7
smisel,7
vendarle,7
manj,7
ostajati,7
razprava,7
zveza,7
nujen,7
starš,7
raven,7
dejanje,7
spoštovan,7
pokojnina,7
najbolj,7
materinski,7
prebivalstvo,6
povsem,6
skoraj,6
k,6
položaj,6
morala,6
pravzaprav,6
sploh,6
dokument,6
gledan,6
nadomestiti,6
živeti,6
iskati,6
družba,6
ampak,6
živ,6
gluh,6
delodajalec,6
opravljanje,6
težek,6
ranljiv,6
tveganje,6
pravi,6
ženska,6
strokoven,6
poročilo,6
osnova,6
mesto,6
naš,6
smeti,6
hvalahvala,6
kaj,6
bolj,6
varuh,6
tema,6
vidik,6
tu,5
naslov,5
žal,5
dostop,5
naprej,5
strinjati,5
ever,5
razmerje,5
žalost,5
oseba,5
pogost,5
politika,5
oba,5
upravičenec,5
zavarovanec,5
okvir,5
pot,5
ministrica,5
transfer,5
analiza,5
zaradi,5
teden,5
urediti,5
dodatek,5
predlagatelj,5
evropski,5
pogoj,5
upravičen,5
izjemen,5
situacija,5
samostojen,5
govoriti,5
seveda,5
slab,5
vendar,5
dvojen,5
očetovski,5
enak,5
morda,5
zdeti,5
zakonski,5
pobuda,5
verjeti,5
povedati,5
razmera,5
pokojninski,5
omeniti,5
omejitev,5
pripraviti,5
naj,5
star,5
meniti,5
proračunski,5
raziskava,4
ponoven,4
mesečen,4
videti,4
razen,4
dlje,4
širok,4
sredstvo,4
bistven,4
reševati,4
varčevalen,4
prag,4
statističen,4
hvalaspoštovan,4
ureditev,4
edin,4
sled,4
res,4
doslej,4
ponavljati,4
pozdrav,4
vpliv,4
trenutek,4
preseči,4
izpostaviti,4
reči,4
posameznik,4
znašati,4
verjeten,4
znotraj,4
sodišče,4
temeljen,4
odpraviti,4
debata,4
zanimati,4
slediti,4
spomniti,4
dolgoročen,4
rada,4
3,4
državljanka,4
kjer,4
le,4
obstajati,4
hvala,4
pod,4
potem,4
narediti,4
novel,4
zakonik,4
naravnati,4
kakšen,4
resor,4
težava,4
postopek,4
vaš,4
najti,4
predvidevati,4
deti,4
državljan,4
vedno,4
posamezen,4
njihov,4
bodoč,4
smiseln,4
reklo,4
reden,4
korekcija,4
takrat,4
posvojitev,4
čeprav,4
predstavnik,4
urad,4
znesek,3
rojstvo,3
začetek,3
blagajna,3
mali,3
noben,3
pripravnik,3
slišati,3
dejanski,3
prejšnji,3
začeti,3
začet,3
dneven,3
korist,3
podaljšanje,3
145,3
tematika,3
sklad,3
izhod,3
stališče,3
prisoten,3
pokazati,3
spolen,3
šibek,3
brezposeln,3
20,3
vzgoja,3
odstotek,3
denar,3
narejen,3
omogočati,3
hkrati,3
kdaj,3
starosten,3
praven,3
7,3
prostovoljstvo,3
zdravstvo,3
nezanimiv,3
odprava,3
predstavnica,3
razlog,3
kandidatek,3
podpredsednik,3
stvar,3
zadnji,3
ohranjanje,3
12,3
mogoč,3
poprej,3
poročiti,3
dopuščati,3
izpit,3
bistvo,3
namenjen,3
državljanov,3
uspešen,3
mena,3
skrajen,3
odraz,3
omejiti,3
poslanstvo,3
urejen,3
25,3
gledati,3
izboljšanje,3
60,3
predviden,3
drugačen,3
volja,3
referendum,3
nadomestilo,3
različen,3
zaposlen,3
enkrat,3
noveti,3
dalja,3
urejati,3
resoren,3
namen,3
predsednik,3
veljati,3
zlasti,3
škoda,3
spet,3
podoben,3
meja,3
odsotnost,3
zaključek,3
potreba,3
višina,3
kljub,3
prihajati,3
odvisen,3
arhivski,3
poln,3
kulturen,3
točka,3
ekipa,3
prebirati,3
zaposlitven,3
dvig,3
rešiti,3
zdaj,3
terciaren,3
prepogost,3
razumeti,3
učinkovit,3
število,3
prizadevati,3
ogrožen,2
levica,2
usmerjenost,2
družben,2
prihodnji,2
kriza,2
izogniti,2
najmanj,2
sprejemanje,2
reforma,2
poklic,2
optimističen,2
problemski,2
javen,2
redefinicija,2
razsežnost,2
prizadeti,2
nedoreči,2
jezik,2
zagotoviti,2
generacija,2
delen,2
svoboščina,2
zaskrbljujoč,2
občutljiv,2
moški,2
nasilje,2
strokovnjak,2
španija,2
kompleksen,2
upoštevati,2
kariera,2
vzpostaviti,2
cenzus,2
nadaljnji,2
odziv,2
red,2
nadaljevati,2
program,2
veljavnost,2
reševanje,2
uveden,2
starost,2
prinesti,2
delovanje,2
optimalen,2
prejemati,2
povprečen,2
ponudba,2
nemčija,2
razpoloviti,2
demografski,2
opredeljen,2
povedan,2
približen,2
prispevek,2
vrsta,2
izmed,2
zloraba,2
usmeriti,2
končen,2
opravljati,2
september,2
aktivnost,2
ohraniti,2
drugače,2
kompleksnost,2
amandmaj,2
2011,2
2013,2
2012,2
ciljen,2
premakniti,2
izpolnjevati,2
kazniv,2
koalicija,2
razpoložljiv,2
spreminjati,2
skupaj,2
nacionalen,2
definicija,2
obravnavati,2
ločen,2
privoščiti,2
številka,2
izkušnja,2
naglušen,2
vsebina,2
neizbežen,2
račun,2
predstavitev,2
element,2
otrokov,2
čedalje,2
liberalen,2
tokraten,2
kršitev,2
zujf,2
prebrati,2
podaljševati,2
zgoditi,2
razumljiv,2
temveč,2
dovolj,2
segati,2
presegati,2
zaposlovanje,2
marsikateri,2
ogroziti,2
a,2
razmišljati,2
moč,2
hotel,2
predhodnik,2
koalicijski,2
omenjati,2
temelj,2
izkazati,2
izkoriščanje,2
srečevati,2
dostojen,2
tolažiti,2
razočaran,2
izhodišče,2
reč,2
poudarjati,2
hoteti,2
nesprejemljiv,2
določiti,2
vprašati,2
postavka,2
tukaj,2
ohranjati,2
potrjevati,2
številen,2
pričakovan,2
kroven,2
izvršba,2
vsaj,2
vsak,2
organ,2
okolje,2
prvoten,2
republika,2
nizek,2
združen,2
zaživeti,2
konsekvenca,2
stranka,2
slovenski,2
ekonomski,2
usmerjen,2
primerjava,2
določen,2
podroben,2
ukiniti,2
naslednji,2
usklajevanje,2
prost,2
organizacija,2
saj,2
materinstvo,2
65,2
100,2
ja,2
zahtevati,2
500,2
ugoden,2
mnog,2
projekt,2
državen,2
pretekel,2
–,2
spraševati,2
pomagati,2
partner,2
političen,2
najranljiv,2
bonus,2
zanje,2
odločiti,2
povpraševanje,2
zapustiti,2
hitreje,2
dovoljevati,2
nepotreben,2
čez,2
sprejet,2
šteti,2
konkreten,2
primanjkovati,2
zanimanje,2
vzdržen,2
kaznovanje,2
dotakniti,2
večkrat,2
poseg,2
skratka,2
bit,2
stopiti,2
marsikaj,2
podpirati,2
dolg,2
blaginja,2
arhiv,2
kontekst,2
stoletje,2
nesorazmerje,2
naštevati,2
zaostanek,2
nazaj,2
sposobnost,2
oči,2
prej,2
konsenz,2
mednaroden,2
oblika,2
prepričan,2
sedanji,2
avstrija,2
sporazum,2
ustvarjanje,2
zbor,2
poudarek,2
jasen,2
navezati,2
nikakršen,2
varovati,2
nadaljevanje,2
spodbujati,2
zatiskati,2
kultura,2
postavljati,2
pristop,2
predsedujoč,2
dosedanji,2
ravnotežje,2
telesen,2
zavarovanje,2
razpolagati,2
uveljavljanje,2
dva,2
večina,1
resničen,1
pozabiti,1
vzeti,1
prestiž,1
očitek,1
nadomeščanje,1
90,1
pomanjkanje,1
kandidatov,1
junij,1
opredeljevati,1
škodljiv,1
moder,1
izpeljati,1
deležen,1
terjati,1
vatovec,1
združenje,1
računati,1
preveč,1
priča,1
samostojnost,1
zamujati,1
ugotoviti,1
skupnost,1
spremljati,1
zaščita,1
relativen,1
hvalas,1
neposreden,1
odpis,1
zavzetost,1
stanovanje,1
pogledati,1
omejen,1
pregleden,1
opozarjati,1
priložnost,1
kazenski,1
trend,1
dejavnost,1
priporočiti,1
naroden,1
pač,1
prejemanje,1
razvezen,1
vesel,1
itn,1
razvoj,1
peticija,1
enkraten,1
očitati,1
spuščati,1
strateški,1
obstoječ,1
izvzet,1
sprejemljiv,1
citirati,1
net,1
odvzem,1
misel,1
navajati,1
kader,1
znajti,1
razred,1
plačilo,1
morebiten,1
posvoj,1
105,1
absoluten,1
zadovoljen,1
poiskati,1
blizu,1
uvedba,1
celosten,1
ustaven,1
pravnosocialen,1
registriran,1
upati,1
bog,1
kandidatka,1
primerjati,1
gost,1
pripravljen,1
storiti,1
uresničevati,1
8odstoten,1
nikogaršnji,1
sodelavec,1
zbornica,1
prenašati,1
redefiniranje,1
obrtniški,1
odločanje,1
podati,1
vsakodneven,1
6,1
razkrit,1
zapirati,1
knjiga,1
daleč,1
vključevanje,1
povezovanje,1
rešen,1
belgija,1
klasifikacija,1
veljava,1
krivec,1
skrbeti,1
potrebovati,1
eden,1
1996,1
izpostavljenost,1
dejavnik,1
nasilen,1
irelevanten,1
pogovarjati,1
obvod,1
pomanjkljivost,1
vlagatelj,1
social,1
10krat,1
zdaleč,1
gospodarstvo,1
predsodek,1
dolžnik,1
vključitev,1
poskrbeti,1
tam,1
poslanka,1
uprizoritven,1
povezan,1
šele,1
odvijati,1
sporazumevanje,1
ogromen,1
usmeritev,1
1,1
opraviti,1
strog,1
izgubljati,1
diplomant,1
priseljevanje,1
natančneje,1
podprlispoštovan,1
svetoven,1
svet,1
tehtati,1
norveški,1
podučiti,1
spol,1
kadrovski,1
popravljiv,1
zaupati,1
interes,1
področen,1
vezan,1
sodelovanje,1
primera,1
odločati,1
bodisi,1
stabilizacija,1
dilema,1
diplomantka,1
poslabševati,1
leten,1
usposobiti,1
zaustaviti,1
130,1
človeški,1
zakoreninjen,1
odraščati,1
kje,1
27,1
invalid,1
medijski,1
28,1
zaokrožiti,1
prepričati,1
2015,1
dovoljen,1
proizvod,1
izkušen,1
naraščanje,1
ustvariti,1
ogrožajoč,1
zagovornik,1
preprečiti,1
član,1
kvaliteten,1
tarča,1
spreminjanje,1
pritožba,1
vsekakor,1
natančen,1
kasen,1
sprejeti,1
pozabljati,1
poceni,1
pridobljen,1
