Priimek,Števec
prikl,8
tomić,5
trček,8
ban,0
cink,15
ferluga,5
kavčič,1
kotnik,2
prelog,5
ranc,2
šergan,5
zorčič,6
dekleva,7
brglez,2
košnik,10
horvat,5
koleša,5
kramar,4
matić,5
murgel,4
rajić,0
shaker,0
dolinšek,0
škodnik,6
škopac,10
zajc,2
zorman,21
gantar,4
hainz,0
hršak,0
kotnik,2
levičar,1
battelli,0
breznik,3
brinovšek,12
grims,0
irgl,1
lep,581
logar,2
mahnič,3
podkrajšek,1
pojbič,12
šircelj,0
muršič,14
nemec,4
horvat,5
vrtovec,21
kovačič,7
hanžek,3
kordiš,7
škoberne,0
vilfan,0
veber,0
krajnc,1
janša,0
göncz,0
tanko,2
novak,1
han,2
sluga,4
tonin,4
jurša,1
gorenak,3
vervega,1
potočnik,6
kopmajer,1
žibert,2
godec,23
krivec,1
lisec,7
pogačnik,2
žnidar,1
dimic,9
tašner,0
bizjak,1
lipicer,0
möderndorfer,14
verbič,1
mesec,21
čuš,13
laj,3
ljubič,0
počkaj,0
bratušek,0
lah,1
dobovšek,2
bačič,1
klanjšček,0
radič,3
tabaković,3
