Beseda,Števec
biti,4173
jesti,2950
in,2494
ta,2421
da,2353
v,1799
na,1686
za,1506
se,1364
tudi,1187
ne,1036
ki,910
pa,902
še,720
jaz,719
o,602
lep,581
on,563
ves,539
seveda,537
s,525
imeti,515
kdo,497
z,488
ali,419
kar,418
kot,416
predlog,402
beseda,380
razprava,355
drug,346
slovenija,342
lahek,318
misliti,308
če,303
potem,300
sam,293
odbor,292
do,291
zdravstvo,288
gospoda,287
seja,277
gospa,273
zakon,270
glede,270
stran,262
tak,259
iti,257
člen,252
velik,252
državen,250
ampak,249
zdaj,249
sklep,238
že,233
zdravstven,229
en,224
danes,221
področje,220
ker,207
točka,207
ministrstvo,205
kateri,200
verjeten,196
po,195
sprejet,190
pač,186
način,185
nek,184
zato,182
iz,179
vedeti,176
pravi,175
sicer,174
tukaj,174
red,173
dober,173
nekaj,172
del,169
glasovanje,169
dr,168
naslednji,168
dati,167
pri,165
kaj,162
tisti,161
predlagatelj,160
tu,160
žeti,160
dneven,159
zdravje,157
nujen,157
let,156
oda,155
želeti,153
sem,153
republika,151
sedaj,150
proti,149
vlada,149
svoj,147
zbor,147
k,144
več,142
glasovati,141
vprašanje,140
država,139
ko,139
skupina,139
razpravljati,139
ozir,135
najprej,132
verjeti,128
dajati,128
res,127
enkrat,126
govoriti,124
resnica,122
predlagati,120
ti,119
poslanski,119
kakšen,117
mogoč,117
naprej,117
prvi,116
problem,116
zelo,114
težek,112
obravnava,112
treba,112
dejstvo,111
ob,110
javen,109
nihče,109
rešitev,108
ministrica,107
mnenje,107
center,105
izvolitehvala,105
priti,104
bolj,104
predvsem,104
dan,103
članov,102
konec,102
mora,101
narediti,101
primer,100
čas,100
potreben,98
kjer,97
–,97
sistem,97
sprememba,95
prositi,93
pomoč,93
naj,92
služba,92
človek,92
zavod,91
vsak,90
amand,90
amandmaj,88
takšen,85
naš,85
kolega,85
videti,84
kak,84
mali,83
nov,83
denar,82
sklic,82
stvar,81
medicinski,81
med,80
si,80
slab,80
reč,80
vedno,80
bistven,78
kljub,78
podjetje,77
moči,77
zahteva,77
strokoven,76
glas,76
možnost,73
razlog,73
projekt,73
pričakovati,73
predsednik,72
ostal,72
nekateri,72
pomen,71
svet,71
kolikor,69
bit,69
predstavnik,69
delati,68
nadomeščati,68
nadaljevanje,68
desus,68
gospod,68
jasen,68
povedati,68
vabiti,68
stališče,67
noben,67
kolegica,66
zaradi,66
določen,66
moj,65
delo,64
1,64
pomemben,64
morati,64
podatek,64
enostaven,63
nekdo,63
strinjati,62
maga,62
5,62
sredstvo,62
postopek,61
pravica,61
pod,60
banka,60
obrazložitev,59
dodaten,59
saj,59
težava,59
objavljen,59
zveza,59
namen,59
dogajati,59
član,58
nivo,58
podoben,58
poslanec,57
pred,56
dvom,56
korak,56
dobiti,56
enak,56
tolik,56
današnji,56
zaključevati,55
sklad,55
10,55
torej,55
vložen,55
pozdrav,55
9,54
zaključiti,54
dva,54
vabljen,54
poslovnik,54
nit,53
rečen,53
družba,53
nič,52
smer,52
4,52
hvalahvala,52
gost,52
odločitev,52
direktor,52
urgenten,52
prej,51
podlaga,51
poslanka,51
priporočiti,51
nadzor,51
dejanski,50
namesto,50
rok,50
žal,50
ter,50
reklo,50
pričenjati,50
praktičen,50
zavarovanje,49
breza,49
zdravniški,49
prejeti,48
zbornica,48
3,48
spleten,48
prehajati,48
proračun,48
2015,48
hvala,48
replik,48
2,47
zakonodajnopraven,47
posamezen,47
začeti,47
pravilnik,46
preko,46
upati,46
varstvo,46
leto,46
amandmajati,46
poročilo,46
mera,46
evropski,45
predstaviti,45
zadeva,45
deloven,45
smiseln,45
razumeti,45
pripravljen,45
ponoven,44
komisija,44
manj,44
govor,44
drugačen,44
podpreti,43
6,43
prav,43
obravnavati,43
kje,42
minister,42
namreč,42
število,42
gledati,41
dejavnost,41
poskušati,41
izvoliti,41
milijon,41
spoštovan,41
vsebina,41
telo,40
ustrezen,40
profa,40
oseben,40
odgovornost,40
gradivo,40
dovolj,40
poglavje,40
ljubljana,40
okvir,39
prodaja,39
skupaj,39
preden,39
zakaj,39
le,39
sprejeti,39
isti,39
omenjen,39
raven,39
zdeti,39
priprava,39
trenutek,39
alkohol,39
razvoj,38
vsaj,38
odgovor,38
odpirati,38
predstavljati,38
predstavitev,38
möderndorferhvala,38
njihov,38
predviden,37
zagotoviti,37
morala,37
prisoten,37
kliničen,37
8,37
financiranje,36
bolnišnica,36
potekati,36
program,36
poslušati,36
čist,35
11,35
pogoj,35
sds,35
tam,35
občina,34
majhen,34
tir,34
kratek,34
takrat,34
nekak,34
učinkovit,34
celoten,34
socialen,34
zakonodaja,34
večina,33
izreden,33
zgoditi,33
opravičilo,33
nazaj,33
vrsta,33
ja,33
ime,33
strateški,33
rešiti,33
gospodarski,32
reči,32
pogledati,32
očiten,32
društvo,32
zavedati,32
koalicija,31
sekretarka,31
nadaljnji,31
odločati,31
argument,31
diskusija,31
mesto,31
nadaljevati,31
noveti,31
izpeljati,31
zadnji,31
najti,30
ukca,30
matičen,30
delovati,30
otrok,30
znotraj,30
poznati,30
morda,30
uspešen,30
nacionalen,30
združenje,29
človekov,29
oglašanje,29
omeniti,29
stanje,29
vseeno,29
konkreten,29
primeren,29
zahvaljevati,29
bolnik,29
različen,29
prijaviti,29
poudariti,28
obstajati,28
prepričan,28
kolik,28
dolg,28
razmera,28
investitor,28
življenje,28
hiter,28
ključen,28
pogovarjati,28
pripomba,28
potrebovati,28
bistvo,28
slovenski,28
plača,27
povezan,27
pomislek,27
12,27
narejen,27
skupen,27
lokalen,27
veljati,27
ukrep,27
prijavljen,27
varnost,27
številka,27
smisel,27
možen,27
obdobje,27
praven,27
drugače,26
gospodarstvo,26
popolnoma,26
zdravnik,26
zdravilo,26
odgovoren,26
nad,26
siguren,26
nekje,26
sodišče,26
seznaniti,26
oskrba,26
investicija,25
sistemski,25
ureditev,25
odstavek,25
navsezadnje,25
delovanje,25
ugotavljati,25
rezultat,25
kolar,25
podpirati,24
institucija,24
prebrati,24
posledica,24
pot,24
vrednost,24
doseči,24
reden,24
predsednica,24
čeprav,24
hoteti,24
pooblastilo,24
potek,24
povezava,24
številen,23
storitev,23
začetek,23
resolucija,23
stroka,23
dogovor,23
godec,23
upoštevati,23
cel,23
škoda,23
nenazadnje,23
nasproten,23
celota,23
poročevalec,23
slišati,23
ura,23
politika,22
zdraviti,22
referendum,22
predloga,22
kritičen,22
postati,22
članica,22
zaposlen,22
določati,22
posebej,22
7,22
nanašati,22
finančen,22
bodisi,22
vložiti,22
sklican,22
koper,22
kdorkoli,21
kriza,21
andreja,21
zorman,21
skrb,21
dogovoriti,21
jelek,21
mesec,21
problematika,21
uporaba,21
mlad,21
obvestilo,21
poleg,21
cilj,21
premalo,21
obrazložiti,21
izvajati,21
cena,21
čim,21
vrtovec,21
tema,21
skupnost,20
tisoč,20
klinika,20
zgodba,20
končen,20
odgovoriti,20
omenjati,20
želja,20
mena,20
izgradnja,20
potreba,20
bati,20
mreža,20
kandidatek,20
hud,20
zagotavljati,20
iskati,20
vendar,20
dokaj,20
promet,20
interes,20
edin,20
njegov,20
trije,20
mnog,20
udeležba,20
47,20
uvod,19
dom,19
javnost,19
ezdravje,19
izvajanje,19
sprejetje,19
zagotavljanje,19
praksa,19
odnos,19
zaupanje,19
dopolnitev,19
napačen,19
30,19
odpreti,19
določitev,19
župan,19
korekten,19
reforma,18
razen,18
vključiti,18
čez,18
nazadnje,18
sodelovanje,18
dolgoročen,18
milojka,18
zdravljenje,18
organ,18
ostajati,18
15,18
rebalans,18
strategija,18
tikati,18
prebivalec,18
dama,18
širok,18
koalicijski,18
mih,18
visok,18
poraba,18
gostja,18
organizacija,18
vključen,18
pristojnost,18
vaš,18
pomeniti,17
ever,17
podpora,17
umik,17
izkušnja,17
pristojen,17
13,17
predložiti,17
sekretar,17
sod,17
korupcija,17
izvajalec,17
glaven,17
spremeniti,17
vezan,17
urediti,17
izkazati,17
poročiti,17
zormanhvala,17
povedan,17
celarce,17
prejšnji,17
a,17
20,17
kršitev,17
obveznost,17
vsebinski,17
lekarniški,17
proceduralen,17
predstavnica,17
razpolaga,17
počasi,17
upravljanje,17
pošten,17
pripraviti,17
obstoječ,16
