Priimek,Števec
prikl,2
tomić,1
trček,5
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,7
prelog,0
ranc,0
šergan,0
zorčič,3
dekleva,0
brglez,0
košnik,0
horvat,2
koleša,0
kramar,0
matić,1
murgel,0
rajić,5
shaker,1
dolinšek,1
škodnik,0
škopac,0
zajc,6
zorman,2
gantar,0
hainz,0
hršak,0
kotnik,7
levičar,3
battelli,0
breznik,0
brinovšek,0
grims,1
irgl,4
lep,108
logar,1
mahnič,1
podkrajšek,0
pojbič,0
šircelj,7
muršič,1
nemec,1
horvat,2
vrtovec,5
kovačič,0
hanžek,0
kordiš,4
škoberne,2
vilfan,5
veber,1
krajnc,2
janša,36
göncz,0
tanko,1
novak,1
han,0
sluga,1
tonin,1
jurša,10
gorenak,4
vervega,2
potočnik,2
kopmajer,1
žibert,0
godec,0
krivec,1
lisec,4
pogačnik,2
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,2
möderndorfer,6
verbič,1
mesec,121
čuš,2
laj,0
ljubič,0
počkaj,0
bratušek,27
lah,3
dobovšek,1
bačič,0
klanjšček,2
radič,0
tabaković,1
