Beseda,Števec
biti,8838
da,4573
in,4047
ta,3956
jesti,3845
pa,3675
v,3214
na,2635
se,2587
za,2315
ne,2066
tudi,1697
ki,1575
jaz,1553
imeti,1360
zakon,1283
on,1112
ali,1081
še,1002
ves,958
ampak,917
s,913
kot,907
o,892
z,865
če,837
tak,830
sem,748
vlada,734
reklo,708
ko,705
sam,665
kar,645
let,639
en,628
kakšen,624
že,621
kak,621
tisti,607
državen,602
ozir,596
drug,590
kaj,587
ministrstvo,541
nek,538
po,531
iz,527
glede,515
ker,504
iti,484
predvsem,480
lahek,479
potem,478
vedeti,457
do,445
pri,439
področje,417
minister,416
danes,402
nekaj,394
morda,378
–,377
misliti,376
oda,372
narediti,368
ti,358
država,356
svoj,354
govoriti,351
poslanec,351
javen,343
verjeten,339
mali,337
več,334
naš,319
stran,317
občina,316
upati,315
spoštovan,310
problem,300
velik,300
nov,298
mnenje,295
si,290
zadeva,286
zelo,285
dva,284
ministrica,274
skratka,271
naj,270
vsaj,269
dobiti,268
leto,263
slovenija,262
zbor,260
kateri,260
beseda,257
prej,255
dati,248
del,248
predlog,241
dober,239
slovenski,238
vedno,237
vaš,237
kdo,236
sds,235
sredstvo,233
torej,232
priti,231
kolega,231
finančen,228
zanimati,227
očiten,226
poslanski,226
bolj,225
koalicija,224
vprašanje,223
mora,220
predlagati,220
1,220
nit,219
sistem,219
milijon,219
tukaj,218
kjer,213
sklep,211
verjeti,207
seja,206
enkrat,201
proračun,199
lokalen,198
zato,196
želeti,196
ostal,196
skupina,194
resničen,193
čas,193
konec,193
dan,192
reč,192
mlad,191
reči,188
naprej,183
seveda,182
takšen,181
kajti,179
predsednik,178
člen,174
trije,174
noben,173
odbor,172
nič,172
vsak,171
rešitev,170
2015,169
njihov,168
slab,167
ukrep,167
prvi,166
zaradi,165
stranka,164
razprava,163
žalost,158
moj,158
odgovor,158
pred,157
določen,156
šola,152
sedaj,150
zakaj,148
evropski,146
ever,144
nekateri,143
kje,141
povedati,141
2016,140
le,140
cel,139
ura,139
prejšnji,139
treba,138
praksa,138
zadnji,138
saj,137
izobraževanje,137
delati,136
proti,135
zaseben,134
sklad,133
pričakovati,133
politika,132
ustaven,132
isti,132
deloven,132
posamezen,131
konkreten,131
sprememba,130
finance,129
nujen,129
sodišče,128
spet,128
sicer,128
naslednji,127
služba,127
primer,126
strinjati,126
podpreti,125
koalicijski,125
pravi,125
res,123
projekt,123
posledica,121
mesec,121
morala,121
sprejeti,119
med,119
gospodarstvo,119
prav,118
skupnost,117
zapisati,117
delo,114
poslovnik,114
občutek,114
hvalahvala,114
gospoda,110
delovanje,109
ob,109
tam,109
zdaj,109
lep,108
človek,108
program,108
prebrati,107
morati,107
opozicija,107
poslušati,107
pogledati,106
najbolj,106
preko,104
ustava,104
spremeniti,103
kolegica,101
raven,101
znotraj,100
uprava,100
videti,99
govor,99
obravnava,99
strokoven,98
popolnoma,98
osnoven,98
šolstvo,97
praven,97
breza,97
bit,97
nadaljevanje,97
vprašati,96
političen,96
sploh,95
pravilnik,95
čez,95
tolik,94
čim,94
majhen,93
podlaga,93
potreben,93
zujf,93
predlagatelj,92
kolik,92
pripraviti,92
spraševati,92
takrat,92
kljub,90
izmed,89
praviti,89
stanje,87
sistemski,87
gospodarski,87
včasih,87
številka,86
pomoč,85
začeti,85
možnost,84
sprejet,84
dejstvo,84
kmetijstvo,84
predstavnik,84
pač,83
drugačen,82
analiza,82
urediti,82
mandat,81
rečen,80
župan,80
kriv,80
dogajati,80
pogodba,79
skoraj,79
hoteti,79
uradnik,78
svet,78
strah,78
čakati,77
napisati,76
državljan,76
odločba,76
20,76
bistvo,76
gospod,76
manj,75
koncesija,75
uredba,75
zakonodaja,74
hidroelektrarna,74
čeprav,74
piš,74
skupaj,73
2014,73
pol,73
pripravljati,72
podjetje,72
stvar,72
škoda,71
slišati,71
amand,71
kdaj,71
gozd,71
dom,71
pet,71
odločiti,71
najti,70
oseben,70
podatek,70
gospa,70
mandati,70
financiranje,70
zdravstven,69
ukvarjati,69
večina,69
prihajati,69
komisija,69
rok,69
5,69
rebalans,68
desus,68
pripravništvo,68
stališče,67
informacija,67
rešiti,67
razpis,66
tisoč,66
12,66
republika,66
pravica,66
tretji,65
2013,65
10,65
začetek,65
spreminjati,65
vajeništvo,64
k,64
2,64
študentski,64
stavek,64
sekretar,64
štirje,63
podpora,63
šport,63
izvajanje,63
najprej,62
tu,62
ter,62
strošek,62
nesreča,62
teren,62
sektor,62
ključen,62
različen,62
naraven,62
pomemben,61
dodaten,60
cerar,60
samouprava,60
pod,60
socialen,60
zagotoviti,59
15,59
celoten,59
moči,59
nadaljevati,58
medij,58
nekdo,58
razumeti,58
plača,58
določba,58
sprejemati,58
voda,58
točka,58
vzeti,57
nekak,57
nazaj,57
debata,57
prostor,56
vsebinski,56
današnji,56
sanacija,56
okolje,56
razen,56
njegov,56
2017,55
denar,55
odločitev,55
star,55
zdeti,54
uvod,54
znati,54
organizacija,54
gledati,54
izključen,53
hvala,53
cesta,53
čist,53
delodajalec,53
govorilo,53
podoben,53
visok,52
vladen,52
občinski,52
potrebovati,51
postopek,51
policija,51
zakonodajnopraven,51
zgoditi,51
ugotavljati,50
zgodba,50
dovoliti,50
eden,50
predsednica,50
študent,50
telo,49
uporabnik,49
predviden,49
nihče,49
3,49
skušati,49
koncesijski,49
dovolj,49
cena,49
teden,49
amandmajati,49
mir,49
hearing,49
deležnik,49
delovati,49
nikakor,49
dejanje,49
investicija,48
poleg,48
mena,48
problematika,48
namesto,48
veljati,48
kandidatek,48
ja,48
lahkota,48
število,48
kmet,47
načrt,47
sindikat,47
otrok,47
center,47
jasen,47
minuta,46
razlog,46
glas,46
pogovarjati,46
mimo,46
izkušnja,46
amandmaj,46
sd,45
prositi,45
energetski,45
pozdrav,45
kazati,45
ogromen,45
tikati,45
pozitiven,44
nekje,44
infrastruktura,44
a,44
predloga,44
volitve,44
marsikateri,44
9,44
6,43
zadnjič,43
razmišljati,43
odprt,43
plačilo,43
simbol,43
karkoli,43
gradivo,43
družba,43
stati,43
način,43
končen,42
njen,42
turizem,42
slediti,42
zaposlen,42
športen,42
prinesti,42
poznati,42
polovica,42
reševati,42
razlika,42
vajenec,41
pripravljen,41
pomen,41
podpirati,41
glaven,41
uspešen,41
drugače,41
učinek,40
objekt,40
begunec,40
pogoj,40
politik,40
imenovan,40
uporaba,40
namen,40
obdobje,40
pristojen,40
mesto,40
točen,39
vesel,39
zapisan,39
smeti,39
sodelovanje,39
želja,39
izobraževalen,39
organ,39
medicinski,39
smer,39
poklicen,39
kršiti,39
zakonski,38
večkrat,38
račun,38
včeraj,38
spomniti,38
sreča,38
direktor,38
postavka,38
janez,38
priprava,38
ime,38
razvoj,38
varnost,38
smca,38
urejati,38
spoštovati,37
2018,37
naloga,37
združen,37
ideja,37
kratek,37
14,37
približen,37
razpravljati,37
pretekel,37
volja,36
nadaljnji,36
janša,36
predhodnik,36
akt,36
kmetijski,36
povprečnina,36
2020,36
januar,36
poplava,36
levica,36
edin,36
prehrana,35
obstajati,35
sekretarka,35
kitica,35
sava,35
dama,35
100,35
razmerje,35
evropa,35
50,35
ugotoviti,34
termalen,34
nadzor,34
noč,34
funkcija,34
vložiti,34
himna,34
tujina,34
izvajati,34
itak,34
predstavljati,34
glasovati,34
odgovoriti,34
postaviti,34
predstavitev,34
odstavek,33
formula,33
izračun,33
trg,33
član,33
resen,33
sprejemanje,33
posebej,33
hiter,33
vzdrževanje,33
31,33
30,33
interes,33
žeti,32
napačen,32
december,32
narejen,32
nizek,32
roka,32
dvakrat,32
trenuten,32
opravičevati,32
šolski,32
veljaven,32
deset,32
smisel,32
židan,31
končati,31
stavba,31
davek,31
zaključiti,31
obrok,31
banka,31
oblast,31
združenje,31
dejanski,31
22,31
opozicijski,31
nerazumljiv,31
izgradnja,31
realen,31
dejavnost,31
september,31
težek,30
vidik,30
srednji,30
dneven,30
izhajati,30
pustiti,30
narobe,30
plačan,30
super,30
skrb,30
8,30
zdravstvo,30
tek,30
zaključek,29
nacionalen,29
meja,29
podzakonski,29
gostja,29
vzgoja,29
učinkovit,29
informacijski,29
zavod,29
cilj,29
dodati,29
no,29
tih,29
natančen,29
ukiniti,29
glasovanje,29
slovenec,29
sodelovati,29
nasprotovati,28
podpredsednica,28
marsikdo,28
mogoč,28
uskladiti,28
rabiti,28
ljubljana,28
topel,28
znesek,28
kandidat,28
subjekt,28
tretjina,28
red,28
doba,28
ureditev,28
primerjava,28
poln,28
citirati,28
dokaj,28
tema,28
fin,27
obrtnik,27
oni,27
dotikati,27
urejen,27
študentov,27
praktičen,27
ustrezen,27
oba,27
ponoven,27
kategorija,27
mednaroden,27
srečati,27
vrsta,27
bratušek,27
…,27
vloga,27
splošen,27
potrditi,27
športnik,27
meniti,27
zdravje,27
sedanji,27
raziskovalen,27
življenjski,26
plačati,26
javnost,26
enostaven,26
argument,26
