Priimek,Števec
prikl,5
tomić,11
trček,40
ban,0
cink,25
ferluga,16
kavčič,4
kotnik,18
prelog,6
ranc,7
šergan,17
zorčič,4
dekleva,43
brglez,0
košnik,40
horvat,51
koleša,6
kramar,4
matić,10
murgel,16
rajić,1
shaker,4
dolinšek,16
škodnik,4
škopac,5
zajc,15
zorman,16
gantar,35
hainz,2
hršak,3
kotnik,18
levičar,2
battelli,0
breznik,39
brinovšek,10
grims,0
irgl,2
lep,1524
logar,5
mahnič,33
podkrajšek,1
pojbič,139
šircelj,14
muršič,2
nemec,25
horvat,51
vrtovec,18
kovačič,15
hanžek,57
kordiš,92
škoberne,4
vilfan,8
veber,9
krajnc,4
janša,1
göncz,0
tanko,5
novak,29
han,5
sluga,51
tonin,4
jurša,16
gorenak,11
vervega,6
potočnik,7
kopmajer,0
žibert,3
godec,85
krivec,3
lisec,11
pogačnik,9
žnidar,3
dimic,85
tašner,0
bizjak,1
lipicer,1
möderndorfer,67
verbič,3
mesec,109
čuš,25
laj,2
ljubič,0
počkaj,0
bratušek,7
lah,7
dobovšek,1
bačič,34
klanjšček,36
radič,2
tabaković,10
